# BEGIN PLOT
Legend=1
LogY=1
Title=Z $p_\perp$
XLabel=$p_\perp^{\mathrm{Z}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{Z}}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Z_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Z_pT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Z_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Z_pT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Z_pT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Z_pT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Z_pT
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.059544e+01	1.687878e-06	1.687878e-06	1.687878e-06
1.059544e+01	1.122633e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.122633e+01	1.189478e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.189478e+01	1.260304e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.260304e+01	1.335347e+01	1.339272e-06	1.339272e-06	1.339272e-06
1.335347e+01	1.414858e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.414858e+01	1.499104e+01	2.385941e-06	1.687115e-06	1.687115e-06
1.499104e+01	1.588366e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588366e+01	1.682943e+01	1.062658e-06	1.062658e-06	1.062658e-06
1.682943e+01	1.783152e+01	1.002934e-06	1.002934e-06	1.002934e-06
1.783152e+01	1.889327e+01	2.839736e-06	1.639523e-06	1.639523e-06
1.889327e+01	2.001825e+01	1.786752e-06	1.263424e-06	1.263424e-06
2.001825e+01	2.121020e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.121020e+01	2.247314e+01	7.957860e-07	7.957859e-07	7.957859e-07
2.247314e+01	2.381127e+01	7.510705e-07	7.510704e-07	7.510704e-07
2.381127e+01	2.522908e+01	2.126583e-06	1.227783e-06	1.227783e-06
2.522908e+01	2.673131e+01	2.007076e-06	1.158786e-06	1.158786e-06
2.673131e+01	2.832298e+01	1.894293e-06	1.093671e-06	1.093671e-06
2.832298e+01	3.000944e+01	2.979703e-06	1.332564e-06	1.332564e-06
3.000944e+01	3.179631e+01	1.124906e-06	7.954284e-07	7.954284e-07
3.179631e+01	3.368957e+01	3.185078e-06	1.300303e-06	1.300303e-06
3.368957e+01	3.569557e+01	1.503036e-06	8.677782e-07	8.677782e-07
3.569557e+01	3.782101e+01	1.418572e-06	8.190130e-07	8.190130e-07
3.782101e+01	4.007301e+01	2.231417e-06	9.979199e-07	9.979199e-07
4.007301e+01	4.245911e+01	1.263606e-06	7.295432e-07	7.295432e-07
4.245911e+01	4.498727e+01	1.192603e-06	6.885494e-07	6.885494e-07
4.498727e+01	4.766598e+01	7.503836e-07	5.306014e-07	5.306014e-07
4.766598e+01	5.050418e+01	2.478758e-06	9.368823e-07	9.368823e-07
5.050418e+01	5.351138e+01	2.673663e-06	9.452827e-07	9.452827e-07
5.351138e+01	5.669764e+01	9.462787e-07	5.463343e-07	5.463343e-07
5.669764e+01	6.007363e+01	1.190797e-06	5.953987e-07	5.953987e-07
6.007363e+01	6.365063e+01	8.429103e-07	4.866545e-07	4.866545e-07
6.365063e+01	6.744061e+01	1.325904e-06	5.929624e-07	5.929624e-07
6.744061e+01	7.145627e+01	2.252499e-06	7.508330e-07	7.508330e-07
7.145627e+01	7.571103e+01	7.086393e-07	4.091331e-07	4.091331e-07
7.571103e+01	8.021914e+01	1.114691e-06	4.985050e-07	4.985050e-07
8.021914e+01	8.499568e+01	6.312289e-07	3.644402e-07	3.644402e-07
8.499568e+01	9.005663e+01	9.929262e-07	4.440501e-07	4.440501e-07
9.005663e+01	9.541892e+01	3.748510e-07	2.650597e-07	2.650597e-07
9.541892e+01	1.011005e+02	8.844635e-07	3.955441e-07	3.955441e-07
1.011005e+02	1.071204e+02	8.347564e-07	3.733144e-07	3.733144e-07
1.071204e+02	1.134987e+02	4.727106e-07	2.729196e-07	2.729196e-07
1.134987e+02	1.202569e+02	5.948507e-07	2.974253e-07	2.974253e-07
1.202569e+02	1.274174e+02	9.825026e-07	3.713511e-07	3.713511e-07
1.274174e+02	1.350043e+02	6.623456e-07	2.962100e-07	2.962100e-07
1.350043e+02	1.430429e+02	8.751785e-07	3.307864e-07	3.307864e-07
1.430429e+02	1.515602e+02	4.719946e-07	2.359973e-07	2.359973e-07
1.515602e+02	1.605846e+02	6.682084e-07	2.727949e-07	2.727949e-07
1.605846e+02	1.701464e+02	4.204355e-07	2.102177e-07	2.102177e-07
1.701464e+02	1.802776e+02	7.936118e-07	2.805841e-07	2.805841e-07
1.802776e+02	1.910119e+02	2.808837e-07	1.621683e-07	1.621683e-07
1.910119e+02	2.023855e+02	5.301910e-07	2.164496e-07	2.164496e-07
2.023855e+02	2.144362e+02	6.672011e-07	2.358912e-07	2.358912e-07
2.144362e+02	2.272045e+02	3.148516e-07	1.574258e-07	1.574258e-07
2.272045e+02	2.407331e+02	4.457357e-07	1.819708e-07	1.819708e-07
2.407331e+02	2.550672e+02	2.103439e-07	1.214421e-07	1.214421e-07
2.550672e+02	2.702549e+02	5.293915e-07	1.871682e-07	1.871682e-07
2.702549e+02	2.863468e+02	2.498226e-07	1.249113e-07	1.249113e-07
2.863468e+02	3.033969e+02	5.894570e-08	5.894569e-08	5.894569e-08
3.033969e+02	3.214623e+02	5.563287e-08	5.563286e-08	5.563286e-08
3.214623e+02	3.406033e+02	2.100266e-07	1.050133e-07	1.050133e-07
3.406033e+02	3.608840e+02	9.911196e-08	7.008275e-08	7.008275e-08
3.608840e+02	3.823724e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.823724e+02	4.051402e+02	4.414260e-08	4.414260e-08	4.414260e-08
4.051402e+02	4.292637e+02	4.166186e-08	4.166186e-08	4.166186e-08
4.292637e+02	4.548236e+02	3.932058e-08	3.932057e-08	3.932057e-08
4.548236e+02	4.819055e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.819055e+02	5.105999e+02	3.502530e-08	3.502530e-08	3.502530e-08
5.105999e+02	5.410028e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.410028e+02	5.732161e+02	3.119923e-08	3.119922e-08	3.119922e-08
