# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity difference between oppositely charged leptons
XLabel=$\Delta\eta_{e^+,\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	2.512575e-06	2.512575e-06	2.512575e-06
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	2.512575e-06	2.512575e-06	2.512575e-06
-3.400000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.600000e+00	5.025150e-06	3.553318e-06	3.553318e-06
-2.600000e+00	-2.200000e+00	7.537725e-06	4.351908e-06	4.351908e-06
-2.200000e+00	-1.800000e+00	2.010060e-05	7.106635e-06	7.106635e-06
-1.800000e+00	-1.400000e+00	5.025150e-06	3.553318e-06	3.553318e-06
-1.400000e+00	-1.000000e+00	1.758803e-05	6.647649e-06	6.647649e-06
-1.000000e+00	-6.000000e-01	2.512575e-05	7.945459e-06	7.945459e-06
-6.000000e-01	-2.000000e-01	2.261318e-05	7.537725e-06	7.537725e-06
-2.000000e-01	2.000000e-01	2.512575e-05	7.945459e-06	7.945459e-06
2.000000e-01	6.000000e-01	2.261318e-05	7.537725e-06	7.537725e-06
6.000000e-01	1.000000e+00	3.266347e-05	9.059218e-06	9.059218e-06
1.000000e+00	1.400000e+00	3.266348e-05	9.059218e-06	9.059218e-06
1.400000e+00	1.800000e+00	3.266347e-05	9.059218e-06	9.059218e-06
1.800000e+00	2.200000e+00	5.025150e-06	3.553318e-06	3.553318e-06
2.200000e+00	2.600000e+00	1.005030e-05	5.025150e-06	5.025150e-06
2.600000e+00	3.000000e+00	5.025150e-06	3.553318e-06	3.553318e-06
3.000000e+00	3.400000e+00	2.512575e-06	2.512575e-06	2.512575e-06
3.400000e+00	3.800000e+00	5.025150e-06	3.553318e-06	3.553318e-06
3.800000e+00	4.200000e+00	2.512575e-06	2.512575e-06	2.512575e-06
4.200000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_deta
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.400000e+00	2.491800e-06	2.491800e-06	2.491800e-06
-3.400000e+00	-3.000000e+00	4.983600e-06	3.523938e-06	3.523938e-06
-3.000000e+00	-2.600000e+00	2.491800e-06	2.491800e-06	2.491800e-06
-2.600000e+00	-2.200000e+00	2.491800e-06	2.491800e-06	2.491800e-06
-2.200000e+00	-1.800000e+00	1.245900e-05	5.571834e-06	5.571834e-06
-1.800000e+00	-1.400000e+00	2.491800e-05	7.879764e-06	7.879764e-06
-1.400000e+00	-1.000000e+00	3.737700e-05	9.650699e-06	9.650699e-06
-1.000000e+00	-6.000000e-01	1.495080e-05	6.103639e-06	6.103639e-06
-6.000000e-01	-2.000000e-01	2.242620e-05	7.475400e-06	7.475400e-06
-2.000000e-01	2.000000e-01	2.740980e-05	8.264366e-06	8.264366e-06
2.000000e-01	6.000000e-01	1.744260e-05	6.592683e-06	6.592683e-06
6.000000e-01	1.000000e+00	1.993440e-05	7.047875e-06	7.047875e-06
1.000000e+00	1.400000e+00	1.744260e-05	6.592683e-06	6.592683e-06
1.400000e+00	1.800000e+00	2.242620e-05	7.475400e-06	7.475400e-06
1.800000e+00	2.200000e+00	1.495080e-05	6.103639e-06	6.103639e-06
2.200000e+00	2.600000e+00	4.983600e-06	3.523938e-06	3.523938e-06
2.600000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.400000e+00	4.983600e-06	3.523938e-06	3.523938e-06
3.400000e+00	3.800000e+00	2.491800e-06	2.491800e-06	2.491800e-06
3.800000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.600000e+00	2.491800e-06	2.491800e-06	2.491800e-06
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

