# BEGIN PLOT
Legend=1
LogY=1
Title=Azimuthal angle difference between oppositely charged leptons
XLabel=$\Delta\phi_{e^+,\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_dphi //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_dphi
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_dphi //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_dphi
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_dphi
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_dphi
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/ZeZm_dphi
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.599555e-05	1.131056e-05	1.131056e-05
1.256637e-01	2.513274e-01	1.599555e-05	1.131056e-05	1.131056e-05
2.513274e-01	3.769911e-01	1.599555e-05	1.131056e-05	1.131056e-05
3.769911e-01	5.026548e-01	3.998888e-05	1.788357e-05	1.788357e-05
5.026548e-01	6.283185e-01	3.199110e-05	1.599555e-05	1.599555e-05
6.283185e-01	7.539822e-01	2.399333e-05	1.385255e-05	1.385255e-05
7.539822e-01	8.796459e-01	4.798665e-05	1.959047e-05	1.959047e-05
8.796459e-01	1.005310e+00	2.399325e-05	1.385251e-05	1.385251e-05
1.005310e+00	1.130973e+00	3.199128e-05	1.599564e-05	1.599564e-05
1.130973e+00	1.256637e+00	4.798654e-05	1.959042e-05	1.959042e-05
1.256637e+00	1.382301e+00	3.199102e-05	1.599551e-05	1.599551e-05
1.382301e+00	1.507964e+00	5.598474e-05	2.116024e-05	2.116024e-05
1.507964e+00	1.633628e+00	3.199102e-05	1.599551e-05	1.599551e-05
1.633628e+00	1.759292e+00	3.199102e-05	1.599551e-05	1.599551e-05
1.759292e+00	1.884956e+00	3.199102e-05	1.599551e-05	1.599551e-05
1.884956e+00	2.010619e+00	3.998910e-05	1.788367e-05	1.788367e-05
2.010619e+00	2.136283e+00	3.199102e-05	1.599551e-05	1.599551e-05
2.136283e+00	2.261947e+00	3.998878e-05	1.788353e-05	1.788353e-05
