# BEGIN PLOT
Legend=1
LogY=1
Title=Lepton $\eta$
XLabel=$\eta_{\mathrm{l}}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta_{\mathrm{l}}$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_eta
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_eta //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_eta
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_eta
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_eta
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_eta
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-3.500000e+00	-3.325000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.325000e+00	-3.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.150000e+00	-2.975000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.975000e+00	-2.800000e+00	5.743029e-06	5.743028e-06	5.743028e-06
-2.800000e+00	-2.625000e+00	2.871514e-05	1.284180e-05	1.284180e-05
-2.625000e+00	-2.450000e+00	3.445817e-05	1.406749e-05	1.406749e-05
-2.450000e+00	-2.275000e+00	2.871514e-05	1.284180e-05	1.284180e-05
-2.275000e+00	-2.100000e+00	3.445817e-05	1.406749e-05	1.406749e-05
-2.100000e+00	-1.925000e+00	3.445817e-05	1.406749e-05	1.406749e-05
-1.925000e+00	-1.750000e+00	5.743029e-05	1.816105e-05	1.816105e-05
-1.750000e+00	-1.575000e+00	5.743029e-05	1.816105e-05	1.816105e-05
-1.575000e+00	-1.400000e+00	1.091175e-04	2.503328e-05	2.503328e-05
-1.400000e+00	-1.225000e+00	5.743029e-05	1.816105e-05	1.816105e-05
-1.225000e+00	-1.050000e+00	8.040240e-05	2.148844e-05	2.148844e-05
-1.050000e+00	-8.750000e-01	1.263466e-04	2.693719e-05	2.693719e-05
-8.750000e-01	-7.000000e-01	1.263466e-04	2.693719e-05	2.693719e-05
-7.000000e-01	-5.250000e-01	1.091175e-04	2.503328e-05	2.503328e-05
-5.250000e-01	-3.500000e-01	2.010060e-04	3.397622e-05	3.397622e-05
-3.500000e-01	-1.750000e-01	1.320897e-04	2.754260e-05	2.754260e-05
-1.750000e-01	0.000000e+00	1.263466e-04	2.693719e-05	2.693719e-05
0.000000e+00	1.750000e-01	1.206036e-04	2.631786e-05	2.631786e-05
1.750000e-01	3.500000e-01	9.763149e-05	2.367911e-05	2.367911e-05
3.500000e-01	5.250000e-01	1.320897e-04	2.754260e-05	2.754260e-05
5.250000e-01	7.000000e-01	1.033745e-04	2.436561e-05	2.436561e-05
7.000000e-01	8.750000e-01	9.188846e-05	2.297211e-05	2.297211e-05
8.750000e-01	1.050000e+00	1.320897e-04	2.754260e-05	2.754260e-05
1.050000e+00	1.225000e+00	8.614543e-05	2.224265e-05	2.224265e-05
1.225000e+00	1.400000e+00	1.033745e-04	2.436561e-05	2.436561e-05
1.400000e+00	1.575000e+00	3.445817e-05	1.406749e-05	1.406749e-05
1.575000e+00	1.750000e+00	9.188846e-05	2.297211e-05	2.297211e-05
1.750000e+00	1.925000e+00	5.168726e-05	1.722909e-05	1.722909e-05
1.925000e+00	2.100000e+00	6.317331e-05	1.904747e-05	1.904747e-05
2.100000e+00	2.275000e+00	4.020120e-05	1.519463e-05	1.519463e-05
