# BEGIN PLOT
Legend=1
LogY=1
Title=Lepton $p_\perp$
XLabel=$p_\perp^{\mathrm{l}}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp^{\mathrm{l}}$ [pb/GeV]
LogX=1
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_pT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_pT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_pT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_pT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_pT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZINC:ENERGY=13000/Zl_pT
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+01	3.115225e+01	8.722326e-06	2.758241e-06	2.758241e-06
3.115225e+01	3.234876e+01	1.175955e-05	3.142872e-06	3.142872e-06
3.234876e+01	3.359123e+01	4.853381e-06	1.981384e-06	1.981384e-06
3.359123e+01	3.488142e+01	1.012672e-05	2.808646e-06	2.808646e-06
3.488142e+01	3.622116e+01	9.002015e-06	2.598658e-06	2.598658e-06
3.622116e+01	3.761236e+01	7.224195e-06	2.284491e-06	2.284491e-06
3.761236e+01	3.905699e+01	5.565605e-06	1.967738e-06	1.967738e-06
3.905699e+01	4.055711e+01	7.369630e-06	2.222027e-06	2.222027e-06
4.055711e+01	4.211485e+01	6.451847e-06	2.040253e-06	2.040253e-06
4.211485e+01	4.373242e+01	6.834530e-06	2.060688e-06	2.060688e-06
4.373242e+01	4.541211e+01	8.376796e-06	2.238792e-06	2.238792e-06
4.541211e+01	4.715632e+01	4.033465e-06	1.524506e-06	1.524506e-06
4.715632e+01	4.896752e+01	2.219589e-06	1.109795e-06	1.109795e-06
4.896752e+01	5.084829e+01	1.068743e-05	2.389783e-06	2.389783e-06
5.084829e+01	5.280129e+01	5.660691e-06	1.706763e-06	1.706763e-06
5.280129e+01	5.482931e+01	4.460148e-06	1.486716e-06	1.486716e-06
5.482931e+01	5.693522e+01	6.204154e-06	1.720723e-06	1.720723e-06
5.693522e+01	5.912202e+01	6.893840e-06	1.779982e-06	1.779982e-06
5.912202e+01	6.139280e+01	4.868517e-06	1.467913e-06	1.467913e-06
6.139280e+01	6.375081e+01	4.688415e-06	1.413610e-06	1.413610e-06
6.375081e+01	6.619938e+01	3.694103e-06	1.231368e-06	1.231368e-06
6.619938e+01	6.874199e+01	4.348024e-06	1.310979e-06	1.310979e-06
6.874199e+01	7.138227e+01	1.903264e-06	8.511656e-07	8.511656e-07
7.138227e+01	7.412395e+01	2.932596e-06	1.036829e-06	1.036829e-06
7.412395e+01	7.697094e+01	4.236179e-06	1.222879e-06	1.222879e-06
7.697094e+01	7.992727e+01	3.739545e-06	1.127515e-06	1.127515e-06
7.992727e+01	8.299716e+01	3.601214e-06	1.085807e-06	1.085807e-06
8.299716e+01	8.618495e+01	1.891649e-06	7.722625e-07	7.722625e-07
8.618495e+01	8.949518e+01	2.125293e-06	8.032854e-07	8.032854e-07
8.949518e+01	9.293256e+01	8.771477e-07	5.064215e-07	5.064215e-07
9.293256e+01	9.650195e+01	1.126276e-06	5.631382e-07	5.631382e-07
9.650195e+01	1.002084e+02	5.423141e-07	3.834740e-07	3.834740e-07
1.002084e+02	1.040573e+02	2.350092e-06	7.833641e-07	7.833641e-07
1.040573e+02	1.080540e+02	1.760255e-06	6.653137e-07	6.653137e-07
1.080540e+02	1.122042e+02	1.210821e-06	5.414957e-07	5.414957e-07
1.122042e+02	1.165138e+02	9.328290e-07	4.664145e-07	4.664145e-07
1.165138e+02	1.209889e+02	2.021244e-06	6.737481e-07	6.737481e-07
1.209889e+02	1.256359e+02	1.513925e-06	5.722099e-07	5.722099e-07
1.256359e+02	1.304614e+02	8.330992e-07	4.165496e-07	4.165496e-07
1.304614e+02	1.354722e+02	8.022911e-07	4.011455e-07	4.011455e-07
1.354722e+02	1.406755e+02	5.794573e-07	3.345498e-07	3.345498e-07
1.406755e+02	1.460786e+02	9.300494e-07	4.159308e-07	4.159308e-07
1.460786e+02	1.516892e+02	7.165223e-07	3.582611e-07	3.582611e-07
1.516892e+02	1.575154e+02	8.625090e-07	3.857258e-07	3.857258e-07
1.575154e+02	1.635653e+02	1.661234e-07	1.661234e-07	1.661234e-07
1.635653e+02	1.698476e+02	6.399121e-07	3.199561e-07	3.199561e-07
1.698476e+02	1.763712e+02	3.081213e-07	2.178747e-07	2.178747e-07
1.763712e+02	1.831453e+02	8.901817e-07	3.634152e-07	3.634152e-07
1.831453e+02	1.901797e+02	4.286208e-07	2.474643e-07	2.474643e-07
1.901797e+02	1.974842e+02	1.375905e-07	1.375905e-07	1.375905e-07
1.974842e+02	2.050692e+02	2.650046e-07	1.873866e-07	1.873866e-07
2.050692e+02	2.129456e+02	3.828005e-07	2.210100e-07	2.210100e-07
