# BEGIN PLOT
Legend=1
LogY=1
Title=Separation between Z boson pair and leading jet
XLabel=$\Delta R(\mathrm{ZZ,~1st~jet})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R(\mathrm{ZZ,~1st~jet})$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/ZZ_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/ZZ_jet1_dR
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/ZZ_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/ZZ_jet1_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/ZZ_jet1_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/ZZ_jet1_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/ZZ_jet1_dR
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.500000e+00	1.720000e+00	4.568318e-06	4.568318e-06	4.568318e-06
1.720000e+00	1.940000e+00	4.568318e-06	4.568318e-06	4.568318e-06
1.940000e+00	2.160000e+00	9.136636e-06	6.460578e-06	6.460578e-06
2.160000e+00	2.380000e+00	2.284159e-05	1.021507e-05	1.021507e-05
2.380000e+00	2.600000e+00	1.370495e-05	7.912559e-06	7.912559e-06
2.600000e+00	2.820000e+00	4.568318e-05	1.444629e-05	1.444629e-05
2.820000e+00	3.040000e+00	6.852477e-05	1.769302e-05	1.769302e-05
3.040000e+00	3.260000e+00	7.309309e-05	1.827327e-05	1.827327e-05
3.260000e+00	3.480000e+00	4.111486e-05	1.370495e-05	1.370495e-05
3.480000e+00	3.700000e+00	2.740991e-05	1.119005e-05	1.119005e-05
3.700000e+00	3.920000e+00	5.481982e-05	1.582512e-05	1.582512e-05
3.920000e+00	4.140000e+00	3.197823e-05	1.208663e-05	1.208663e-05
4.140000e+00	4.360000e+00	1.370495e-05	7.912559e-06	7.912559e-06
4.360000e+00	4.580000e+00	2.740991e-05	1.119005e-05	1.119005e-05
4.580000e+00	4.800000e+00	9.136636e-06	6.460578e-06	6.460578e-06
4.800000e+00	5.020000e+00	9.136636e-06	6.460578e-06	6.460578e-06
5.020000e+00	5.240000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.240000e+00	5.460000e+00	9.136636e-06	6.460578e-06	6.460578e-06
5.460000e+00	5.680000e+00	4.568318e-06	4.568318e-06	4.568318e-06
