# BEGIN PLOT
Legend=1
LogY=1
Title=Separation between $e^+$ and leading jet
XLabel=$\Delta R(e^+,\mathrm{1st~jet})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta R(e^+,\mathrm{1st~jet})$ [pb]
LegendXPos=0.35
LegendYPos=0.5
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	8.400000e-01	1.794696e-05	8.026127e-06	8.026127e-06
8.400000e-01	1.120000e+00	1.076818e-05	6.217011e-06	6.217011e-06
1.120000e+00	1.400000e+00	1.076818e-05	6.217011e-06	6.217011e-06
1.400000e+00	1.680000e+00	1.076818e-05	6.217011e-06	6.217011e-06
1.680000e+00	1.960000e+00	2.512575e-05	9.496641e-06	9.496641e-06
1.960000e+00	2.240000e+00	1.435757e-05	7.178786e-06	7.178786e-06
2.240000e+00	2.520000e+00	2.512575e-05	9.496641e-06	9.496641e-06
2.520000e+00	2.800000e+00	3.589393e-05	1.135066e-05	1.135066e-05
2.800000e+00	3.080000e+00	7.537725e-05	1.644866e-05	1.644866e-05
3.080000e+00	3.360000e+00	6.101968e-05	1.479945e-05	1.479945e-05
3.360000e+00	3.640000e+00	1.794696e-05	8.026127e-06	8.026127e-06
3.640000e+00	3.920000e+00	2.153636e-05	8.792181e-06	8.792181e-06
3.920000e+00	4.200000e+00	2.153636e-05	8.792181e-06	8.792181e-06
4.200000e+00	4.480000e+00	1.076818e-05	6.217011e-06	6.217011e-06
4.480000e+00	4.760000e+00	2.512575e-05	9.496641e-06	9.496641e-06
4.760000e+00	5.040000e+00	3.589393e-06	3.589392e-06	3.589392e-06
5.040000e+00	5.320000e+00	1.076818e-05	6.217011e-06	6.217011e-06
5.320000e+00	5.600000e+00	3.589393e-06	3.589392e-06	3.589392e-06
5.600000e+00	5.880000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.880000e+00	6.160000e+00	3.589393e-06	3.589392e-06	3.589392e-06
6.160000e+00	6.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.440000e+00	6.720000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.720000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/Ze_jet1_dR
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.800000e-01	3.559714e-06	3.559714e-06	3.559714e-06
2.800000e-01	5.600000e-01	7.119429e-06	5.034197e-06	5.034197e-06
5.600000e-01	8.400000e-01	7.119429e-06	5.034197e-06	5.034197e-06
8.400000e-01	1.120000e+00	1.067914e-05	6.165606e-06	6.165606e-06
1.120000e+00	1.400000e+00	7.119429e-06	5.034197e-06	5.034197e-06
1.400000e+00	1.680000e+00	2.491800e-05	9.418119e-06	9.418119e-06
1.680000e+00	1.960000e+00	2.491800e-05	9.418119e-06	9.418119e-06
1.960000e+00	2.240000e+00	1.423886e-05	7.119429e-06	7.119429e-06
2.240000e+00	2.520000e+00	2.491800e-05	9.418119e-06	9.418119e-06
2.520000e+00	2.800000e+00	3.915686e-05	1.180624e-05	1.180624e-05
2.800000e+00	3.080000e+00	3.915686e-05	1.180624e-05	1.180624e-05
3.080000e+00	3.360000e+00	3.203743e-05	1.067914e-05	1.067914e-05
3.360000e+00	3.640000e+00	5.695543e-05	1.423886e-05	1.423886e-05
3.640000e+00	3.920000e+00	1.067914e-05	6.165606e-06	6.165606e-06
3.920000e+00	4.200000e+00	2.135829e-05	8.719484e-06	8.719484e-06
4.200000e+00	4.480000e+00	1.067914e-05	6.165606e-06	6.165606e-06
4.480000e+00	4.760000e+00	1.423886e-05	7.119429e-06	7.119429e-06
4.760000e+00	5.040000e+00	7.119429e-06	5.034197e-06	5.034197e-06
5.040000e+00	5.320000e+00	7.119429e-06	5.034197e-06	5.034197e-06
5.320000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.880000e+00	7.119429e-06	5.034197e-06	5.034197e-06
5.880000e+00	6.160000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.160000e+00	6.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.440000e+00	6.720000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.720000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

