# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta (HT)
XLabel=$HT$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}HT$ [pb/GeV]
LogX=1
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_HT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_HT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_HT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_HT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_HT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_HT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_HT
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.245265e+01	2.520608e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.520608e+01	2.829717e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.829717e+01	3.176733e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.176733e+01	3.566304e+01	2.579838e-07	2.579837e-07	2.579837e-07
3.566304e+01	4.003649e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.003649e+01	4.494627e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.494627e+01	5.045815e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.045815e+01	5.664597e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.664597e+01	6.359261e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.359261e+01	7.139114e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.139114e+01	8.014603e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.014603e+01	8.997455e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.997455e+01	1.010084e+02	9.108607e-08	9.108605e-08	9.108605e-08
1.010084e+02	1.133953e+02	1.622730e-07	1.147444e-07	1.147444e-07
1.133953e+02	1.273013e+02	2.890925e-07	1.445462e-07	1.445462e-07
1.273013e+02	1.429125e+02	2.575151e-07	1.287576e-07	1.287576e-07
1.429125e+02	1.604383e+02	5.734574e-07	1.813431e-07	1.813431e-07
1.604383e+02	1.801133e+02	2.554079e-07	1.142219e-07	1.142219e-07
1.801133e+02	2.022010e+02	5.915233e-07	1.640591e-07	1.640591e-07
2.022010e+02	2.269975e+02	2.431867e-07	9.928057e-08	9.928057e-08
2.269975e+02	2.548348e+02	5.054520e-07	1.350877e-07	1.350877e-07
2.548348e+02	2.860858e+02	2.894394e-07	9.647979e-08	9.647979e-08
2.860858e+02	3.211693e+02	2.578212e-07	8.594040e-08	8.594040e-08
3.211693e+02	3.605551e+02	1.275879e-07	5.705903e-08	5.705903e-08
3.605551e+02	4.047710e+02	1.136503e-07	5.082596e-08	5.082596e-08
4.047710e+02	4.544091e+02	8.098860e-08	4.049430e-08	4.049430e-08
4.544091e+02	5.101345e+02	7.214161e-08	3.607080e-08	3.607080e-08
5.101345e+02	5.726936e+02	8.032644e-08	3.592308e-08	3.592308e-08
5.726936e+02	6.429246e+02	5.724139e-08	2.862069e-08	2.862069e-08
6.429246e+02	7.217681e+02	2.549430e-08	1.802720e-08	1.802720e-08
7.217681e+02	8.102804e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.102804e+02	9.096473e+02	2.022867e-08	1.430383e-08	1.430383e-08
9.096473e+02	1.021200e+03	9.009464e-09	9.009462e-09	9.009462e-09
