# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of first jet
XLabel=$m(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_1
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.148154e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.148154e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.258925e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.380384e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.513561e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.513561e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.659587e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.659587e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.819701e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.819701e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	1.995262e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.995262e+00	2.089296e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+00	2.187762e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.187762e+00	2.290868e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+00	2.398833e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.398833e+00	2.511886e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+00	2.630268e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.630268e+00	2.754229e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+00	2.884032e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.884032e+00	3.019952e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e+00	3.162278e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.162278e+00	3.311311e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+00	3.467369e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.467369e+00	3.630781e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+00	3.801894e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.801894e+00	3.981072e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e+00	4.168694e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.168694e+00	4.365158e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e+00	4.570882e+00	9.770664e-06	6.908903e-06	6.908903e-06
4.570882e+00	4.786301e+00	4.665466e-06	4.665465e-06	4.665465e-06
4.786301e+00	5.011872e+00	4.455493e-06	4.455492e-06	4.455492e-06
5.011872e+00	5.248075e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.248075e+00	5.495409e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.495409e+00	5.754399e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+00	6.025596e+00	7.411808e-06	5.240940e-06	5.240940e-06
6.025596e+00	6.309573e+00	7.078249e-06	5.005079e-06	5.005079e-06
6.309573e+00	6.606934e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.606934e+00	6.918310e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e+00	7.244360e+00	9.247324e-06	5.338945e-06	5.338945e-06
7.244360e+00	7.585776e+00	8.831133e-06	5.098657e-06	5.098657e-06
7.585776e+00	7.943282e+00	8.433677e-06	4.869186e-06	4.869186e-06
7.943282e+00	8.317638e+00	2.684691e-06	2.684690e-06	2.684690e-06
8.317638e+00	8.709636e+00	1.794706e-05	6.783349e-06	6.783349e-06
8.709636e+00	9.120108e+00	1.713932e-05	6.478053e-06	6.478053e-06
9.120108e+00	9.549926e+00	9.353075e-06	4.676537e-06	4.676537e-06
9.549926e+00	1.000000e+01	2.233033e-06	2.233032e-06	2.233032e-06
1.000000e+01	1.047129e+01	6.397526e-06	3.693613e-06	3.693613e-06
1.047129e+01	1.096478e+01	4.073152e-06	2.880154e-06	2.880154e-06
1.096478e+01	1.148154e+01	3.889736e-06	2.750459e-06	2.750459e-06
1.148154e+01	1.202264e+01	7.429532e-06	3.714766e-06	3.714766e-06
1.202264e+01	1.258925e+01	7.095039e-06	3.547519e-06	3.547519e-06
1.258925e+01	1.318257e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+01	1.380384e+01	1.617702e-06	1.617702e-06	1.617702e-06
1.380384e+01	1.445440e+01	6.179476e-06	3.089738e-06	3.089738e-06
1.445440e+01	1.513561e+01	2.950720e-06	2.086474e-06	2.086474e-06
1.513561e+01	1.584893e+01	1.408947e-06	1.408947e-06	1.408947e-06
1.584893e+01	1.659587e+01	8.073179e-06	3.295861e-06	3.295861e-06
1.659587e+01	1.737801e+01	6.424873e-06	2.873291e-06	2.873291e-06
1.737801e+01	1.819701e+01	4.908571e-06	2.454286e-06	2.454286e-06
1.819701e+01	1.905461e+01	1.171910e-06	1.171910e-06	1.171910e-06
1.905461e+01	1.995262e+01	6.715048e-06	2.741407e-06	2.741407e-06
1.995262e+01	2.089296e+01	4.275177e-06	2.137588e-06	2.137588e-06
2.089296e+01	2.187762e+01	4.082749e-06	2.041375e-06	2.041375e-06
2.187762e+01	2.290868e+01	1.949508e-06	1.378511e-06	1.378511e-06
2.290868e+01	2.398833e+01	1.861770e-06	1.316470e-06	1.316470e-06
