# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_2
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+00	1.202264e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+00	1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	1.445440e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+00	1.584893e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+00	1.737801e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.737801e+00	1.905461e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+00	2.089296e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+00	2.290868e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e+00	2.511886e+00	4.547277e-06	4.547276e-06	4.547276e-06
2.511886e+00	2.754229e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+00	3.019952e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.019952e+00	3.311311e+00	3.449456e-06	3.449455e-06	3.449455e-06
3.311311e+00	3.630781e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e+00	3.981072e+00	5.738258e-06	4.057561e-06	4.057561e-06
3.981072e+00	4.365158e+00	5.233359e-06	3.700544e-06	3.700544e-06
4.365158e+00	4.786301e+00	2.386434e-06	2.386434e-06	2.386434e-06
4.786301e+00	5.248075e+00	6.529363e-06	3.769729e-06	3.769729e-06
5.248075e+00	5.754399e+00	9.924771e-06	4.438493e-06	4.438493e-06
5.754399e+00	6.309573e+00	1.448238e-05	5.120294e-06	5.120294e-06
6.309573e+00	6.918310e+00	1.155706e-05	4.368158e-06	4.368158e-06
6.918310e+00	7.585776e+00	1.054018e-05	3.983813e-06	3.983813e-06
7.585776e+00	8.317638e+00	6.866253e-06	3.070682e-06	3.070682e-06
8.317638e+00	9.120108e+00	5.009683e-06	2.504841e-06	2.504841e-06
9.120108e+00	1.000000e+01	9.137758e-06	3.230685e-06	3.230685e-06
1.000000e+01	1.096478e+01	9.375474e-06	3.125158e-06	3.125158e-06
1.096478e+01	1.202264e+01	5.700357e-06	2.327161e-06	2.327161e-06
1.202264e+01	1.318257e+01	7.798117e-06	2.599372e-06	2.599372e-06
1.318257e+01	1.445440e+01	1.580447e-06	1.117545e-06	1.117545e-06
1.445440e+01	1.584893e+01	5.044861e-06	1.906778e-06	1.906778e-06
1.584893e+01	1.737801e+01	5.915498e-06	1.971833e-06	1.971833e-06
1.737801e+01	1.905461e+01	1.798336e-06	1.038270e-06	1.038270e-06
1.905461e+01	2.089296e+01	2.186809e-06	1.093404e-06	1.093404e-06
2.089296e+01	2.290868e+01	9.971921e-07	7.051213e-07	7.051213e-07
2.290868e+01	2.511886e+01	4.547277e-07	4.547276e-07	4.547276e-07
2.511886e+01	2.754229e+01	4.147139e-07	4.147138e-07	4.147138e-07
