# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of third jet
XLabel=$m(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_mass_3
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.149757e+00	1.321941e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.321941e+00	1.519911e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.519911e+00	1.747528e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.747528e+00	2.009233e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.009233e+00	2.310130e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.310130e+00	2.656088e+00	2.905064e-06	2.905063e-06	2.905063e-06
2.656088e+00	3.053856e+00	2.526674e-06	2.526673e-06	2.526673e-06
3.053856e+00	3.511192e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.511192e+00	4.037017e+00	5.734018e-06	3.310537e-06	3.310537e-06
4.037017e+00	4.641589e+00	8.311913e-06	3.717201e-06	3.717201e-06
4.641589e+00	5.336699e+00	5.783430e-06	2.891715e-06	2.891715e-06
5.336699e+00	6.135907e+00	2.515065e-06	1.778420e-06	1.778420e-06
6.135907e+00	7.054802e+00	5.468688e-06	2.445672e-06	2.445672e-06
7.054802e+00	8.111308e+00	5.707663e-06	2.330144e-06	2.330144e-06
8.111308e+00	9.326033e+00	4.964235e-06	2.026640e-06	2.026640e-06
9.326033e+00	1.072267e+01	1.439214e-06	1.017678e-06	1.017678e-06
1.072267e+01	1.232847e+01	4.381125e-06	1.655909e-06	1.655909e-06
1.232847e+01	1.417474e+01	1.088714e-06	7.698371e-07	7.698371e-07
1.417474e+01	1.629751e+01	9.469043e-07	6.695625e-07	6.695625e-07
1.629751e+01	1.873817e+01	8.235723e-07	5.823536e-07	5.823536e-07
1.873817e+01	2.154435e+01	3.581488e-07	3.581487e-07	3.581487e-07
2.154435e+01	2.477076e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.477076e+01	2.848036e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.848036e+01	3.274549e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.274549e+01	3.764936e+01	0.000000e+00	0.000000e+00	0.000000e+00
