# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	6.501850e-07	4.597503e-07	4.597503e-07
2.162608e+01	2.523326e+01	1.393097e-06	6.230117e-07	6.230117e-07
2.523326e+01	2.944211e+01	2.149107e-06	7.163691e-07	7.163691e-07
2.944211e+01	3.435298e+01	4.093083e-07	2.894247e-07	2.894247e-07
3.435298e+01	4.008298e+01	1.227785e-06	4.640592e-07	4.640592e-07
4.008298e+01	4.676873e+01	1.202594e-06	4.251810e-07	4.251810e-07
4.676873e+01	5.456964e+01	3.865049e-07	2.231487e-07	2.231487e-07
5.456964e+01	6.367173e+01	3.312525e-07	1.912487e-07	1.912487e-07
6.367173e+01	7.429203e+01	2.838988e-07	1.639090e-07	1.639090e-07
7.429203e+01	8.668377e+01	4.866290e-07	1.986655e-07	1.986655e-07
8.668377e+01	1.011424e+02	6.951074e-08	6.951072e-08	6.951072e-08
1.011424e+02	1.180127e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.180127e+02	1.376970e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.376970e+02	1.606645e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.606645e+02	1.874630e+02	3.750322e-08	3.750321e-08	3.750321e-08
1.874630e+02	2.187314e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.187314e+02	2.552153e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.552153e+02	2.977846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.977846e+02	3.474544e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jet_pT_3
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.166798e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.166798e+01	1.361417e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.361417e+01	1.588498e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.588498e+01	1.853456e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.853456e+01	2.162608e+01	6.448090e-07	4.559489e-07	4.559489e-07
2.162608e+01	2.523326e+01	2.486840e-06	8.289467e-07	8.289467e-07
2.523326e+01	2.944211e+01	1.420892e-06	5.800766e-07	5.800766e-07
2.944211e+01	3.435298e+01	4.059240e-07	2.870316e-07	2.870316e-07
3.435298e+01	4.008298e+01	1.391581e-06	4.919982e-07	4.919982e-07
4.008298e+01	4.676873e+01	7.454063e-07	3.333558e-07	3.333558e-07
4.676873e+01	5.456964e+01	5.110788e-07	2.555394e-07	2.555394e-07
5.456964e+01	6.367173e+01	3.285136e-07	1.896674e-07	1.896674e-07
6.367173e+01	7.429203e+01	9.385046e-08	9.385046e-08	9.385046e-08
7.429203e+01	8.668377e+01	8.043422e-08	8.043423e-08	8.043423e-08
8.668377e+01	1.011424e+02	1.378720e-07	9.749023e-08	9.749023e-08
1.011424e+02	1.180127e+02	5.908134e-08	5.908135e-08	5.908135e-08
1.180127e+02	1.376970e+02	5.063528e-08	5.063528e-08	5.063528e-08
1.376970e+02	1.606645e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.606645e+02	1.874630e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.874630e+02	2.187314e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.187314e+02	2.552153e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.552153e+02	2.977846e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.977846e+02	3.474544e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.474544e+02	4.054090e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.054090e+02	4.730302e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.730302e+02	5.519306e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.519306e+02	6.439913e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.439913e+02	7.514076e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.514076e+02	8.767406e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.767406e+02	1.022979e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.022979e+03	1.193609e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.193609e+03	1.392701e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.392701e+03	1.625000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

