# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~2,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dR_23 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dR_23
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dR_23 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dR_23
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dR_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dR_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dR_23
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	2.512575e-05	1.123658e-05	1.123658e-05
6.000000e-01	8.000000e-01	1.507545e-05	8.703815e-06	8.703815e-06
8.000000e-01	1.000000e+00	5.025150e-06	5.025149e-06	5.025149e-06
1.000000e+00	1.200000e+00	1.005030e-05	7.106636e-06	7.106636e-06
1.200000e+00	1.400000e+00	1.005030e-05	7.106636e-06	7.106636e-06
1.400000e+00	1.600000e+00	1.005030e-05	7.106636e-06	7.106636e-06
1.600000e+00	1.800000e+00	1.005030e-05	7.106636e-06	7.106636e-06
1.800000e+00	2.000000e+00	5.025150e-06	5.025149e-06	5.025149e-06
2.000000e+00	2.200000e+00	1.005030e-05	7.106636e-06	7.106636e-06
2.200000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	2.800000e+00	1.005030e-05	7.106636e-06	7.106636e-06
2.800000e+00	3.000000e+00	1.005030e-05	7.106636e-06	7.106636e-06
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	5.025150e-06	5.025149e-06	5.025149e-06
3.400000e+00	3.600000e+00	5.025150e-06	5.025149e-06	5.025149e-06
3.600000e+00	3.800000e+00	1.507545e-05	8.703815e-06	8.703815e-06
3.800000e+00	4.000000e+00	5.025150e-06	5.025149e-06	5.025149e-06
4.000000e+00	4.200000e+00	5.025150e-06	5.025149e-06	5.025149e-06
