# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of first electron
XLabel=$|\eta(\mathrm{e1}|$
YLabel=$\eta(\mathrm{e1})_+/\eta(\mathrm{e1})_-$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0068533549551960992, dn: 0.0068533549551960992}}, 1: {"": {up: 0.0070144908432268694, dn: 0.0070144908432268694}}, 2: {"": {up: 0.0071123044796163699, dn: 0.0071123044796163699}}, 3: {"": {up: 0.00728006514026235, dn: 0.00728006514026235}}, 4: {"": {up: 0.0075079483343988241, dn: 0.0075079483343988241}}, 5: {"": {up: 0.0078372068735752341, dn: 0.0078372068735752341}}, 6: {"": {up: 0.0081108309745947654, dn: 0.0081108309745947654}}, 7: {"": {up: 0.0086001073904415255, dn: 0.0086001073904415255}}, 8: {"": {up: 0.0094303091700468373, dn: 0.0094303091700468373}}, 9: {"": {up: 0.0099636569495889279, dn: 0.0099636569495889279}}, 10: {"": {up: 0.010956170934431825, dn: 0.010956170934431825}}, 11: {"": {up: 0.012570595722090678, dn: 0.012570595722090678}}, 12: {"": {up: 0.014067384627386442, dn: 0.014067384627386442}}, 13: {"": {up: 0.015508065684035977, dn: 0.015508065684035977}}, 14: {"": {up: 0.018811608212772689, dn: 0.018811608212772689}}, 15: {"": {up: 0.032848392091147496, dn: 0.032848392091147496}}, 16: {"": {up: 0.03503294828962205, dn: 0.03503294828962205}}, 17: {"": {up: 0.040539264125811166, dn: 0.040539264125811166}}, 18: {"": {up: 0.040608915849794841, dn: 0.040608915849794841}}, 19: {"": {up: 0.04537839587771985, dn: 0.04537839587771985}}, 20: {"": {up: 0.050340236706217768, dn: 0.050340236706217768}}, 21: {"": {up: 0.053118649678883176, dn: 0.053118649678883176}}, 22: {"": {up: 0.056089774680221277, dn: 0.056089774680221277}}, 23: {"": {up: 0.059806913543686141, dn: 0.059806913543686141}}, 24: {"": {up: 0.072513716218468069, dn: 0.072513716218468069}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.885310e-01	6.853355e-03	6.853355e-03
2.000000e-01	4.000000e-01	1.003475e+00	7.014491e-03	7.014491e-03
4.000000e-01	6.000000e-01	9.996204e-01	7.112304e-03	7.112304e-03
6.000000e-01	8.000000e-01	1.003506e+00	7.280065e-03	7.280065e-03
8.000000e-01	1.000000e+00	1.003616e+00	7.507948e-03	7.507948e-03
1.000000e+00	1.200000e+00	1.006237e+00	7.837207e-03	7.837207e-03
1.200000e+00	1.400000e+00	9.921113e-01	8.110831e-03	8.110831e-03
1.400000e+00	1.600000e+00	9.920659e-01	8.600107e-03	8.600107e-03
1.600000e+00	1.800000e+00	1.015001e+00	9.430309e-03	9.430309e-03
1.800000e+00	2.000000e+00	9.891008e-01	9.963657e-03	9.963657e-03
2.000000e+00	2.200000e+00	9.899458e-01	1.095617e-02	1.095617e-02
2.200000e+00	2.400000e+00	1.010883e+00	1.257060e-02	1.257060e-02
2.400000e+00	2.600000e+00	1.009367e+00	1.406738e-02	1.406738e-02
2.600000e+00	2.800000e+00	9.823391e-01	1.550807e-02	1.550807e-02
2.800000e+00	3.000000e+00	1.030283e+00	1.881161e-02	1.881161e-02
3.000000e+00	3.200000e+00	9.622857e-01	3.284839e-02	3.284839e-02
3.200000e+00	3.400000e+00	9.553219e-01	3.503295e-02	3.503295e-02
3.400000e+00	3.600000e+00	1.026087e+00	4.053926e-02	4.053926e-02
3.600000e+00	3.800000e+00	9.751712e-01	4.060892e-02	4.060892e-02
3.800000e+00	4.000000e+00	1.012133e+00	4.537840e-02	4.537840e-02
4.000000e+00	4.200000e+00	1.063510e+00	5.034024e-02	5.034024e-02
4.200000e+00	4.400000e+00	1.058290e+00	5.311865e-02	5.311865e-02
4.400000e+00	4.600000e+00	1.013867e+00	5.608977e-02	5.608977e-02
4.600000e+00	4.800000e+00	1.034014e+00	5.980691e-02	5.980691e-02
4.800000e+00	5.000000e+00	1.127193e+00	7.251372e-02	7.251372e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0069467054171944709, dn: 0.0069467054171944709}}, 1: {"": {up: 0.0070154744812635627, dn: 0.0070154744812635627}}, 2: {"": {up: 0.0071577781628593615, dn: 0.0071577781628593615}}, 3: {"": {up: 0.0071431626705780174, dn: 0.0071431626705780174}}, 4: {"": {up: 0.0073763004802126454, dn: 0.0073763004802126454}}, 5: {"": {up: 0.0077822723013194033, dn: 0.0077822723013194033}}, 6: {"": {up: 0.0081173544242355115, dn: 0.0081173544242355115}}, 7: {"": {up: 0.0087361447673532464, dn: 0.0087361447673532464}}, 8: {"": {up: 0.0092330257851696244, dn: 0.0092330257851696244}}, 9: {"": {up: 0.010294035661170894, dn: 0.010294035661170894}}, 10: {"": {up: 0.011241668057949378, dn: 0.011241668057949378}}, 11: {"": {up: 0.012219514235177814, dn: 0.012219514235177814}}, 12: {"": {up: 0.013947079495535687, dn: 0.013947079495535687}}, 13: {"": {up: 0.015683877111834485, dn: 0.015683877111834485}}, 14: {"": {up: 0.018320799020416133, dn: 0.018320799020416133}}, 15: {"": {up: 0.031721132807245991, dn: 0.031721132807245991}}, 16: {"": {up: 0.035187309203290933, dn: 0.035187309203290933}}, 17: {"": {up: 0.039496859061415861, dn: 0.039496859061415861}}, 18: {"": {up: 0.043458285563496929, dn: 0.043458285563496929}}, 19: {"": {up: 0.04716470947982597, dn: 0.04716470947982597}}, 20: {"": {up: 0.046527631567194784, dn: 0.046527631567194784}}, 21: {"": {up: 0.048504422044308236, dn: 0.048504422044308236}}, 22: {"": {up: 0.057817080146768687, dn: 0.057817080146768687}}, 23: {"": {up: 0.05861572817906633, dn: 0.05861572817906633}}, 24: {"": {up: 0.058938895658553758, dn: 0.058938895658553758}}}
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_eta_pmratio_1
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.000338e+00	6.946705e-03	6.946705e-03
2.000000e-01	4.000000e-01	1.002550e+00	7.015474e-03	7.015474e-03
4.000000e-01	6.000000e-01	1.009147e+00	7.157778e-03	7.157778e-03
6.000000e-01	8.000000e-01	9.853413e-01	7.143163e-03	7.143163e-03
