# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading electron
XLabel=$p_\perp(\mathrm{e1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{e1})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084713e+00	4.334725e-05	7.405732e-07	7.405732e-07
1.084713e+00	1.176602e+00	3.906394e-05	6.750227e-07	6.750227e-07
1.176602e+00	1.276275e+00	3.346466e-05	5.998831e-07	5.998831e-07
1.276275e+00	1.384392e+00	2.965151e-05	5.421739e-07	5.421739e-07
1.384392e+00	1.501668e+00	2.536169e-05	4.814450e-07	4.814450e-07
1.501668e+00	1.628879e+00	2.299340e-05	4.401508e-07	4.401508e-07
1.628879e+00	1.766866e+00	1.988503e-05	3.930123e-07	3.930123e-07
1.766866e+00	1.916542e+00	1.803850e-05	3.594068e-07	3.594068e-07
1.916542e+00	2.078898e+00	1.571205e-05	3.220657e-07	3.220657e-07
2.078898e+00	2.255007e+00	1.474066e-05	2.995228e-07	2.995228e-07
2.255007e+00	2.446035e+00	1.348844e-05	2.751025e-07	2.751025e-07
2.446035e+00	2.653246e+00	1.196430e-05	2.487708e-07	2.487708e-07
2.653246e+00	2.878010e+00	1.061507e-05	2.249884e-07	2.249884e-07
2.878010e+00	3.121814e+00	1.014657e-05	2.112037e-07	2.112037e-07
3.121814e+00	3.386272e+00	8.973156e-06	1.907025e-07	1.907025e-07
3.386272e+00	3.673133e+00	8.702065e-06	1.803174e-07	1.803174e-07
3.673133e+00	3.984294e+00	8.125819e-06	1.673028e-07	1.673028e-07
3.984294e+00	4.321815e+00	7.662685e-06	1.559920e-07	1.559920e-07
4.321815e+00	4.687929e+00	7.304299e-06	1.462323e-07	1.462323e-07
4.687929e+00	5.085057e+00	7.189987e-06	1.393031e-07	1.393031e-07
5.085057e+00	5.515826e+00	6.536420e-06	1.275293e-07	1.275293e-07
5.515826e+00	5.983088e+00	6.149796e-06	1.187715e-07	1.187715e-07
5.983088e+00	6.489932e+00	5.919062e-06	1.118798e-07	1.118798e-07
6.489932e+00	7.039713e+00	5.645901e-06	1.049141e-07	1.049141e-07
7.039713e+00	7.636067e+00	5.354152e-06	9.809694e-08	9.809694e-08
7.636067e+00	8.282940e+00	5.080161e-06	9.174691e-08	9.174691e-08
8.282940e+00	8.984612e+00	5.083625e-06	8.812150e-08	8.812150e-08
8.984612e+00	9.745724e+00	4.730268e-06	8.161703e-08	8.161703e-08
9.745724e+00	1.057131e+01	4.580265e-06	7.711277e-08	7.711277e-08
1.057131e+01	1.146684e+01	4.341020e-06	7.208054e-08	7.208054e-08
1.146684e+01	1.243823e+01	4.007528e-06	6.649725e-08	6.649725e-08
1.243823e+01	1.349190e+01	4.050615e-06	6.419044e-08	6.419044e-08
1.349190e+01	1.463484e+01	3.768000e-06	5.944371e-08	5.944371e-08
1.463484e+01	1.587460e+01	3.535982e-06	5.529023e-08	5.529023e-08
1.587460e+01	1.721938e+01	3.349108e-06	5.166556e-08	5.166556e-08
1.721938e+01	1.867809e+01	3.204361e-06	4.852309e-08	4.852309e-08
1.867809e+01	2.026036e+01	3.071322e-06	4.561257e-08	4.561257e-08
2.026036e+01	2.197668e+01	2.897013e-06	4.253420e-08	4.253420e-08
2.197668e+01	2.383838e+01	2.741600e-06	3.972916e-08	3.972916e-08
2.383838e+01	2.585780e+01	2.616644e-06	3.726672e-08	3.726672e-08
2.585780e+01	2.804829e+01	2.530705e-06	3.518944e-08	3.518944e-08
2.804829e+01	3.042434e+01	2.540572e-06	3.385323e-08	3.385323e-08
3.042434e+01	3.300167e+01	2.515163e-06	3.234150e-08	3.234150e-08
3.300167e+01	3.579734e+01	2.691000e-06	3.212004e-08	3.212004e-08
3.579734e+01	3.882983e+01	2.886606e-06	3.194157e-08	3.194157e-08
3.882983e+01	4.211922e+01	3.391051e-06	3.324082e-08	3.324082e-08
4.211922e+01	4.568726e+01	4.199541e-06	3.551797e-08	3.551797e-08
4.568726e+01	4.955756e+01	5.559771e-06	3.923904e-08	3.923904e-08
4.955756e+01	5.375572e+01	6.266038e-06	3.999717e-08	3.999717e-08
5.375572e+01	5.830952e+01	6.595527e-06	3.940034e-08	3.940034e-08
5.830952e+01	6.324909e+01	6.534368e-06	3.765472e-08	3.765472e-08
6.324909e+01	6.860710e+01	6.404540e-06	3.579352e-08	3.579352e-08
6.860710e+01	7.441900e+01	6.143743e-06	3.366043e-08	3.366043e-08
7.441900e+01	8.072325e+01	5.749617e-06	3.126546e-08	3.126546e-08
8.072325e+01	8.756154e+01	5.286333e-06	2.878496e-08	2.878496e-08
8.756154e+01	9.497913e+01	4.779412e-06	2.627955e-08	2.627955e-08
9.497913e+01	1.030251e+02	4.298777e-06	2.393015e-08	2.393015e-08
1.030251e+02	1.117526e+02	3.722132e-06	2.138027e-08	2.138027e-08
1.117526e+02	1.212195e+02	3.270536e-06	1.924278e-08	1.924278e-08
1.212195e+02	1.314884e+02	2.851759e-06	1.725268e-08	1.725268e-08
1.314884e+02	1.426271e+02	2.380328e-06	1.513434e-08	1.513434e-08
1.426271e+02	1.547095e+02	2.020896e-06	1.338929e-08	1.338929e-08
1.547095e+02	1.678154e+02	1.668842e-06	1.168252e-08	1.168252e-08
1.678154e+02	1.820315e+02	1.370912e-06	1.016662e-08	1.016662e-08
1.820315e+02	1.974519e+02	1.124067e-06	8.839152e-09	8.839152e-09
1.974519e+02	2.141786e+02	8.868498e-07	7.538452e-09	7.538452e-09
2.141786e+02	2.323223e+02	7.134995e-07	6.492261e-09	6.492261e-09
2.323223e+02	2.520030e+02	5.578963e-07	5.512118e-09	5.512118e-09
2.520030e+02	2.733509e+02	4.332411e-07	4.663902e-09	4.663902e-09
2.733509e+02	2.965072e+02	3.339115e-07	3.931364e-09	3.931364e-09
2.965072e+02	3.216252e+02	2.633267e-07	3.352101e-09	3.352101e-09
3.216252e+02	3.488710e+02	1.863101e-07	2.707264e-09	2.707264e-09
