# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second electron
XLabel=$p_\perp(\mathrm{e2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{e2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.167099e+00	2.926854e-05	4.332871e-07	4.332871e-07
1.167099e+00	1.362120e+00	2.098904e-05	3.396392e-07	3.396392e-07
1.362120e+00	1.589730e+00	1.728220e-05	2.852765e-07	2.852765e-07
1.589730e+00	1.855372e+00	1.348448e-05	2.332549e-07	2.332549e-07
1.855372e+00	2.165403e+00	1.077250e-05	1.929825e-07	1.929825e-07
2.165403e+00	2.527240e+00	8.871727e-06	1.621100e-07	1.621100e-07
2.527240e+00	2.949540e+00	7.522834e-06	1.381791e-07	1.381791e-07
2.949540e+00	3.442405e+00	6.352255e-06	1.175336e-07	1.175336e-07
3.442405e+00	4.017629e+00	5.850823e-06	1.044124e-07	1.044124e-07
4.017629e+00	4.688971e+00	5.525634e-06	9.392503e-08	9.392503e-08
4.688971e+00	5.472494e+00	5.263900e-06	8.485748e-08	8.485748e-08
5.472494e+00	6.386943e+00	5.260387e-06	7.852199e-08	7.852199e-08
6.386943e+00	7.454196e+00	5.430169e-06	7.384739e-08	7.384739e-08
7.454196e+00	8.699785e+00	5.668097e-06	6.983826e-08	6.983826e-08
8.699785e+00	1.015351e+01	6.113662e-06	6.713852e-08	6.713852e-08
1.015351e+01	1.185016e+01	6.626859e-06	6.470232e-08	6.470232e-08
1.185016e+01	1.383031e+01	7.405323e-06	6.331188e-08	6.331188e-08
1.383031e+01	1.614134e+01	8.257729e-06	6.188563e-08	6.188563e-08
1.614134e+01	1.883854e+01	9.090575e-06	6.010371e-08	6.010371e-08
1.883854e+01	2.198645e+01	9.874498e-06	5.798405e-08	5.798405e-08
2.198645e+01	2.566036e+01	1.047550e-05	5.528221e-08	5.528221e-08
2.566036e+01	2.994819e+01	1.084842e-05	5.207468e-08	5.207468e-08
2.994819e+01	3.495251e+01	1.085101e-05	4.820862e-08	4.820862e-08
3.495251e+01	4.079304e+01	1.025024e-05	4.337137e-08	4.337137e-08
4.079304e+01	4.760952e+01	8.635959e-06	3.684999e-08	3.684999e-08
4.760952e+01	5.556503e+01	6.491172e-06	2.957261e-08	2.957261e-08
5.556503e+01	6.484990e+01	4.886603e-06	2.375077e-08	2.375077e-08
6.484990e+01	7.568627e+01	3.492713e-06	1.858668e-08	1.858668e-08
7.568627e+01	8.833338e+01	2.439830e-06	1.437959e-08	1.437959e-08
8.833338e+01	1.030938e+02	1.603336e-06	1.079009e-08	1.079009e-08
1.030938e+02	1.203207e+02	1.030209e-06	8.006103e-09	8.006103e-09
1.203207e+02	1.404262e+02	6.352963e-07	5.819596e-09	5.819596e-09
1.404262e+02	1.638913e+02	3.672011e-07	4.095462e-09	4.095462e-09
1.638913e+02	1.912774e+02	2.081729e-07	2.854363e-09	2.854363e-09
1.912774e+02	2.232397e+02	1.127080e-07	1.944109e-09	1.944109e-09
2.232397e+02	2.605428e+02	5.895990e-08	1.301572e-09	1.301572e-09
2.605428e+02	3.040793e+02	2.781951e-08	8.275802e-10	8.275802e-10
3.040793e+02	3.548907e+02	1.305731e-08	5.248177e-10	5.248177e-10
3.548907e+02	4.141926e+02	5.964440e-09	3.283316e-10	3.283316e-10
4.141926e+02	4.834039e+02	2.353916e-09	1.909278e-10	1.909278e-10
4.834039e+02	5.641803e+02	7.563359e-10	1.001791e-10	1.001791e-10
5.641803e+02	6.584543e+02	3.638165e-10	6.431428e-11	6.431428e-11
6.584543e+02	7.684814e+02	8.767327e-11	2.922442e-11	2.922442e-11
7.684814e+02	8.968940e+02	2.504021e-11	1.445697e-11	1.445697e-11
8.968940e+02	1.046764e+03	7.151705e-12	7.151705e-12	7.151705e-12
1.046764e+03	1.221678e+03	6.127731e-12	6.127731e-12	6.127731e-12
1.221678e+03	1.425819e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.425819e+03	1.664072e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.664072e+03	1.942137e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.942137e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.167099e+00	2.926422e-05	4.337463e-07	4.337463e-07
1.167099e+00	1.362120e+00	2.241927e-05	3.514183e-07	3.514183e-07
1.362120e+00	1.589730e+00	1.727421e-05	2.855339e-07	2.855339e-07
1.589730e+00	1.855372e+00	1.375771e-05	2.358734e-07	2.358734e-07
1.855372e+00	2.165403e+00	1.056132e-05	1.912982e-07	1.912982e-07
2.165403e+00	2.527240e+00	8.716690e-06	1.608695e-07	1.608695e-07
2.527240e+00	2.949540e+00	7.689986e-06	1.398642e-07	1.398642e-07
2.949540e+00	3.442405e+00	6.425516e-06	1.183435e-07	1.183435e-07
3.442405e+00	4.017629e+00	5.813674e-06	1.041984e-07	1.041984e-07
4.017629e+00	4.688971e+00	5.480564e-06	9.364724e-08	9.364724e-08
4.688971e+00	5.472494e+00	5.264874e-06	8.496155e-08	8.496155e-08
5.472494e+00	6.386943e+00	5.227680e-06	7.836625e-08	7.836625e-08
6.386943e+00	7.454196e+00	5.349884e-06	7.338255e-08	7.338255e-08
7.454196e+00	8.699785e+00	5.678368e-06	6.998076e-08	6.998076e-08
8.699785e+00	1.015351e+01	6.047723e-06	6.685118e-08	6.685118e-08
1.015351e+01	1.185016e+01	6.753962e-06	6.539393e-08	6.539393e-08
1.185016e+01	1.383031e+01	7.531172e-06	6.391995e-08	6.391995e-08
1.383031e+01	1.614134e+01	8.242996e-06	6.190048e-08	6.190048e-08
1.614134e+01	1.883854e+01	8.971797e-06	5.977746e-08	5.977746e-08
1.883854e+01	2.198645e+01	9.870622e-06	5.803840e-08	5.803840e-08
2.198645e+01	2.566036e+01	1.045015e-05	5.527786e-08	5.527786e-08
2.566036e+01	2.994819e+01	1.084071e-05	5.211520e-08	5.211520e-08
2.994819e+01	3.495251e+01	1.088314e-05	4.833468e-08	4.833468e-08
3.495251e+01	4.079304e+01	1.024867e-05	4.341720e-08	4.341720e-08
4.079304e+01	4.760952e+01	8.770439e-06	3.717790e-08	3.717790e-08
4.760952e+01	5.556503e+01	6.528585e-06	2.969134e-08	2.969134e-08
5.556503e+01	6.484990e+01	4.898615e-06	2.380691e-08	2.380691e-08
6.484990e+01	7.568627e+01	3.499348e-06	1.862541e-08	1.862541e-08
7.568627e+01	8.833338e+01	2.426169e-06	1.435553e-08	1.435553e-08
8.833338e+01	1.030938e+02	1.618182e-06	1.085222e-08	1.085222e-08
1.030938e+02	1.203207e+02	1.026933e-06	8.002428e-09	8.002428e-09
1.203207e+02	1.404262e+02	6.341195e-07	5.820797e-09	5.820797e-09
1.404262e+02	1.638913e+02	3.722002e-07	4.127921e-09	4.127921e-09
1.638913e+02	1.912774e+02	2.049971e-07	2.835718e-09	2.835718e-09
1.912774e+02	2.232397e+02	1.123251e-07	1.943004e-09	1.943004e-09
2.232397e+02	2.605428e+02	5.788414e-08	1.291105e-09	1.291105e-09
2.605428e+02	3.040793e+02	2.832676e-08	8.360378e-10	8.360378e-10
3.040793e+02	3.548907e+02	1.325607e-08	5.293966e-10	5.293966e-10
3.548907e+02	4.141926e+02	6.285928e-09	3.374463e-10	3.374463e-10
4.141926e+02	4.834039e+02	2.281649e-09	1.881873e-10	1.881873e-10
4.834039e+02	5.641803e+02	7.314535e-10	9.862917e-11	9.862917e-11
5.641803e+02	6.584543e+02	3.304568e-10	6.136428e-11	6.136428e-11
6.584543e+02	7.684814e+02	5.858145e-11	2.391578e-11	2.391578e-11
7.684814e+02	8.968940e+02	6.692539e-11	2.366170e-11	2.366170e-11
8.968940e+02	1.046764e+03	1.433586e-11	1.013699e-11	1.013699e-11
1.046764e+03	1.221678e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.221678e+03	1.425819e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.425819e+03	1.664072e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.664072e+03	1.942137e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.942137e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_pt_2
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.167099e+00	1.424609e-05	2.169232e-07	2.169232e-07
1.167099e+00	1.362120e+00	1.126115e-05	1.785236e-07	1.785236e-07
1.362120e+00	1.589730e+00	8.547871e-06	1.439721e-07	1.439721e-07
1.589730e+00	1.855372e+00	6.459728e-06	1.158521e-07	1.158521e-07
1.855372e+00	2.165403e+00	5.456516e-06	9.855990e-08	9.855990e-08
2.165403e+00	2.527240e+00	4.518167e-06	8.301750e-08	8.301750e-08
2.527240e+00	2.949540e+00	3.655624e-06	6.912184e-08	6.912184e-08
2.949540e+00	3.442405e+00	3.301336e-06	6.080312e-08	6.080312e-08
3.442405e+00	4.017629e+00	2.950518e-06	5.320785e-08	5.320785e-08
4.017629e+00	4.688971e+00	2.711421e-06	4.721408e-08	4.721408e-08
4.688971e+00	5.472494e+00	2.624709e-06	4.299914e-08	4.299914e-08
5.472494e+00	6.386943e+00	2.562172e-06	3.932507e-08	3.932507e-08
6.386943e+00	7.454196e+00	2.731625e-06	3.758564e-08	3.758564e-08
7.454196e+00	8.699785e+00	2.774779e-06	3.506484e-08	3.506484e-08
