# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first electron
XLabel=$y(\mathrm{e1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{e1})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.443763e-06	1.144397e-07	1.144397e-07
-4.800000e+00	-4.600000e+00	3.151169e-06	1.299520e-07	1.299520e-07
-4.600000e+00	-4.400000e+00	3.478076e-06	1.365264e-07	1.365264e-07
-4.400000e+00	-4.200000e+00	4.137249e-06	1.489029e-07	1.489029e-07
-4.200000e+00	-4.000000e+00	4.641007e-06	1.577078e-07	1.577078e-07
-4.000000e+00	-3.800000e+00	5.300180e-06	1.685359e-07	1.685359e-07
-3.800000e+00	-3.600000e+00	6.259465e-06	1.831538e-07	1.831538e-07
-3.600000e+00	-3.400000e+00	6.779300e-06	1.906073e-07	1.906073e-07
-3.400000e+00	-3.200000e+00	8.156595e-06	2.090748e-07	2.090748e-07
-3.200000e+00	-3.000000e+00	9.378480e-06	2.241885e-07	2.241885e-07
-3.000000e+00	-2.800000e+00	3.167782e-05	4.120262e-07	4.120262e-07
-2.800000e+00	-2.600000e+00	4.339289e-05	4.822324e-07	4.822324e-07
-2.600000e+00	-2.400000e+00	5.492575e-05	5.425442e-07	5.425442e-07
-2.400000e+00	-2.200000e+00	6.893985e-05	6.078304e-07	6.078304e-07
-2.200000e+00	-2.000000e+00	8.794870e-05	6.865337e-07	6.865337e-07
-2.000000e+00	-1.800000e+00	1.062073e-04	7.544392e-07	7.544392e-07
-1.800000e+00	-1.600000e+00	1.232493e-04	8.127170e-07	8.127170e-07
-1.600000e+00	-1.400000e+00	1.431960e-04	8.760171e-07	8.760171e-07
-1.400000e+00	-1.200000e+00	1.610044e-04	9.288937e-07	9.288937e-07
-1.200000e+00	-1.000000e+00	1.761386e-04	9.715706e-07	9.715706e-07
-1.000000e+00	-8.000000e-01	1.911763e-04	1.012195e-06	1.012195e-06
-8.000000e-01	-6.000000e-01	2.032986e-04	1.043793e-06	1.043793e-06
-6.000000e-01	-4.000000e-01	2.117661e-04	1.065308e-06	1.065308e-06
-4.000000e-01	-2.000000e-01	2.189741e-04	1.083287e-06	1.083287e-06
-2.000000e-01	0.000000e+00	2.242903e-04	1.096358e-06	1.096358e-06
0.000000e+00	2.000000e-01	2.217179e-04	1.090053e-06	1.090053e-06
2.000000e-01	4.000000e-01	2.197351e-04	1.085168e-06	1.085168e-06
4.000000e-01	6.000000e-01	2.116857e-04	1.065106e-06	1.065106e-06
6.000000e-01	8.000000e-01	2.040114e-04	1.045621e-06	1.045621e-06
8.000000e-01	1.000000e+00	1.918676e-04	1.014023e-06	1.014023e-06
1.000000e+00	1.200000e+00	1.772372e-04	9.745959e-07	9.745959e-07
1.200000e+00	1.400000e+00	1.597343e-04	9.252225e-07	9.252225e-07
1.400000e+00	1.600000e+00	1.420598e-04	8.725350e-07	8.725350e-07
1.600000e+00	1.800000e+00	1.250982e-04	8.187903e-07	8.187903e-07
1.800000e+00	2.000000e+00	1.050497e-04	7.503166e-07	7.503166e-07
2.000000e+00	2.200000e+00	8.706445e-05	6.830738e-07	6.830738e-07
2.200000e+00	2.400000e+00	6.969015e-05	6.111289e-07	6.111289e-07
2.400000e+00	2.600000e+00	5.544020e-05	5.450791e-07	5.450791e-07
2.600000e+00	2.800000e+00	4.262653e-05	4.779551e-07	4.779551e-07
2.800000e+00	3.000000e+00	3.263710e-05	4.182183e-07	4.182183e-07
3.000000e+00	3.200000e+00	9.024775e-06	2.199203e-07	2.199203e-07
3.200000e+00	3.400000e+00	7.792175e-06	2.043509e-07	2.043509e-07
3.400000e+00	3.600000e+00	6.956150e-06	1.930775e-07	1.930775e-07
3.600000e+00	3.800000e+00	6.104050e-06	1.808657e-07	1.808657e-07
3.800000e+00	4.000000e+00	5.364490e-06	1.695553e-07	1.695553e-07
4.000000e+00	4.200000e+00	4.935759e-06	1.626388e-07	1.626388e-07
4.200000e+00	4.400000e+00	4.378410e-06	1.531812e-07	1.531812e-07
4.400000e+00	4.600000e+00	3.526308e-06	1.374698e-07	1.374698e-07
4.600000e+00	4.800000e+00	3.258351e-06	1.321436e-07	1.321436e-07
4.800000e+00	5.000000e+00	2.754593e-06	1.214999e-07	1.214999e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.776956e-06	1.221304e-07	1.221304e-07
-4.800000e+00	-4.600000e+00	3.174432e-06	1.305787e-07	1.305787e-07
-4.600000e+00	-4.400000e+00	3.485967e-06	1.368362e-07	1.368362e-07
-4.400000e+00	-4.200000e+00	4.168120e-06	1.496268e-07	1.496268e-07
-4.200000e+00	-4.000000e+00	4.710620e-06	1.590663e-07	1.590663e-07
-4.000000e+00	-3.800000e+00	5.151065e-06	1.663366e-07	1.663366e-07
-3.800000e+00	-3.600000e+00	5.967500e-06	1.790340e-07	1.790340e-07
-3.600000e+00	-3.400000e+00	6.837650e-06	1.916429e-07	1.916429e-07
-3.400000e+00	-3.200000e+00	8.089160e-06	2.084448e-07	2.084448e-07
-3.200000e+00	-3.000000e+00	9.797230e-06	2.293987e-07	2.293987e-07
-3.000000e+00	-2.800000e+00	3.235664e-05	4.168896e-07	4.168896e-07
-2.800000e+00	-2.600000e+00	4.309385e-05	4.811128e-07	4.811128e-07
-2.600000e+00	-2.400000e+00	5.497515e-05	5.434036e-07	5.434036e-07
-2.400000e+00	-2.200000e+00	7.065395e-05	6.160379e-07	6.160379e-07
-2.200000e+00	-2.000000e+00	8.678930e-05	6.827666e-07	6.827666e-07
-2.000000e+00	-1.800000e+00	1.039291e-04	7.471499e-07	7.471499e-07
-1.800000e+00	-1.600000e+00	1.244689e-04	8.176541e-07	8.176541e-07
-1.600000e+00	-1.400000e+00	1.416785e-04	8.723510e-07	8.723510e-07
-1.400000e+00	-1.200000e+00	1.619981e-04	9.328121e-07	9.328121e-07
-1.200000e+00	-1.000000e+00	1.776178e-04	9.767479e-07	9.767479e-07
-1.000000e+00	-8.000000e-01	1.939250e-04	1.020601e-06	1.020601e-06
-8.000000e-01	-6.000000e-01	2.059298e-04	1.051717e-06	1.051717e-06
-6.000000e-01	-4.000000e-01	2.125634e-04	1.068522e-06	1.068522e-06
-4.000000e-01	-2.000000e-01	2.191056e-04	1.084841e-06	1.084841e-06
-2.000000e-01	0.000000e+00	2.227258e-04	1.093766e-06	1.093766e-06
0.000000e+00	2.000000e-01	2.228011e-04	1.093951e-06	1.093951e-06
2.000000e-01	4.000000e-01	2.196642e-04	1.086223e-06	1.086223e-06
4.000000e-01	6.000000e-01	2.145078e-04	1.073398e-06	1.073398e-06
6.000000e-01	8.000000e-01	2.029112e-04	1.043980e-06	1.043980e-06
8.000000e-01	1.000000e+00	1.916154e-04	1.014506e-06	1.014506e-06
1.000000e+00	1.200000e+00	1.777790e-04	9.771909e-07	9.771909e-07
1.200000e+00	1.400000e+00	1.613106e-04	9.308305e-07	9.308305e-07
1.400000e+00	1.600000e+00	1.422962e-04	8.742505e-07	8.742505e-07
1.600000e+00	1.800000e+00	1.234484e-04	8.142952e-07	8.142952e-07
1.800000e+00	2.000000e+00	1.056640e-04	7.533605e-07	7.533605e-07
2.000000e+00	2.200000e+00	8.799785e-05	6.875040e-07	6.875040e-07
2.200000e+00	2.400000e+00	6.980525e-05	6.123269e-07	6.123269e-07
2.400000e+00	2.600000e+00	5.480865e-05	5.425799e-07	5.425799e-07
2.600000e+00	2.800000e+00	4.271249e-05	4.789793e-07	4.789793e-07
2.800000e+00	3.000000e+00	3.259298e-05	4.184093e-07	4.184093e-07
3.000000e+00	3.200000e+00	9.249360e-06	2.228923e-07	2.228923e-07
3.200000e+00	3.400000e+00	7.718540e-06	2.036137e-07	2.036137e-07
3.400000e+00	3.600000e+00	6.805425e-06	1.911907e-07	1.911907e-07
3.600000e+00	3.800000e+00	6.160870e-06	1.819115e-07	1.819115e-07
3.800000e+00	4.000000e+00	5.376660e-06	1.699400e-07	1.699400e-07
4.000000e+00	4.200000e+00	4.549482e-06	1.563220e-07	1.563220e-07
4.200000e+00	4.400000e+00	3.921041e-06	1.451242e-07	1.451242e-07
4.400000e+00	4.600000e+00	3.679333e-06	1.405801e-07	1.405801e-07
4.600000e+00	4.800000e+00	3.206659e-06	1.312398e-07	1.312398e-07
4.800000e+00	5.000000e+00	2.583590e-06	1.178016e-07	1.178016e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_1
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.446077e-06	6.317217e-08	6.317217e-08
-4.800000e+00	-4.600000e+00	1.584061e-06	6.611745e-08	6.611745e-08
-4.600000e+00	-4.400000e+00	1.868310e-06	7.180496e-08	7.180496e-08
-4.400000e+00	-4.200000e+00	2.083565e-06	7.582870e-08	7.582870e-08
-4.200000e+00	-4.000000e+00	2.193952e-06	7.781149e-08	7.781149e-08
-4.000000e+00	-3.800000e+00	2.759689e-06	8.726902e-08	8.726902e-08
-3.800000e+00	-3.600000e+00	2.980464e-06	9.069264e-08	9.069264e-08
-3.600000e+00	-3.400000e+00	3.455130e-06	9.764776e-08	9.764776e-08
-3.400000e+00	-3.200000e+00	4.197487e-06	1.076279e-07	1.076279e-07
-3.200000e+00	-3.000000e+00	4.732866e-06	1.142858e-07	1.142858e-07
-3.000000e+00	-2.800000e+00	1.620489e-05	2.114722e-07	2.114722e-07
-2.800000e+00	-2.600000e+00	2.143175e-05	2.431973e-07	2.431973e-07
-2.600000e+00	-2.400000e+00	2.800256e-05	2.779899e-07	2.779899e-07
