# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second electron
XLabel=$y(\mathrm{e2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{e2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.666689e-06	9.450930e-08	9.450930e-08
-4.800000e+00	-4.600000e+00	1.832823e-06	9.910771e-08	9.910771e-08
-4.600000e+00	-4.400000e+00	2.315145e-06	1.113874e-07	1.113874e-07
-4.400000e+00	-4.200000e+00	2.684924e-06	1.199536e-07	1.199536e-07
-4.200000e+00	-4.000000e+00	3.070782e-06	1.282838e-07	1.282838e-07
-4.000000e+00	-3.800000e+00	3.488794e-06	1.367366e-07	1.367366e-07
-3.800000e+00	-3.600000e+00	3.960398e-06	1.456856e-07	1.456856e-07
-3.600000e+00	-3.400000e+00	4.180122e-06	1.496724e-07	1.496724e-07
-3.400000e+00	-3.200000e+00	5.080455e-06	1.650055e-07	1.650055e-07
-3.200000e+00	-3.000000e+00	7.143720e-06	1.956634e-07	1.956634e-07
-3.000000e+00	-2.800000e+00	3.280860e-05	4.193156e-07	4.193156e-07
-2.800000e+00	-2.600000e+00	4.167260e-05	4.725769e-07	4.725769e-07
-2.600000e+00	-2.400000e+00	5.201570e-05	5.279763e-07	5.279763e-07
-2.400000e+00	-2.200000e+00	6.413810e-05	5.862800e-07	5.862800e-07
-2.200000e+00	-2.000000e+00	7.686600e-05	6.418216e-07	6.418216e-07
-2.000000e+00	-1.800000e+00	9.094980e-05	6.981490e-07	6.981490e-07
-1.800000e+00	-1.600000e+00	1.049104e-04	7.498188e-07	7.498188e-07
-1.600000e+00	-1.400000e+00	1.201892e-04	8.025645e-07	8.025645e-07
-1.400000e+00	-1.200000e+00	1.325367e-04	8.427819e-07	8.427819e-07
-1.200000e+00	-1.000000e+00	1.457737e-04	8.838668e-07	8.838668e-07
-1.000000e+00	-8.000000e-01	1.552005e-04	9.119975e-07	9.119975e-07
-8.000000e-01	-6.000000e-01	1.642841e-04	9.383071e-07	9.383071e-07
-6.000000e-01	-4.000000e-01	1.727784e-04	9.622588e-07	9.622588e-07
-4.000000e-01	-2.000000e-01	1.750667e-04	9.686101e-07	9.686101e-07
-2.000000e-01	0.000000e+00	1.776927e-04	9.758476e-07	9.758476e-07
0.000000e+00	2.000000e-01	1.771514e-04	9.743602e-07	9.743602e-07
2.000000e-01	4.000000e-01	1.752329e-04	9.690695e-07	9.690695e-07
4.000000e-01	6.000000e-01	1.718191e-04	9.595838e-07	9.595838e-07
6.000000e-01	8.000000e-01	1.650130e-04	9.403862e-07	9.403862e-07
8.000000e-01	1.000000e+00	1.555059e-04	9.128946e-07	9.128946e-07
1.000000e+00	1.200000e+00	1.442732e-04	8.793058e-07	8.793058e-07
1.200000e+00	1.400000e+00	1.332816e-04	8.451470e-07	8.451470e-07
1.400000e+00	1.600000e+00	1.190852e-04	7.988701e-07	7.988701e-07
1.600000e+00	1.800000e+00	1.049693e-04	7.500295e-07	7.500295e-07
1.800000e+00	2.000000e+00	9.158755e-05	7.005924e-07	7.005924e-07
2.000000e+00	2.200000e+00	7.671595e-05	6.411948e-07	6.411948e-07
2.200000e+00	2.400000e+00	6.467935e-05	5.887487e-07	5.887487e-07
2.400000e+00	2.600000e+00	5.256235e-05	5.307433e-07	5.307433e-07
2.600000e+00	2.800000e+00	4.212813e-05	4.751528e-07	4.751528e-07
2.800000e+00	3.000000e+00	3.216550e-05	4.151857e-07	4.151857e-07
3.000000e+00	3.200000e+00	6.296980e-06	1.837017e-07	1.837017e-07
3.200000e+00	3.400000e+00	5.439520e-06	1.707369e-07	1.707369e-07
3.400000e+00	3.600000e+00	4.292664e-06	1.516738e-07	1.516738e-07
3.600000e+00	3.800000e+00	3.874652e-06	1.440998e-07	1.440998e-07
3.800000e+00	4.000000e+00	3.279788e-06	1.325776e-07	1.325776e-07
4.000000e+00	4.200000e+00	2.786748e-06	1.222070e-07	1.222070e-07
4.200000e+00	4.400000e+00	2.674206e-06	1.197139e-07	1.197139e-07
4.400000e+00	4.600000e+00	2.358018e-06	1.124141e-07	1.124141e-07
4.600000e+00	4.800000e+00	1.848900e-06	9.954144e-08	9.954144e-08
4.800000e+00	5.000000e+00	1.779231e-06	9.764802e-08	9.764802e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electron_y_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.697327e-06	9.548212e-08	9.548212e-08
-4.800000e+00	-4.600000e+00	1.874580e-06	1.003440e-07	1.003440e-07
