# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between electrons
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{e1,~e2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{e1,~e2})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.086242e-04	7.629754e-07	7.629754e-07
2.000000e-01	4.000000e-01	4.161365e-05	4.722425e-07	4.722425e-07
4.000000e-01	6.000000e-01	1.047389e-04	7.492057e-07	7.492057e-07
6.000000e-01	8.000000e-01	1.616850e-04	9.308550e-07	9.308550e-07
8.000000e-01	1.000000e+00	1.913907e-04	1.012762e-06	1.012762e-06
1.000000e+00	1.200000e+00	2.129558e-04	1.068297e-06	1.068297e-06
1.200000e+00	1.400000e+00	2.210427e-04	1.088392e-06	1.088392e-06
1.400000e+00	1.600000e+00	2.258873e-04	1.100255e-06	1.100255e-06
1.600000e+00	1.800000e+00	2.289957e-04	1.107799e-06	1.107799e-06
1.800000e+00	2.000000e+00	2.285026e-04	1.106605e-06	1.106605e-06
2.000000e+00	2.200000e+00	2.330043e-04	1.117453e-06	1.117453e-06
2.200000e+00	2.400000e+00	2.354427e-04	1.123285e-06	1.123285e-06
2.400000e+00	2.600000e+00	2.375006e-04	1.128183e-06	1.128183e-06
2.600000e+00	2.800000e+00	2.415628e-04	1.137790e-06	1.137790e-06
2.800000e+00	3.000000e+00	2.444407e-04	1.144548e-06	1.144548e-06
3.000000e+00	3.200000e+00	2.319164e-04	1.114841e-06	1.114841e-06
3.200000e+00	3.400000e+00	1.103820e-04	7.691240e-07	7.691240e-07
3.400000e+00	3.600000e+00	6.235350e-05	5.780662e-07	5.780662e-07
3.600000e+00	3.800000e+00	4.195664e-05	4.741847e-07	4.741847e-07
3.800000e+00	4.000000e+00	2.947522e-05	3.974438e-07	3.974438e-07
4.000000e+00	4.200000e+00	2.109890e-05	3.362614e-07	3.362614e-07
4.200000e+00	4.400000e+00	1.551468e-05	2.883491e-07	2.883491e-07
4.400000e+00	4.600000e+00	1.218131e-05	2.555019e-07	2.555019e-07
4.600000e+00	4.800000e+00	9.223065e-06	2.223232e-07	2.223232e-07
4.800000e+00	5.000000e+00	7.390240e-06	1.990107e-07	1.990107e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ELECTRONS:ENERGY=13600/electrons_dR_12
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.098106e-04	7.680005e-07	7.680005e-07
2.000000e-01	4.000000e-01	4.080031e-05	4.681349e-07	4.681349e-07
4.000000e-01	6.000000e-01	1.050947e-04	7.513280e-07	7.513280e-07
6.000000e-01	8.000000e-01	1.606230e-04	9.288448e-07	9.288448e-07
8.000000e-01	1.000000e+00	1.937102e-04	1.020036e-06	1.020036e-06
1.000000e+00	1.200000e+00	2.119833e-04	1.067063e-06	1.067063e-06
1.200000e+00	1.400000e+00	2.220813e-04	1.092183e-06	1.092183e-06
1.400000e+00	1.600000e+00	2.272216e-04	1.104750e-06	1.104750e-06
1.600000e+00	1.800000e+00	2.296925e-04	1.110741e-06	1.110741e-06
1.800000e+00	2.000000e+00	2.300846e-04	1.111688e-06	1.111688e-06
2.000000e+00	2.200000e+00	2.331408e-04	1.119047e-06	1.119047e-06
2.200000e+00	2.400000e+00	2.375292e-04	1.129530e-06	1.129530e-06
2.400000e+00	2.600000e+00	2.367879e-04	1.127766e-06	1.127766e-06
2.600000e+00	2.800000e+00	2.452101e-04	1.147647e-06	1.147647e-06
2.800000e+00	3.000000e+00	2.460695e-04	1.149657e-06	1.149657e-06
3.000000e+00	3.200000e+00	2.299502e-04	1.111364e-06	1.111364e-06
