# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of jet transverse momenta ($H_\mathrm{T}$)
XLabel=$H_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}H_\mathrm{T}$ [pb/GeV]
LogX=1
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_HT
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.247292e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.247292e+01	2.525161e+01	3.857307e-10	3.857307e-10	3.857307e-10
2.525161e+01	2.837388e+01	1.029853e-09	5.945858e-10	5.945858e-10
2.837388e+01	3.188220e+01	9.165296e-10	5.291585e-10	5.291585e-10
3.188220e+01	3.582431e+01	8.156746e-10	4.709299e-10	4.709299e-10
3.582431e+01	4.025385e+01	1.209862e-09	5.410666e-10	5.410666e-10
4.025385e+01	4.523109e+01	8.613820e-10	4.306910e-10	4.306910e-10
4.523109e+01	5.082374e+01	9.582454e-10	4.285404e-10	4.285404e-10
5.082374e+01	5.710790e+01	1.535040e-09	5.116799e-10	5.116799e-10
5.710790e+01	6.416908e+01	3.642993e-09	7.436228e-10	7.436228e-10
6.416908e+01	7.210334e+01	4.998270e-09	8.217104e-10	8.217104e-10
7.210334e+01	8.101864e+01	7.694286e-09	9.617859e-10	9.617859e-10
8.101864e+01	9.103628e+01	1.241129e-08	1.152359e-09	1.152359e-09
9.103628e+01	1.022926e+02	1.904399e-08	1.346613e-09	1.346613e-09
1.022926e+02	1.149407e+02	2.737169e-08	1.523002e-09	1.523002e-09
1.149407e+02	1.291526e+02	5.226433e-08	1.985358e-09	1.985358e-09
1.291526e+02	1.451219e+02	8.067573e-08	2.326969e-09	2.326969e-09
1.451219e+02	1.630656e+02	1.419250e-07	2.911626e-09	2.911626e-09
1.630656e+02	1.832281e+02	2.327318e-07	3.517368e-09	3.517368e-09
1.832281e+02	2.058835e+02	3.635298e-07	4.147117e-09	4.147117e-09
2.058835e+02	2.313402e+02	5.977067e-07	5.016552e-09	5.016552e-09
2.313402e+02	2.599446e+02	8.945750e-07	5.789674e-09	5.789674e-09
2.599446e+02	2.920857e+02	1.283079e-06	6.541218e-09	6.541218e-09
2.920857e+02	3.282010e+02	1.681490e-06	7.064212e-09	7.064212e-09
