# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading jet
XLabel=$\eta(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.393374e-07	2.732631e-08	2.732631e-08
-4.800000e+00	-4.600000e+00	4.983991e-07	5.168160e-08	5.168160e-08
-4.600000e+00	-4.400000e+00	1.441606e-06	8.789629e-08	8.789629e-08
-4.400000e+00	-4.200000e+00	3.295865e-06	1.329021e-07	1.329021e-07
-4.200000e+00	-4.000000e+00	6.966870e-06	1.932262e-07	1.932262e-07
-4.000000e+00	-3.800000e+00	1.280296e-05	2.619404e-07	2.619404e-07
-3.800000e+00	-3.600000e+00	2.109890e-05	3.362614e-07	3.362614e-07
-3.600000e+00	-3.400000e+00	3.320517e-05	4.218422e-07	4.218422e-07
-3.400000e+00	-3.200000e+00	4.765339e-05	5.053521e-07	5.053521e-07
-3.200000e+00	-3.000000e+00	6.506520e-05	5.905023e-07	5.905023e-07
-3.000000e+00	-2.800000e+00	9.073545e-05	6.973256e-07	6.973256e-07
-2.800000e+00	-2.600000e+00	1.119469e-04	7.745566e-07	7.745566e-07
-2.600000e+00	-2.400000e+00	1.311808e-04	8.384599e-07	8.384599e-07
-2.400000e+00	-2.200000e+00	1.486141e-04	8.924361e-07	8.924361e-07
-2.200000e+00	-2.000000e+00	1.652113e-04	9.409511e-07	9.409511e-07
-2.000000e+00	-1.800000e+00	1.738824e-04	9.653281e-07	9.653281e-07
-1.800000e+00	-1.600000e+00	1.842684e-04	9.937395e-07	9.937395e-07
-1.600000e+00	-1.400000e+00	1.924785e-04	1.015637e-06	1.015637e-06
-1.400000e+00	-1.200000e+00	1.912942e-04	1.012507e-06	1.012507e-06
-1.200000e+00	-1.000000e+00	1.941077e-04	1.019926e-06	1.019926e-06
-1.000000e+00	-8.000000e-01	1.951581e-04	1.022682e-06	1.022682e-06
-8.000000e-01	-6.000000e-01	1.940434e-04	1.019757e-06	1.019757e-06
-6.000000e-01	-4.000000e-01	1.936254e-04	1.018658e-06	1.018658e-06
-4.000000e-01	-2.000000e-01	1.950402e-04	1.022373e-06	1.022373e-06
-2.000000e-01	0.000000e+00	1.945633e-04	1.021122e-06	1.021122e-06
0.000000e+00	2.000000e-01	1.935289e-04	1.018404e-06	1.018404e-06
2.000000e-01	4.000000e-01	1.932610e-04	1.017699e-06	1.017699e-06
4.000000e-01	6.000000e-01	1.944454e-04	1.020812e-06	1.020812e-06
6.000000e-01	8.000000e-01	1.965354e-04	1.026284e-06	1.026284e-06
8.000000e-01	1.000000e+00	1.936951e-04	1.018841e-06	1.018841e-06
1.000000e+00	1.200000e+00	1.945365e-04	1.021052e-06	1.021052e-06
