# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second jet
XLabel=$\eta(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	6.538140e-07	5.919354e-08	5.919354e-08
-4.800000e+00	-4.600000e+00	1.613098e-06	9.297744e-08	9.297744e-08
-4.600000e+00	-4.400000e+00	3.413767e-06	1.352583e-07	1.352583e-07
-4.400000e+00	-4.200000e+00	6.216590e-06	1.825254e-07	1.825254e-07
-4.200000e+00	-4.000000e+00	1.191335e-05	2.526761e-07	2.526761e-07
-4.000000e+00	-3.800000e+00	1.820497e-05	3.123504e-07	3.123504e-07
-3.800000e+00	-3.600000e+00	2.780317e-05	3.860062e-07	3.860062e-07
-3.600000e+00	-3.400000e+00	3.803911e-05	4.515048e-07	4.515048e-07
-3.400000e+00	-3.200000e+00	4.926113e-05	5.138061e-07	5.138061e-07
-3.200000e+00	-3.000000e+00	6.324310e-05	5.821752e-07	5.821752e-07
-3.000000e+00	-2.800000e+00	8.751995e-05	6.848584e-07	6.848584e-07
-2.800000e+00	-2.600000e+00	1.042566e-04	7.474788e-07	7.474788e-07
-2.600000e+00	-2.400000e+00	1.173596e-04	7.930608e-07	7.930608e-07
-2.400000e+00	-2.200000e+00	1.336835e-04	8.464204e-07	8.464204e-07
-2.200000e+00	-2.000000e+00	1.446054e-04	8.803178e-07	8.803178e-07
-2.000000e+00	-1.800000e+00	1.603774e-04	9.270832e-07	9.270832e-07
-1.800000e+00	-1.600000e+00	1.695522e-04	9.532325e-07	9.532325e-07
-1.600000e+00	-1.400000e+00	1.792254e-04	9.800472e-07	9.800472e-07
-1.400000e+00	-1.200000e+00	1.890112e-04	1.006447e-06	1.006447e-06
-1.200000e+00	-1.000000e+00	1.972804e-04	1.028227e-06	1.028227e-06
-1.000000e+00	-8.000000e-01	2.010746e-04	1.038068e-06	1.038068e-06
-8.000000e-01	-6.000000e-01	2.038774e-04	1.045278e-06	1.045278e-06
-6.000000e-01	-4.000000e-01	2.093438e-04	1.059198e-06	1.059198e-06
-4.000000e-01	-2.000000e-01	2.093866e-04	1.059306e-06	1.059306e-06
-2.000000e-01	0.000000e+00	2.097189e-04	1.060147e-06	1.060147e-06
0.000000e+00	2.000000e-01	2.131701e-04	1.068834e-06	1.068834e-06
2.000000e-01	4.000000e-01	2.096492e-04	1.059971e-06	1.059971e-06
4.000000e-01	6.000000e-01	2.065731e-04	1.052165e-06	1.052165e-06
6.000000e-01	8.000000e-01	2.059407e-04	1.050554e-06	1.050554e-06
8.000000e-01	1.000000e+00	2.012193e-04	1.038441e-06	1.038441e-06
1.000000e+00	1.200000e+00	1.972857e-04	1.028241e-06	1.028241e-06
1.200000e+00	1.400000e+00	1.898044e-04	1.008557e-06	1.008557e-06
1.400000e+00	1.600000e+00	1.808438e-04	9.844623e-07	9.844623e-07
1.600000e+00	1.800000e+00	1.704686e-04	9.558052e-07	9.558052e-07
1.800000e+00	2.000000e+00	1.594931e-04	9.245238e-07	9.245238e-07
