# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of third jet
XLabel=$\eta(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~3})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.698322e-06	8.503135e-08	8.503135e-08
-4.600000e+00	-4.200000e+00	8.689830e-06	1.525941e-07	1.525941e-07
-4.200000e+00	-3.800000e+00	2.049064e-05	2.343203e-07	2.343203e-07
-3.800000e+00	-3.400000e+00	3.665378e-05	3.133946e-07	3.133946e-07
-3.400000e+00	-3.000000e+00	5.291070e-05	3.765338e-07	3.765338e-07
-3.000000e+00	-2.600000e+00	8.789510e-05	4.853047e-07	4.853047e-07
-2.600000e+00	-2.200000e+00	1.144228e-04	5.537178e-07	5.537178e-07
-2.200000e+00	-1.800000e+00	1.413337e-04	6.153965e-07	6.153965e-07
-1.800000e+00	-1.400000e+00	1.686250e-04	6.721918e-07	6.721918e-07
-1.400000e+00	-1.000000e+00	1.929260e-04	7.189979e-07	7.189979e-07
-1.000000e+00	-6.000000e-01	2.114660e-04	7.527528e-07	7.527528e-07
-6.000000e-01	-2.000000e-01	2.209918e-04	7.695206e-07	7.695206e-07
-2.000000e-01	2.000000e-01	2.249174e-04	7.763252e-07	7.763252e-07
2.000000e-01	6.000000e-01	2.215143e-04	7.704298e-07	7.704298e-07
6.000000e-01	1.000000e+00	2.105629e-04	7.511439e-07	7.511439e-07
1.000000e+00	1.400000e+00	1.918301e-04	7.169528e-07	7.169528e-07
1.400000e+00	1.800000e+00	1.683437e-04	6.716308e-07	6.716308e-07
1.800000e+00	2.200000e+00	1.415695e-04	6.159096e-07	6.159096e-07
2.200000e+00	2.600000e+00	1.138735e-04	5.523871e-07	5.523871e-07
2.600000e+00	3.000000e+00	8.782543e-05	4.851124e-07	4.851124e-07
