# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of fourth jet
XLabel=$\eta(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mathrm{jet~4})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.488272e-06	1.096659e-07	1.096659e-07
-4.600000e+00	-4.200000e+00	1.182760e-05	1.780248e-07	1.780248e-07
-4.200000e+00	-3.800000e+00	2.236365e-05	2.447956e-07	2.447956e-07
-3.800000e+00	-3.400000e+00	3.392063e-05	3.014838e-07	3.014838e-07
-3.400000e+00	-3.000000e+00	4.444328e-05	3.450922e-07	3.450922e-07
-3.000000e+00	-2.600000e+00	7.965275e-05	4.619901e-07	4.619901e-07
-2.600000e+00	-2.200000e+00	1.051810e-04	5.308854e-07	5.308854e-07
-2.200000e+00	-1.800000e+00	1.338979e-04	5.989893e-07	5.989893e-07
-1.800000e+00	-1.400000e+00	1.649085e-04	6.647429e-07	6.647429e-07
-1.400000e+00	-1.000000e+00	1.909566e-04	7.153185e-07	7.153185e-07
-1.000000e+00	-6.000000e-01	2.124118e-04	7.544345e-07	7.544345e-07
-6.000000e-01	-2.000000e-01	2.257641e-04	7.777851e-07	7.777851e-07
-2.000000e-01	2.000000e-01	2.292422e-04	7.837534e-07	7.837534e-07
2.000000e-01	6.000000e-01	2.259463e-04	7.780989e-07	7.780989e-07
6.000000e-01	1.000000e+00	2.125351e-04	7.546534e-07	7.546534e-07
1.000000e+00	1.400000e+00	1.914282e-04	7.162013e-07	7.162013e-07
1.400000e+00	1.800000e+00	1.645173e-04	6.639539e-07	6.639539e-07
1.800000e+00	2.200000e+00	1.337371e-04	5.986295e-07	5.986295e-07
2.200000e+00	2.600000e+00	1.064672e-04	5.341215e-07	5.341215e-07
2.600000e+00	3.000000e+00	8.071388e-05	4.650571e-07	4.650571e-07
3.000000e+00	3.400000e+00	4.442720e-05	3.450298e-07	3.450298e-07
3.400000e+00	3.800000e+00	3.388578e-05	3.013290e-07	3.013290e-07
3.800000e+00	4.200000e+00	2.249227e-05	2.454985e-07	2.454985e-07
4.200000e+00	4.600000e+00	1.167755e-05	1.768919e-07	1.768919e-07
4.600000e+00	5.000000e+00	4.504350e-06	1.098622e-07	1.098622e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.186920e-06	1.060405e-07	1.060405e-07
-4.600000e+00	-4.200000e+00	1.132536e-05	1.744015e-07	1.744015e-07
-4.200000e+00	-3.800000e+00	2.149590e-05	2.402714e-07	2.402714e-07
-3.800000e+00	-3.400000e+00	3.355983e-05	3.002162e-07	3.002162e-07
-3.400000e+00	-3.000000e+00	4.407143e-05	3.440352e-07	3.440352e-07
-3.000000e+00	-2.600000e+00	7.990598e-05	4.632484e-07	4.632484e-07
-2.600000e+00	-2.200000e+00	1.064455e-04	5.346726e-07	5.346726e-07
-2.200000e+00	-1.800000e+00	1.335302e-04	5.988445e-07	5.988445e-07
-1.800000e+00	-1.400000e+00	1.644501e-04	6.645709e-07	6.645709e-07
-1.400000e+00	-1.000000e+00	1.912501e-04	7.166797e-07	7.166797e-07
-1.000000e+00	-6.000000e-01	2.137665e-04	7.576945e-07	7.576945e-07
-6.000000e-01	-2.000000e-01	2.274177e-04	7.815133e-07	7.815133e-07
-2.000000e-01	2.000000e-01	2.321686e-04	7.896343e-07	7.896343e-07
2.000000e-01	6.000000e-01	2.269423e-04	7.806961e-07	7.806961e-07
6.000000e-01	1.000000e+00	2.137478e-04	7.576612e-07	7.576612e-07
1.000000e+00	1.400000e+00	1.922304e-04	7.185140e-07	7.185140e-07
1.400000e+00	1.800000e+00	1.650033e-04	6.656878e-07	6.656878e-07
1.800000e+00	2.200000e+00	1.350718e-04	6.022914e-07	6.022914e-07
2.200000e+00	2.600000e+00	1.057446e-04	5.329093e-07	5.329093e-07
2.600000e+00	3.000000e+00	8.041625e-05	4.647252e-07	4.647252e-07
3.000000e+00	3.400000e+00	4.429433e-05	3.449041e-07	3.449041e-07
3.400000e+00	3.800000e+00	3.354638e-05	3.001561e-07	3.001561e-07
3.800000e+00	4.200000e+00	2.167852e-05	2.412899e-07	2.412899e-07
4.200000e+00	4.600000e+00	1.119914e-05	1.734269e-07	1.734269e-07
4.600000e+00	5.000000e+00	4.407142e-06	1.087935e-07	1.087935e-07
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_4
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.075286e-06	5.351235e-08	5.351235e-08
-4.600000e+00	-4.200000e+00	5.686340e-06	8.857913e-08	8.857913e-08
-4.200000e+00	-3.800000e+00	1.061514e-05	1.210258e-07	1.210258e-07
-3.800000e+00	-3.400000e+00	1.678581e-05	1.521900e-07	1.521900e-07
