# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of third jet
XLabel=$|\eta(\mathrm{jet~3}|$
YLabel=$\eta(\mathrm{jet~3})_+/\eta(\mathrm{jet~3})_-$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0053608300355289431, dn: 0.0053608300355289431}}, 1: {"": {up: 0.0054428485855657653, dn: 0.0054428485855657653}}, 2: {"": {up: 0.0055046218648914505, dn: 0.0055046218648914505}}, 3: {"": {up: 0.0057432486587492212, dn: 0.0057432486587492212}}, 4: {"": {up: 0.0060137396017640515, dn: 0.0060137396017640515}}, 5: {"": {up: 0.0064967555454750704, dn: 0.0064967555454750704}}, 6: {"": {up: 0.0070529499887669643, dn: 0.0070529499887669643}}, 7: {"": {up: 0.0077042993697226773, dn: 0.0077042993697226773}}, 8: {"": {up: 0.0086138469295463562, dn: 0.0086138469295463562}}, 9: {"": {up: 0.01080141449876567, dn: 0.01080141449876567}}, 10: {"": {up: 0.012290715859046569, dn: 0.012290715859046569}}, 11: {"": {up: 0.0156816258901528, dn: 0.0156816258901528}}, 12: {"": {up: 0.02038137604025498, dn: 0.02038137604025498}}, 13: {"": {up: 0.03152808583035592, dn: 0.03152808583035592}}, 14: {"": {up: 0.050690058275724488, dn: 0.050690058275724488}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.000689e+00	5.360830e-03	5.360830e-03
3.333333e-01	6.666667e-01	1.006135e+00	5.442849e-03	5.442849e-03
6.666666e-01	1.000000e+00	9.943157e-01	5.504622e-03	5.504622e-03
1.000000e+00	1.333334e+00	9.983301e-01	5.743249e-03	5.743249e-03
1.333333e+00	1.666667e+00	9.911861e-01	6.013740e-03	6.013740e-03
1.666666e+00	2.000000e+00	1.003589e+00	6.496756e-03	6.496756e-03
2.000000e+00	2.333334e+00	1.001959e+00	7.052950e-03	7.052950e-03
2.333333e+00	2.666667e+00	9.951871e-01	7.704299e-03	7.704299e-03
2.666666e+00	3.000000e+00	9.938593e-01	8.613847e-03	8.613847e-03
3.000000e+00	3.333334e+00	9.873350e-01	1.080141e-02	1.080141e-02
3.333333e+00	3.666667e+00	9.774930e-01	1.229072e-02	1.229072e-02
3.666666e+00	4.000000e+00	1.010053e+00	1.568163e-02	1.568163e-02
4.000000e+00	4.333334e+00	9.840426e-01	2.038138e-02	2.038138e-02
4.333333e+00	4.666667e+00	9.970045e-01	3.152809e-02	3.152809e-02
4.666666e+00	5.000000e+00	9.746328e-01	5.069006e-02	5.069006e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0053407965198421581, dn: 0.0053407965198421581}}, 1: {"": {up: 0.0053809976383751984, dn: 0.0053809976383751984}}, 2: {"": {up: 0.0055617716790415045, dn: 0.0055617716790415045}}, 3: {"": {up: 0.0057484499262827424, dn: 0.0057484499262827424}}, 4: {"": {up: 0.0060727737359218929, dn: 0.0060727737359218929}}, 5: {"": {up: 0.00650603061384873, dn: 0.00650603061384873}}, 6: {"": {up: 0.0070178830148677814, dn: 0.0070178830148677814}}, 7: {"": {up: 0.0076813612403427095, dn: 0.0076813612403427095}}, 8: {"": {up: 0.0087839814145949865, dn: 0.0087839814145949865}}, 9: {"": {up: 0.010973781893448551, dn: 0.010973781893448551}}, 10: {"": {up: 0.012396232059038986, dn: 0.012396232059038986}}, 11: {"": {up: 0.015955212578890442, dn: 0.015955212578890442}}, 12: {"": {up: 0.02185204863025492, dn: 0.02185204863025492}}, 13: {"": {up: 0.031823734804397222, dn: 0.031823734804397222}}, 14: {"": {up: 0.051164347511588756, dn: 0.051164347511588756}}}
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.001025e+00	5.340797e-03	5.340797e-03
3.333333e-01	6.666667e-01	9.966241e-01	5.380998e-03	5.380998e-03
6.666666e-01	1.000000e+00	1.005340e+00	5.561772e-03	5.561772e-03
1.000000e+00	1.333334e+00	1.002420e+00	5.748450e-03	5.748450e-03
1.333333e+00	1.666667e+00	1.000479e+00	6.072774e-03	6.072774e-03
1.666666e+00	2.000000e+00	9.991311e-01	6.506031e-03	6.506031e-03
2.000000e+00	2.333334e+00	9.952879e-01	7.017883e-03	7.017883e-03
2.333333e+00	2.666667e+00	9.929936e-01	7.681361e-03	7.681361e-03
2.666666e+00	3.000000e+00	1.008419e+00	8.783981e-03	8.783981e-03
3.000000e+00	3.333334e+00	1.000120e+00	1.097378e-02	1.097378e-02
3.333333e+00	3.666667e+00	9.821612e-01	1.239623e-02	1.239623e-02
3.666666e+00	4.000000e+00	1.019775e+00	1.595521e-02	1.595521e-02
4.000000e+00	4.333334e+00	1.041545e+00	2.185205e-02	2.185205e-02
4.333333e+00	4.666667e+00	1.035096e+00	3.182373e-02	3.182373e-02
4.666666e+00	5.000000e+00	9.521127e-01	5.116435e-02	5.116435e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0053480339808058787, dn: 0.0053480339808058787}}, 1: {"": {up: 0.0054214957372910712, dn: 0.0054214957372910712}}, 2: {"": {up: 0.0055346570765544226, dn: 0.0055346570765544226}}, 3: {"": {up: 0.0059213967649593179, dn: 0.0059213967649593179}}, 4: {"": {up: 0.0061663395769448589, dn: 0.0061663395769448589}}, 5: {"": {up: 0.0065627761894395545, dn: 0.0065627761894395545}}, 6: {"": {up: 0.0071322207435595931, dn: 0.0071322207435595931}}, 7: {"": {up: 0.0079257626870513787, dn: 0.0079257626870513787}}, 8: {"": {up: 0.0088976026804328985, dn: 0.0088976026804328985}}, 9: {"": {up: 0.011021899213027419, dn: 0.011021899213027419}}, 10: {"": {up: 0.013028386065518597, dn: 0.013028386065518597}}, 11: {"": {up: 0.016258618080760869, dn: 0.016258618080760869}}, 12: {"": {up: 0.021809292901913722, dn: 0.021809292901913722}}, 13: {"": {up: 0.033981348636737699, dn: 0.033981348636737699}}, 14: {"": {up: 0.050498156371089939, dn: 0.050498156371089939}}}
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_eta_pmratio_3
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	9.932972e-01	5.348034e-03	5.348034e-03
3.333333e-01	6.666667e-01	9.918922e-01	5.421496e-03	5.421496e-03
6.666666e-01	1.000000e+00	9.907277e-01	5.534657e-03	5.534657e-03
1.000000e+00	1.333334e+00	1.018189e+00	5.921397e-03	5.921397e-03
1.333333e+00	1.666667e+00	1.009983e+00	6.166340e-03	6.166340e-03
1.666666e+00	2.000000e+00	1.000086e+00	6.562776e-03	6.562776e-03
2.000000e+00	2.333334e+00	1.000305e+00	7.132221e-03	7.132221e-03
2.333333e+00	2.666667e+00	1.011303e+00	7.925763e-03	7.925763e-03
2.666666e+00	3.000000e+00	1.016718e+00	8.897603e-03	8.897603e-03
3.000000e+00	3.333334e+00	9.892586e-01	1.102190e-02	1.102190e-02
3.333333e+00	3.666667e+00	1.022251e+00	1.302839e-02	1.302839e-02
3.666666e+00	4.000000e+00	1.031053e+00	1.625862e-02	1.625862e-02
4.000000e+00	4.333334e+00	1.034358e+00	2.180929e-02	2.180929e-02
4.333333e+00	4.666667e+00	1.067016e+00	3.398135e-02	3.398135e-02
4.666666e+00	5.000000e+00	9.504814e-01	5.049816e-02	5.049816e-02
# END HISTO1D

