# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of first jet
XLabel=$m(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~1})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.047129e+00	2.228755e-05	7.119494e-07	7.119494e-07
1.047129e+00	1.096478e+00	2.269667e-05	7.021084e-07	7.021084e-07
1.096478e+00	1.148154e+00	2.347912e-05	6.978444e-07	6.978444e-07
1.148154e+00	1.202264e+00	2.349263e-05	6.821645e-07	6.821645e-07
1.202264e+00	1.258925e+00	2.415633e-05	6.759827e-07	6.759827e-07
1.258925e+00	1.318257e+00	2.420695e-05	6.612836e-07	6.612836e-07
1.318257e+00	1.380384e+00	2.263486e-05	6.249004e-07	6.249004e-07
1.380384e+00	1.445440e+00	2.234069e-05	6.066900e-07	6.066900e-07
1.445440e+00	1.513561e+00	2.111524e-05	5.763942e-07	5.763942e-07
1.513561e+00	1.584893e+00	2.010462e-05	5.496270e-07	5.496270e-07
1.584893e+00	1.659587e+00	1.938626e-05	5.274318e-07	5.274318e-07
1.659587e+00	1.737801e+00	1.747229e-05	4.893222e-07	4.893222e-07
1.737801e+00	1.819701e+00	1.634568e-05	4.625105e-07	4.625105e-07
1.819701e+00	1.905461e+00	1.564746e-05	4.422235e-07	4.422235e-07
1.905461e+00	1.995262e+00	1.569527e-05	4.328188e-07	4.328188e-07
1.995262e+00	2.089296e+00	1.582082e-05	4.246530e-07	4.246530e-07
2.089296e+00	2.187762e+00	1.572918e-05	4.137823e-07	4.137823e-07
2.187762e+00	2.290868e+00	1.629995e-05	4.116361e-07	4.116361e-07
2.290868e+00	2.398833e+00	1.692645e-05	4.099242e-07	4.099242e-07
2.398833e+00	2.511886e+00	1.746353e-05	4.068994e-07	4.068994e-07
2.511886e+00	2.630268e+00	1.909480e-05	4.157928e-07	4.157928e-07
