# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	4.506029e-05	7.075303e-07	7.075303e-07
1.096478e+00	1.202264e+00	4.719496e-05	6.915059e-07	6.915059e-07
1.202264e+00	1.318257e+00	4.712623e-05	6.598993e-07	6.598993e-07
1.318257e+00	1.445440e+00	4.432830e-05	6.112068e-07	6.112068e-07
1.445440e+00	1.584893e+00	3.979775e-05	5.530667e-07	5.530667e-07
1.584893e+00	1.737801e+00	3.335175e-05	4.835110e-07	4.835110e-07
1.737801e+00	1.905461e+00	3.025738e-05	4.398080e-07	4.398080e-07
1.905461e+00	2.089296e+00	3.122746e-05	4.266939e-07	4.266939e-07
2.089296e+00	2.290868e+00	3.422238e-05	4.265817e-07	4.265817e-07
2.290868e+00	2.511886e+00	3.746722e-05	4.262595e-07	4.262595e-07
2.511886e+00	2.754229e+00	4.239664e-05	4.330247e-07	4.330247e-07
2.754229e+00	3.019952e+00	4.618900e-05	4.316353e-07	4.316353e-07
3.019952e+00	3.311311e+00	4.931682e-05	4.259371e-07	4.259371e-07
3.311311e+00	3.630781e+00	5.216374e-05	4.183421e-07	4.183421e-07
3.630781e+00	3.981072e+00	5.159767e-05	3.973405e-07	3.973405e-07
3.981072e+00	4.365158e+00	5.205845e-05	3.811479e-07	3.811479e-07
4.365158e+00	4.786301e+00	5.142002e-05	3.617541e-07	3.617541e-07
4.786301e+00	5.248075e+00	5.152159e-05	3.458136e-07	3.458136e-07
5.248075e+00	5.754399e+00	5.198630e-05	3.317358e-07	3.317358e-07
5.754399e+00	6.309573e+00	5.309571e-05	3.201676e-07	3.201676e-07
6.309573e+00	6.918310e+00	5.457406e-05	3.099849e-07	3.099849e-07
6.918310e+00	7.585776e+00	5.624845e-05	3.005404e-07	3.005404e-07
7.585776e+00	8.317638e+00	5.734912e-05	2.898084e-07	2.898084e-07
8.317638e+00	9.120108e+00	5.806643e-05	2.784905e-07	2.784905e-07
9.120108e+00	1.000000e+01	5.757632e-05	2.648314e-07	2.648314e-07
