# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of third jet
XLabel=$m(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	6.852207e-05	7.002997e-07	7.002997e-07
1.149757e+00	1.321941e+00	7.179163e-05	6.685020e-07	6.685020e-07
1.321941e+00	1.519911e+00	6.331772e-05	5.854976e-07	5.854976e-07
1.519911e+00	1.747528e+00	5.403937e-05	5.044463e-07	5.044463e-07
1.747528e+00	2.009233e+00	5.325034e-05	4.670007e-07	4.670007e-07
2.009233e+00	2.310130e+00	6.370110e-05	4.763505e-07	4.763505e-07
2.310130e+00	2.656088e+00	7.466825e-05	4.809706e-07	4.809706e-07
2.656088e+00	3.053856e+00	8.188085e-05	4.697193e-07	4.697193e-07
3.053856e+00	3.511192e+00	8.106145e-05	4.358647e-07	4.358647e-07
3.511192e+00	4.037017e+00	7.784740e-05	3.983489e-07	3.983489e-07
4.037017e+00	4.641589e+00	7.425124e-05	3.628190e-07	3.628190e-07
4.641589e+00	5.336699e+00	7.192898e-05	3.330330e-07	3.330330e-07
5.336699e+00	6.135907e+00	7.259564e-05	3.120237e-07	3.120237e-07
6.135907e+00	7.054802e+00	7.289134e-05	2.915864e-07	2.915864e-07
7.054802e+00	8.111308e+00	7.121085e-05	2.687814e-07	2.687814e-07
8.111308e+00	9.326033e+00	6.634386e-05	2.419488e-07	2.419488e-07
9.326033e+00	1.072267e+01	5.803487e-05	2.110401e-07	2.110401e-07
1.072267e+01	1.232847e+01	4.738315e-05	1.778396e-07	1.778396e-07
1.232847e+01	1.417474e+01	3.497207e-05	1.424870e-07	1.424870e-07
1.417474e+01	1.629751e+01	2.385135e-05	1.097406e-07	1.097406e-07
1.629751e+01	1.873817e+01	1.464052e-05	8.018384e-08	8.018384e-08
1.873817e+01	2.154435e+01	8.477425e-06	5.690317e-08	5.690317e-08
2.154435e+01	2.477076e+01	4.560164e-06	3.892177e-08	3.892177e-08
2.477076e+01	2.848036e+01	2.370696e-06	2.617198e-08	2.617198e-08
2.848036e+01	3.274549e+01	1.209506e-06	1.743412e-08	1.743412e-08
3.274549e+01	3.764936e+01	5.925363e-07	1.138021e-08	1.138021e-08
3.764936e+01	4.328761e+01	2.762139e-07	7.246242e-09	7.246242e-09
4.328761e+01	4.977024e+01	1.398761e-07	4.809039e-09	4.809039e-09
