# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of fourth jet
XLabel=$m(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	8.815657e-05	6.834870e-07	6.834870e-07
1.202264e+00	1.445440e+00	8.712533e-05	6.196893e-07	6.196893e-07
1.445440e+00	1.737801e+00	8.011541e-05	5.419515e-07	5.419515e-07
1.737801e+00	2.089296e+00	8.793977e-05	5.178397e-07	5.178397e-07
2.089296e+00	2.511886e+00	1.059626e-04	5.184167e-07	5.184167e-07
2.511886e+00	3.019952e+00	1.064535e-04	4.738950e-07	4.738950e-07
3.019952e+00	3.630781e+00	9.828116e-05	4.152766e-07	4.152766e-07
3.630781e+00	4.365158e+00	9.041627e-05	3.632670e-07	3.632670e-07
4.365158e+00	5.248075e+00	8.828040e-05	3.273666e-07	3.273666e-07
5.248075e+00	6.309573e+00	8.625617e-05	2.951193e-07	2.951193e-07
6.309573e+00	7.585776e+00	7.946628e-05	2.583413e-07	2.583413e-07
7.585776e+00	9.120108e+00	6.635220e-05	2.152932e-07	2.152932e-07
9.120108e+00	1.096478e+01	4.813036e-05	1.672292e-07	1.672292e-07
1.096478e+01	1.318257e+01	2.927841e-05	1.189531e-07	1.189531e-07
1.318257e+01	1.584893e+01	1.469281e-05	7.685200e-08	7.685200e-08
1.584893e+01	1.905461e+01	6.271109e-06	4.579039e-08	4.579039e-08
1.905461e+01	2.290868e+01	2.277659e-06	2.516788e-08	2.516788e-08
2.290868e+01	2.754229e+01	7.638040e-07	1.329209e-08	1.329209e-08
2.754229e+01	3.311311e+01	2.374216e-07	6.758694e-09	6.758694e-09
3.311311e+01	3.981072e+01	6.865336e-08	3.314616e-09	3.314616e-09
3.981072e+01	4.786301e+01	2.515745e-08	1.829936e-09	1.829936e-09
4.786301e+01	5.754399e+01	5.314303e-09	7.670535e-10	7.670535e-10
5.754399e+01	6.918310e+01	1.473413e-09	3.683533e-10	3.683533e-10
6.918310e+01	8.317638e+01	2.297874e-10	1.326678e-10	1.326678e-10
8.317638e+01	1.000000e+02	1.274192e-10	9.009899e-11	9.009899e-11
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	8.774048e-05	6.826450e-07	6.826450e-07
1.202264e+00	1.445440e+00	8.742902e-05	6.214721e-07	6.214721e-07
1.445440e+00	1.737801e+00	8.016486e-05	5.427335e-07	5.427335e-07
1.737801e+00	2.089296e+00	8.915091e-05	5.219845e-07	5.219845e-07
2.089296e+00	2.511886e+00	1.057251e-04	5.184224e-07	5.184224e-07
2.511886e+00	3.019952e+00	1.062954e-04	4.740798e-07	4.740798e-07
3.019952e+00	3.630781e+00	9.817525e-05	4.155234e-07	4.155234e-07
3.630781e+00	4.365158e+00	9.085545e-05	3.645610e-07	3.645610e-07
4.365158e+00	5.248075e+00	8.841377e-05	3.279852e-07	3.279852e-07
5.248075e+00	6.309573e+00	8.645691e-05	2.957975e-07	2.957975e-07
6.309573e+00	7.585776e+00	8.008005e-05	2.596311e-07	2.596311e-07
7.585776e+00	9.120108e+00	6.636061e-05	2.155509e-07	2.155509e-07
9.120108e+00	1.096478e+01	4.832749e-05	1.677613e-07	1.677613e-07
1.096478e+01	1.318257e+01	2.907358e-05	1.186707e-07	1.186707e-07
1.318257e+01	1.584893e+01	1.472735e-05	7.702952e-08	7.702952e-08
1.584893e+01	1.905461e+01	6.210274e-06	4.561939e-08	4.561939e-08
1.905461e+01	2.290868e+01	2.243246e-06	2.500535e-08	2.500535e-08
2.290868e+01	2.754229e+01	7.662324e-07	1.332830e-08	1.332830e-08
2.754229e+01	3.311311e+01	2.454809e-07	6.880240e-09	6.880240e-09
3.311311e+01	3.981072e+01	6.431808e-08	3.211892e-09	3.211892e-09
3.981072e+01	4.786301e+01	2.147905e-08	1.692786e-09	1.692786e-09
4.786301e+01	5.754399e+01	5.548291e-09	7.846468e-10	7.846468e-10
5.754399e+01	6.918310e+01	1.661350e-09	3.915841e-10	3.915841e-10
6.918310e+01	8.317638e+01	4.606173e-10	1.880462e-10	1.880462e-10
8.317638e+01	1.000000e+02	1.277083e-10	9.030340e-11	9.030340e-11
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_mass_4
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	4.482598e-05	3.497443e-07	3.497443e-07
1.202264e+00	1.445440e+00	4.426378e-05	3.169633e-07	3.169633e-07
1.445440e+00	1.737801e+00	4.057774e-05	2.767766e-07	2.767766e-07
1.737801e+00	2.089296e+00	4.506326e-05	2.660093e-07	2.660093e-07
2.089296e+00	2.511886e+00	5.304920e-05	2.632236e-07	2.632236e-07
2.511886e+00	3.019952e+00	5.429037e-05	2.428546e-07	2.428546e-07
3.019952e+00	3.630781e+00	4.977506e-05	2.120758e-07	2.120758e-07
3.630781e+00	4.365158e+00	4.614657e-05	1.862324e-07	1.862324e-07
4.365158e+00	5.248075e+00	4.452425e-05	1.668336e-07	1.668336e-07
5.248075e+00	6.309573e+00	4.343028e-05	1.502733e-07	1.502733e-07
6.309573e+00	7.585776e+00	4.011033e-05	1.317083e-07	1.317083e-07
7.585776e+00	9.120108e+00	3.346020e-05	1.097109e-07	1.097109e-07
9.120108e+00	1.096478e+01	2.415045e-05	8.500571e-08	8.500571e-08
1.096478e+01	1.318257e+01	1.471932e-05	6.052416e-08	6.052416e-08
1.318257e+01	1.584893e+01	7.411032e-06	3.916742e-08	3.916742e-08
1.584893e+01	1.905461e+01	3.088991e-06	2.306180e-08	2.306180e-08
1.905461e+01	2.290868e+01	1.143095e-06	1.279459e-08	1.279459e-08
2.290868e+01	2.754229e+01	3.842686e-07	6.765546e-09	6.765546e-09
2.754229e+01	3.311311e+01	1.240439e-07	3.505687e-09	3.505687e-09
3.311311e+01	3.981072e+01	3.189196e-08	1.621160e-09	1.621160e-09
3.981072e+01	4.786301e+01	9.938909e-09	8.253815e-10	8.253815e-10
4.786301e+01	5.754399e+01	3.420756e-09	4.416177e-10	4.416177e-10
5.754399e+01	6.918310e+01	8.535773e-10	2.011901e-10	2.011901e-10
6.918310e+01	8.317638e+01	2.761015e-10	1.043565e-10	1.043565e-10
8.317638e+01	1.000000e+02	1.312292e-10	6.561462e-11	6.561462e-11
# END HISTO1D

