# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading jet
XLabel=$p_\perp(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~1})$ [pb/GeV]
LogX=1
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.060022e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060022e+01	1.123646e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.123646e+01	1.191089e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.191089e+01	1.262581e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.262581e+01	1.338363e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.338363e+01	1.418694e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.418694e+01	1.503847e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.503847e+01	1.594110e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.594110e+01	1.689791e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.689791e+01	1.791216e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.791216e+01	1.898728e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.898728e+01	2.012693e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.012693e+01	2.133498e+01	8.872365e-10	8.872365e-10	8.872365e-10
2.133498e+01	2.261554e+01	8.369979e-10	8.369979e-10	8.369979e-10
2.261554e+01	2.397297e+01	1.579199e-09	1.116663e-09	1.116663e-09
2.397297e+01	2.541187e+01	2.979571e-09	1.489785e-09	1.489785e-09
2.541187e+01	2.693714e+01	4.918987e-09	1.859202e-09	1.859202e-09
2.693714e+01	2.855395e+01	9.943896e-09	2.567503e-09	2.567503e-09
2.855395e+01	3.026781e+01	1.250774e-08	2.796817e-09	2.796817e-09
3.026781e+01	3.208454e+01	1.828924e-08	3.284844e-09	3.284844e-09
3.208454e+01	3.401031e+01	2.448909e-08	3.691869e-09	3.691869e-09
3.401031e+01	3.605167e+01	4.935518e-08	5.090597e-09	5.090597e-09
3.605167e+01	3.821555e+01	7.330827e-08	6.025902e-09	6.025902e-09
3.821555e+01	4.050932e+01	9.999730e-08	6.835674e-09	6.835674e-09
4.050932e+01	4.294076e+01	1.375357e-07	7.786424e-09	7.786424e-09
4.294076e+01	4.551814e+01	2.120880e-07	9.391414e-09	9.391414e-09
4.551814e+01	4.825022e+01	3.781880e-07	1.218062e-08	1.218062e-08
4.825022e+01	5.114629e+01	5.499639e-07	1.426674e-08	1.426674e-08
5.114629e+01	5.421618e+01	7.632234e-07	1.632400e-08	1.632400e-08
5.421618e+01	5.747033e+01	1.060907e-06	1.869313e-08	1.869313e-08
5.747033e+01	6.091980e+01	1.384267e-06	2.073938e-08	2.073938e-08
6.091980e+01	6.457631e+01	1.806256e-06	2.301010e-08	2.301010e-08
6.457631e+01	6.845230e+01	2.169652e-06	2.449435e-08	2.449435e-08
6.845230e+01	7.256093e+01	2.599329e-06	2.604020e-08	2.604020e-08
7.256093e+01	7.691616e+01	3.077984e-06	2.752262e-08	2.752262e-08
7.691616e+01	8.153281e+01	3.459961e-06	2.834225e-08	2.834225e-08
8.153281e+01	8.642655e+01	3.925055e-06	2.932004e-08	2.932004e-08
8.642655e+01	9.161403e+01	4.297651e-06	2.979886e-08	2.979886e-08
9.161403e+01	9.711287e+01	4.643741e-06	3.008573e-08	3.008573e-08
9.711287e+01	1.029418e+02	4.992354e-06	3.029845e-08	3.029845e-08
1.029418e+02	1.091205e+02	5.221309e-06	3.009562e-08	3.009562e-08
1.091205e+02	1.156701e+02	5.375986e-06	2.966087e-08	2.966087e-08
1.156701e+02	1.226128e+02	5.438560e-06	2.897610e-08	2.897610e-08
1.226128e+02	1.299723e+02	5.492608e-06	2.828312e-08	2.828312e-08
1.299723e+02	1.377734e+02	5.403990e-06	2.724843e-08	2.724843e-08
1.377734e+02	1.460429e+02	5.353104e-06	2.634058e-08	2.634058e-08
1.460429e+02	1.548086e+02	5.172112e-06	2.514796e-08	2.514796e-08
1.548086e+02	1.641005e+02	5.017751e-06	2.405827e-08	2.405827e-08
1.641005e+02	1.739501e+02	4.699142e-06	2.261321e-08	2.261321e-08
1.739501e+02	1.843909e+02	4.417043e-06	2.129419e-08	2.129419e-08
1.843909e+02	1.954584e+02	4.106496e-06	1.994220e-08	1.994220e-08
1.954584e+02	2.071901e+02	3.750208e-06	1.851013e-08	1.851013e-08
2.071901e+02	2.196260e+02	3.401153e-06	1.712130e-08	1.712130e-08
2.196260e+02	2.328084e+02	3.083256e-06	1.583324e-08	1.583324e-08
