# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second jet
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
LogX=1
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	1.659136e-08	2.845395e-09	2.845395e-09
2.136753e+01	2.381563e+01	4.640889e-08	4.507629e-09	4.507629e-09
2.381563e+01	2.654421e+01	9.309707e-08	6.047305e-09	6.047305e-09
2.654421e+01	2.958541e+01	1.867907e-07	8.113669e-09	8.113669e-09
2.958541e+01	3.297504e+01	3.136779e-07	9.959280e-09	9.959280e-09
3.297504e+01	3.675302e+01	5.725136e-07	1.274457e-08	1.274457e-08
3.675302e+01	4.096385e+01	9.624171e-07	1.565165e-08	1.565165e-08
4.096385e+01	4.565712e+01	1.698654e-06	1.969595e-08	1.969595e-08
4.565712e+01	5.088811e+01	2.789703e-06	2.390834e-08	2.390834e-08
5.088811e+01	5.671841e+01	4.160052e-06	2.765452e-08	2.765452e-08
5.671841e+01	6.321670e+01	5.670463e-06	3.058242e-08	3.058242e-08
6.321670e+01	7.045950e+01	6.876422e-06	3.189996e-08	3.189996e-08
7.045950e+01	7.853212e+01	7.836795e-06	3.225701e-08	3.225701e-08
7.853212e+01	8.752962e+01	8.340886e-06	3.152153e-08	3.152153e-08
8.752962e+01	9.755798e+01	8.435786e-06	3.002686e-08	3.002686e-08
9.755798e+01	1.087353e+02	7.998431e-06	2.769464e-08	2.769464e-08
1.087353e+02	1.211932e+02	7.241208e-06	2.496004e-08	2.496004e-08
1.211932e+02	1.350785e+02	6.333788e-06	2.211140e-08	2.211140e-08
1.350785e+02	1.505545e+02	5.359546e-06	1.926623e-08	1.926623e-08
1.505545e+02	1.678037e+02	4.313104e-06	1.637090e-08	1.637090e-08
1.678037e+02	1.870292e+02	3.376346e-06	1.371977e-08	1.371977e-08
1.870292e+02	2.084573e+02	2.578263e-06	1.135622e-08	1.135622e-08
2.084573e+02	2.323405e+02	1.899454e-06	9.232734e-09	9.232734e-09
2.323405e+02	2.589599e+02	1.366025e-06	7.416387e-09	7.416387e-09
2.589599e+02	2.886293e+02	9.496710e-07	5.857258e-09	5.857258e-09
2.886293e+02	3.216978e+02	6.357026e-07	4.539227e-09	4.539227e-09
3.216978e+02	3.585551e+02	4.293144e-07	3.533362e-09	3.533362e-09
3.585551e+02	3.996351e+02	2.855942e-07	2.729742e-09	2.729742e-09
3.996351e+02	4.454217e+02	1.904804e-07	2.111631e-09	2.111631e-09
4.454217e+02	4.964541e+02	1.263532e-07	1.629042e-09	1.629042e-09
4.964541e+02	5.533334e+02	8.624839e-08	1.274854e-09	1.274854e-09
5.533334e+02	6.167294e+02	5.383139e-08	9.540014e-10	9.540014e-10
6.167294e+02	6.873887e+02	3.250702e-08	7.022086e-10	7.022086e-10
6.873887e+02	7.661435e+02	1.856358e-08	5.026371e-10	5.026371e-10
7.661435e+02	8.539214e+02	1.039127e-08	3.562082e-10	3.562082e-10
8.539214e+02	9.517560e+02	5.412013e-09	2.434980e-10	2.434980e-10
9.517560e+02	1.060800e+03	2.535960e-09	1.578819e-10	1.578819e-10
1.060800e+03	1.182337e+03	1.428666e-09	1.122466e-10	1.122466e-10
1.182337e+03	1.317798e+03	7.042066e-10	7.464575e-11	7.464575e-11
1.317798e+03	1.468780e+03	3.478526e-10	4.969323e-11	4.969323e-11
1.468780e+03	1.637059e+03	1.146481e-10	2.702282e-11	2.702282e-11
1.637059e+03	1.824619e+03	5.143120e-11	1.714373e-11	1.714373e-11
1.824619e+03	2.033667e+03	2.050871e-11	1.025435e-11	1.025435e-11
2.033667e+03	2.266667e+03	4.600112e-12	4.600112e-12	4.600112e-12
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	1.222721e-08	2.445441e-09	2.445441e-09
2.136753e+01	2.381563e+01	5.704567e-08	5.003237e-09	5.003237e-09
2.381563e+01	2.654421e+01	9.173347e-08	6.009659e-09	6.009659e-09
2.654421e+01	2.958541e+01	1.766174e-07	7.898571e-09	7.898571e-09
2.958541e+01	3.297504e+01	3.207279e-07	1.008199e-08	1.008199e-08
3.297504e+01	3.675302e+01	5.826272e-07	1.287122e-08	1.287122e-08
3.675302e+01	4.096385e+01	1.019706e-06	1.612902e-08	1.612902e-08
4.096385e+01	4.565712e+01	1.713495e-06	1.980423e-08	1.980423e-08
4.565712e+01	5.088811e+01	2.845115e-06	2.417198e-08	2.417198e-08
5.088811e+01	5.671841e+01	4.238401e-06	2.794537e-08	2.794537e-08
5.671841e+01	6.321670e+01	5.669441e-06	3.061433e-08	3.061433e-08
6.321670e+01	7.045950e+01	6.896472e-06	3.198265e-08	3.198265e-08
7.045950e+01	7.853212e+01	7.941871e-06	3.250936e-08	3.250936e-08
7.853212e+01	8.752962e+01	8.307394e-06	3.149385e-08	3.149385e-08
8.752962e+01	9.755798e+01	8.402756e-06	3.000200e-08	3.000200e-08
9.755798e+01	1.087353e+02	7.974673e-06	2.768483e-08	2.768483e-08
1.087353e+02	1.211932e+02	7.323000e-06	2.512907e-08	2.512907e-08
1.211932e+02	1.350785e+02	6.358680e-06	2.217993e-08	2.217993e-08
1.350785e+02	1.505545e+02	5.337276e-06	1.924796e-08	1.924796e-08
1.505545e+02	1.678037e+02	4.311305e-06	1.638605e-08	1.638605e-08
1.678037e+02	1.870292e+02	3.389594e-06	1.376224e-08	1.376224e-08
1.870292e+02	2.084573e+02	2.576542e-06	1.136530e-08	1.136530e-08
2.084573e+02	2.323405e+02	1.907047e-06	9.261657e-09	9.261657e-09
2.323405e+02	2.589599e+02	1.357179e-06	7.400715e-09	7.400715e-09
2.589599e+02	2.886293e+02	9.467563e-07	5.854893e-09	5.854893e-09
2.886293e+02	3.216978e+02	6.416602e-07	4.565618e-09	4.565618e-09
3.216978e+02	3.585551e+02	4.261788e-07	3.524426e-09	3.524426e-09
3.585551e+02	3.996351e+02	2.855360e-07	2.732559e-09	2.732559e-09
3.996351e+02	4.454217e+02	1.889886e-07	2.105731e-09	2.105731e-09
4.454217e+02	4.964541e+02	1.288712e-07	1.647059e-09	1.647059e-09
4.964541e+02	5.533334e+02	8.729397e-08	1.284012e-09	1.284012e-09
5.533334e+02	6.167294e+02	5.332653e-08	9.505939e-10	9.505939e-10
6.167294e+02	6.873887e+02	3.200305e-08	6.975338e-10	6.975338e-10
6.873887e+02	7.661435e+02	1.908312e-08	5.101999e-10	5.101999e-10
7.661435e+02	8.539214e+02	1.053723e-08	3.591079e-10	3.591079e-10
8.539214e+02	9.517560e+02	5.775662e-09	2.518308e-10	2.518308e-10
9.517560e+02	1.060800e+03	2.965331e-09	1.709189e-10	1.709189e-10
1.060800e+03	1.182337e+03	1.281646e-09	1.064349e-10	1.064349e-10
1.182337e+03	1.317798e+03	6.582219e-10	7.224924e-11	7.224924e-11
1.317798e+03	1.468780e+03	1.849936e-10	3.628023e-11	3.628023e-11
1.468780e+03	1.637059e+03	1.276758e-10	2.854918e-11	2.854918e-11
1.637059e+03	1.824619e+03	5.727543e-11	1.811208e-11	1.811208e-11
1.824619e+03	2.033667e+03	1.027762e-11	7.267374e-12	7.267374e-12
2.033667e+03	2.266667e+03	4.610549e-12	4.610549e-12	4.610549e-12
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_2
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	8.795019e-09	1.486630e-09	1.486630e-09
2.136753e+01	2.381563e+01	2.434920e-08	2.343003e-09	2.343003e-09
2.381563e+01	2.654421e+01	5.562707e-08	3.354438e-09	3.354438e-09
2.654421e+01	2.958541e+01	9.836588e-08	4.225175e-09	4.225175e-09
2.958541e+01	3.297504e+01	1.633198e-07	5.156895e-09	5.156895e-09
3.297504e+01	3.675302e+01	2.876580e-07	6.482662e-09	6.482662e-09
3.675302e+01	4.096385e+01	4.917964e-07	8.028860e-09	8.028860e-09
4.096385e+01	4.565712e+01	8.352091e-07	9.910713e-09	9.910713e-09
4.565712e+01	5.088811e+01	1.423266e-06	1.225451e-08	1.225451e-08
5.088811e+01	5.671841e+01	2.121206e-06	1.417069e-08	1.417069e-08
5.671841e+01	6.321670e+01	2.841954e-06	1.553653e-08	1.553653e-08
6.321670e+01	7.045950e+01	3.493391e-06	1.631606e-08	1.631606e-08
7.045950e+01	7.853212e+01	3.970406e-06	1.647613e-08	1.647613e-08
7.853212e+01	8.752962e+01	4.220001e-06	1.608942e-08	1.608942e-08
8.752962e+01	9.755798e+01	4.230637e-06	1.525924e-08	1.525924e-08
9.755798e+01	1.087353e+02	4.017717e-06	1.408529e-08	1.408529e-08
1.087353e+02	1.211932e+02	3.667417e-06	1.274685e-08	1.274685e-08
1.211932e+02	1.350785e+02	3.204628e-06	1.128642e-08	1.128642e-08
1.350785e+02	1.505545e+02	2.696742e-06	9.806982e-09	9.806982e-09
1.505545e+02	1.678037e+02	2.172080e-06	8.336784e-09	8.336784e-09
1.678037e+02	1.870292e+02	1.710518e-06	7.007611e-09	7.007611e-09
1.870292e+02	2.084573e+02	1.295610e-06	5.776842e-09	5.776842e-09
2.084573e+02	2.323405e+02	9.536754e-07	4.694606e-09	4.694606e-09
2.323405e+02	2.589599e+02	6.898341e-07	3.781972e-09	3.781972e-09
2.589599e+02	2.886293e+02	4.751933e-07	2.973212e-09	2.973212e-09
2.886293e+02	3.216978e+02	3.247852e-07	2.328284e-09	2.328284e-09
3.216978e+02	3.585551e+02	2.181557e-07	1.807451e-09	1.807451e-09
3.585551e+02	3.996351e+02	1.446754e-07	1.394207e-09	1.394207e-09
3.996351e+02	4.454217e+02	9.515878e-08	1.071027e-09	1.071027e-09
4.454217e+02	4.964541e+02	6.428696e-08	8.338415e-10	8.338415e-10
4.964541e+02	5.533334e+02	4.267672e-08	6.435221e-10	6.435221e-10
5.533334e+02	6.167294e+02	2.736356e-08	4.880906e-10	4.880906e-10
6.167294e+02	6.873887e+02	1.644269e-08	3.583826e-10	3.583826e-10
6.873887e+02	7.661435e+02	9.222931e-09	2.542383e-10	2.542383e-10
7.661435e+02	8.539214e+02	5.369858e-09	1.837528e-10	1.837528e-10
8.539214e+02	9.517560e+02	2.967450e-09	1.293870e-10	1.293870e-10
9.517560e+02	1.060800e+03	1.336264e-09	8.224137e-11	8.224137e-11
1.060800e+03	1.182337e+03	6.039949e-10	5.237300e-11	5.237300e-11
1.182337e+03	1.317798e+03	3.341102e-10	3.689630e-11	3.689630e-11
1.317798e+03	1.468780e+03	1.535374e-10	2.369134e-11	2.369134e-11
1.468780e+03	1.637059e+03	6.231806e-11	1.429674e-11	1.429674e-11
1.637059e+03	1.824619e+03	2.942727e-11	9.305718e-12	9.305718e-12
1.824619e+03	2.033667e+03	1.056098e-11	5.280488e-12	5.280488e-12
2.033667e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

