# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
LogX=1
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_pT_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.168394e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.168394e+01	1.365145e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.365145e+01	1.595027e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.595027e+01	1.863620e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.863620e+01	2.177443e+01	3.285600e-07	1.059320e-08	1.059320e-08
2.177443e+01	2.544112e+01	9.541142e-07	1.670034e-08	1.670034e-08
2.544112e+01	2.972525e+01	1.765808e-06	2.101854e-08	2.101854e-08
2.972525e+01	3.473081e+01	3.087285e-06	2.571131e-08	2.571131e-08
3.473081e+01	4.057927e+01	5.190654e-06	3.084270e-08	3.084270e-08
4.057927e+01	4.741258e+01	8.181460e-06	3.582301e-08	3.582301e-08
4.741258e+01	5.539658e+01	1.170914e-05	3.964737e-08	3.964737e-08
5.539658e+01	6.472504e+01	1.362731e-05	3.956966e-08	3.956966e-08
6.472504e+01	7.562436e+01	1.336838e-05	3.625783e-08	3.625783e-08
7.562436e+01	8.835905e+01	1.149916e-05	3.111007e-08	3.111007e-08
8.835905e+01	1.032382e+02	8.920436e-06	2.534931e-08	2.534931e-08
1.032382e+02	1.206229e+02	6.323606e-06	1.974517e-08	1.974517e-08
1.206229e+02	1.409351e+02	4.123155e-06	1.475022e-08	1.475022e-08
1.409351e+02	1.646677e+02	2.472201e-06	1.056651e-08	1.056651e-08
1.646677e+02	1.923968e+02	1.354147e-06	7.234812e-09	7.234812e-09
1.923968e+02	2.247953e+02	6.889118e-07	4.773991e-09	4.773991e-09
2.247953e+02	2.626495e+02	3.227581e-07	3.023038e-09	3.023038e-09
2.626495e+02	3.068781e+02	1.439244e-07	1.867574e-09	1.867574e-09
