# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first jet
XLabel=$y(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~1})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.125417e-07	2.455862e-08	2.455862e-08
-4.800000e+00	-4.600000e+00	4.983991e-07	5.168160e-08	5.168160e-08
-4.600000e+00	-4.400000e+00	1.366579e-06	8.557846e-08	8.557846e-08
-4.400000e+00	-4.200000e+00	3.226197e-06	1.314900e-07	1.314900e-07
-4.200000e+00	-4.000000e+00	6.709630e-06	1.896254e-07	1.896254e-07
-4.000000e+00	-3.800000e+00	1.271186e-05	2.610068e-07	2.610068e-07
-3.800000e+00	-3.600000e+00	2.068625e-05	3.329569e-07	3.329569e-07
-3.600000e+00	-3.400000e+00	3.270677e-05	4.186644e-07	4.186644e-07
-3.400000e+00	-3.200000e+00	4.723002e-05	5.031021e-07	5.031021e-07
-3.200000e+00	-3.000000e+00	6.444355e-05	5.876747e-07	5.876747e-07
-3.000000e+00	-2.800000e+00	9.037100e-05	6.959240e-07	6.959240e-07
-2.800000e+00	-2.600000e+00	1.113360e-04	7.724403e-07	7.724403e-07
-2.600000e+00	-2.400000e+00	1.305109e-04	8.363163e-07	8.363163e-07
-2.400000e+00	-2.200000e+00	1.484694e-04	8.920015e-07	8.920015e-07
-2.200000e+00	-2.000000e+00	1.651470e-04	9.407679e-07	9.407679e-07
-2.000000e+00	-1.800000e+00	1.741611e-04	9.661013e-07	9.661013e-07
-1.800000e+00	-1.600000e+00	1.842201e-04	9.936095e-07	9.936095e-07
-1.600000e+00	-1.400000e+00	1.923285e-04	1.015241e-06	1.015241e-06
-1.400000e+00	-1.200000e+00	1.919962e-04	1.014363e-06	1.014363e-06
-1.200000e+00	-1.000000e+00	1.941828e-04	1.020123e-06	1.020123e-06
-1.000000e+00	-8.000000e-01	1.958655e-04	1.024534e-06	1.024534e-06
-8.000000e-01	-6.000000e-01	1.947615e-04	1.021642e-06	1.021642e-06
-6.000000e-01	-4.000000e-01	1.942953e-04	1.020419e-06	1.020419e-06
-4.000000e-01	-2.000000e-01	1.956243e-04	1.023903e-06	1.023903e-06
-2.000000e-01	0.000000e+00	1.953564e-04	1.023201e-06	1.023201e-06
0.000000e+00	2.000000e-01	1.942578e-04	1.020320e-06	1.020320e-06
2.000000e-01	4.000000e-01	1.940648e-04	1.019813e-06	1.019813e-06
4.000000e-01	6.000000e-01	1.953296e-04	1.023131e-06	1.023131e-06
6.000000e-01	8.000000e-01	1.969588e-04	1.027389e-06	1.027389e-06
8.000000e-01	1.000000e+00	1.939791e-04	1.019588e-06	1.019588e-06
1.000000e+00	1.200000e+00	1.949063e-04	1.022022e-06	1.022022e-06
1.200000e+00	1.400000e+00	1.911924e-04	1.012237e-06	1.012237e-06
1.400000e+00	1.600000e+00	1.882984e-04	1.004548e-06	1.004548e-06
1.600000e+00	1.800000e+00	1.818514e-04	9.872008e-07	9.872008e-07
1.800000e+00	2.000000e+00	1.755169e-04	9.698546e-07	9.698546e-07
2.000000e+00	2.200000e+00	1.617493e-04	9.310400e-07	9.310400e-07
2.200000e+00	2.400000e+00	1.481103e-04	8.909223e-07	8.909223e-07
2.400000e+00	2.600000e+00	1.310629e-04	8.380831e-07	8.380831e-07
2.600000e+00	2.800000e+00	1.121184e-04	7.751497e-07	7.751497e-07
2.800000e+00	3.000000e+00	9.056395e-05	6.966663e-07	6.966663e-07
3.000000e+00	3.200000e+00	6.395050e-05	5.854223e-07	5.854223e-07
3.200000e+00	3.400000e+00	4.801781e-05	5.072807e-07	5.072807e-07
3.400000e+00	3.600000e+00	3.281931e-05	4.193841e-07	4.193841e-07
3.600000e+00	3.800000e+00	2.054691e-05	3.318337e-07	3.318337e-07
3.800000e+00	4.000000e+00	1.236887e-05	2.574615e-07	2.574615e-07
4.000000e+00	4.200000e+00	6.527420e-06	1.870329e-07	1.870329e-07
4.200000e+00	4.400000e+00	3.183323e-06	1.306134e-07	1.306134e-07
4.400000e+00	4.600000e+00	1.436247e-06	8.773275e-08	8.773275e-08
4.600000e+00	4.800000e+00	4.233713e-07	4.763300e-08	4.763300e-08
4.800000e+00	5.000000e+00	1.714922e-07	3.031582e-08	3.031582e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_1
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.094802e-07	3.354369e-08	3.354369e-08
-4.800000e+00	-4.600000e+00	5.425000e-07	5.398078e-08	5.398078e-08
-4.600000e+00	-4.400000e+00	1.375050e-06	8.594062e-08	8.594062e-08
-4.400000e+00	-4.200000e+00	3.297971e-06	1.330953e-07	1.330953e-07
-4.200000e+00	-4.000000e+00	7.186785e-06	1.964747e-07	1.964747e-07
-4.000000e+00	-3.800000e+00	1.364844e-05	2.707577e-07	2.707577e-07
-3.800000e+00	-3.600000e+00	2.247885e-05	3.474772e-07	3.474772e-07
-3.600000e+00	-3.400000e+00	3.629917e-05	4.415579e-07	4.415579e-07
-3.400000e+00	-3.200000e+00	5.134950e-05	5.251793e-07	5.251793e-07
-3.200000e+00	-3.000000e+00	6.729690e-05	6.012246e-07	6.012246e-07
-3.000000e+00	-2.800000e+00	9.214445e-05	7.035158e-07	7.035158e-07
-2.800000e+00	-2.600000e+00	1.151551e-04	7.864676e-07	7.864676e-07
-2.600000e+00	-2.400000e+00	1.340727e-04	8.486127e-07	8.486127e-07
-2.400000e+00	-2.200000e+00	1.523835e-04	9.047075e-07	9.047075e-07
-2.200000e+00	-2.000000e+00	1.654410e-04	9.426727e-07	9.426727e-07
-2.000000e+00	-1.800000e+00	1.742984e-04	9.675778e-07	9.675778e-07
-1.800000e+00	-1.600000e+00	1.829461e-04	9.912903e-07	9.912903e-07
-1.600000e+00	-1.400000e+00	1.893218e-04	1.008416e-06	1.008416e-06
-1.400000e+00	-1.200000e+00	1.934309e-04	1.019300e-06	1.019300e-06
-1.200000e+00	-1.000000e+00	1.936135e-04	1.019781e-06	1.019781e-06
-1.000000e+00	-8.000000e-01	1.947845e-04	1.022860e-06	1.022860e-06
-8.000000e-01	-6.000000e-01	1.945373e-04	1.022211e-06	1.022211e-06
-6.000000e-01	-4.000000e-01	1.926789e-04	1.017317e-06	1.017317e-06
-4.000000e-01	-2.000000e-01	1.908043e-04	1.012356e-06	1.012356e-06
-2.000000e-01	0.000000e+00	1.917496e-04	1.014861e-06	1.014861e-06
0.000000e+00	2.000000e-01	1.929528e-04	1.018040e-06	1.018040e-06
2.000000e-01	4.000000e-01	1.919860e-04	1.015486e-06	1.015486e-06
