# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second jet
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	5.787860e-07	5.569372e-08	5.569372e-08
-4.800000e+00	-4.600000e+00	1.570225e-06	9.173354e-08	9.173354e-08
-4.600000e+00	-4.400000e+00	3.317302e-06	1.333336e-07	1.333336e-07
-4.400000e+00	-4.200000e+00	6.061175e-06	1.802294e-07	1.802294e-07
-4.200000e+00	-4.000000e+00	1.162395e-05	2.495883e-07	2.495883e-07
-4.000000e+00	-3.800000e+00	1.800668e-05	3.106447e-07	3.106447e-07
-3.800000e+00	-3.600000e+00	2.737980e-05	3.830560e-07	3.830560e-07
-3.600000e+00	-3.400000e+00	3.751391e-05	4.483770e-07	4.483770e-07
-3.400000e+00	-3.200000e+00	4.896102e-05	5.122387e-07	5.122387e-07
-3.200000e+00	-3.000000e+00	6.260535e-05	5.792325e-07	5.792325e-07
-3.000000e+00	-2.800000e+00	8.695725e-05	6.826531e-07	6.826531e-07
-2.800000e+00	-2.600000e+00	1.038761e-04	7.461134e-07	7.461134e-07
-2.600000e+00	-2.400000e+00	1.171827e-04	7.924631e-07	7.924631e-07
-2.400000e+00	-2.200000e+00	1.334638e-04	8.457245e-07	8.457245e-07
-2.200000e+00	-2.000000e+00	1.447233e-04	8.806766e-07	8.806766e-07
-2.000000e+00	-1.800000e+00	1.602648e-04	9.267578e-07	9.267578e-07
-1.800000e+00	-1.600000e+00	1.695308e-04	9.531723e-07	9.531723e-07
-1.600000e+00	-1.400000e+00	1.795255e-04	9.808673e-07	9.808673e-07
-1.400000e+00	-1.200000e+00	1.890702e-04	1.006604e-06	1.006604e-06
-1.200000e+00	-1.000000e+00	1.973447e-04	1.028395e-06	1.028395e-06
-1.000000e+00	-8.000000e-01	2.017552e-04	1.039823e-06	1.039823e-06
-8.000000e-01	-6.000000e-01	2.044990e-04	1.046870e-06	1.046870e-06
-6.000000e-01	-4.000000e-01	2.100726e-04	1.061040e-06	1.061040e-06
-4.000000e-01	-2.000000e-01	2.101530e-04	1.061243e-06	1.061243e-06
-2.000000e-01	0.000000e+00	2.106031e-04	1.062379e-06	1.062379e-06
0.000000e+00	2.000000e-01	2.139740e-04	1.070848e-06	1.070848e-06
2.000000e-01	4.000000e-01	2.105066e-04	1.062136e-06	1.062136e-06
4.000000e-01	6.000000e-01	2.072376e-04	1.053856e-06	1.053856e-06
6.000000e-01	8.000000e-01	2.065891e-04	1.052206e-06	1.052206e-06
8.000000e-01	1.000000e+00	2.017981e-04	1.039934e-06	1.039934e-06
1.000000e+00	1.200000e+00	1.973715e-04	1.028465e-06	1.028465e-06
1.200000e+00	1.400000e+00	1.899651e-04	1.008984e-06	1.008984e-06
1.400000e+00	1.600000e+00	1.811493e-04	9.852934e-07	9.852934e-07
1.600000e+00	1.800000e+00	1.702971e-04	9.553243e-07	9.553243e-07
1.800000e+00	2.000000e+00	1.595735e-04	9.247569e-07	9.247569e-07
2.000000e+00	2.200000e+00	1.473922e-04	8.887598e-07	8.887598e-07
2.200000e+00	2.400000e+00	1.344821e-04	8.489445e-07	8.489445e-07
2.400000e+00	2.600000e+00	1.192674e-04	7.994811e-07	7.994811e-07
2.600000e+00	2.800000e+00	1.029436e-04	7.427570e-07	7.427570e-07
