# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of third jet
XLabel=$y(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~3})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.580422e-06	8.315291e-08	8.315291e-08
-4.600000e+00	-4.200000e+00	8.429913e-06	1.502947e-07	1.502947e-07
-4.200000e+00	-3.800000e+00	2.016909e-05	2.324745e-07	2.324745e-07
-3.800000e+00	-3.400000e+00	3.624113e-05	3.116255e-07	3.116255e-07
-3.400000e+00	-3.000000e+00	5.256773e-05	3.753114e-07	3.753114e-07
-3.000000e+00	-2.600000e+00	8.741548e-05	4.839788e-07	4.839788e-07
-2.600000e+00	-2.200000e+00	1.142085e-04	5.531989e-07	5.531989e-07
-2.200000e+00	-1.800000e+00	1.413390e-04	6.154081e-07	6.154081e-07
-1.800000e+00	-1.400000e+00	1.687188e-04	6.723788e-07	6.723788e-07
-1.400000e+00	-1.000000e+00	1.931645e-04	7.194421e-07	7.194421e-07
-1.000000e+00	-6.000000e-01	2.119295e-04	7.535775e-07	7.535775e-07
-6.000000e-01	-2.000000e-01	2.219163e-04	7.711285e-07	7.711285e-07
-2.000000e-01	2.000000e-01	2.257882e-04	7.778267e-07	7.778267e-07
2.000000e-01	6.000000e-01	2.224656e-04	7.720822e-07	7.720822e-07
6.000000e-01	1.000000e+00	2.110185e-04	7.519559e-07	7.519559e-07
1.000000e+00	1.400000e+00	1.920686e-04	7.173983e-07	7.173983e-07
1.400000e+00	1.800000e+00	1.684803e-04	6.719034e-07	6.719034e-07
1.800000e+00	2.200000e+00	1.413980e-04	6.155365e-07	6.155365e-07
2.200000e+00	2.600000e+00	1.137583e-04	5.521076e-07	5.521076e-07
2.600000e+00	3.000000e+00	8.744495e-05	4.840604e-07	4.840604e-07
3.000000e+00	3.400000e+00	5.165935e-05	3.720545e-07	3.720545e-07
3.400000e+00	3.800000e+00	3.595978e-05	3.104135e-07	3.104135e-07
3.800000e+00	4.200000e+00	2.024947e-05	2.329373e-07	2.329373e-07
4.200000e+00	4.600000e+00	8.113725e-06	1.474492e-07	1.474492e-07
4.600000e+00	5.000000e+00	2.567022e-06	8.293676e-08	8.293676e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_3
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.537935e-06	8.255899e-08	8.255899e-08
-4.600000e+00	-4.200000e+00	8.521550e-06	1.512807e-07	1.512807e-07
-4.200000e+00	-3.800000e+00	1.939304e-05	2.282166e-07	2.282166e-07
