# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of fourth jet
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
LegendYPos=0.5
LegendXPos=0.3
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.319460e-06	1.075838e-07	1.075838e-07
-4.600000e+00	-4.200000e+00	1.149802e-05	1.755269e-07	1.755269e-07
-4.200000e+00	-3.800000e+00	2.192152e-05	2.423637e-07	2.423637e-07
-3.800000e+00	-3.400000e+00	3.351600e-05	2.996804e-07	2.996804e-07
-3.400000e+00	-3.000000e+00	4.415388e-05	3.439668e-07	3.439668e-07
-3.000000e+00	-2.600000e+00	7.922403e-05	4.607450e-07	4.607450e-07
-2.600000e+00	-2.200000e+00	1.048594e-04	5.300733e-07	5.300733e-07
-2.200000e+00	-1.800000e+00	1.338255e-04	5.988274e-07	5.988274e-07
-1.800000e+00	-1.400000e+00	1.647986e-04	6.645214e-07	6.645214e-07
-1.400000e+00	-1.000000e+00	1.913880e-04	7.161261e-07	7.161261e-07
-1.000000e+00	-6.000000e-01	2.130120e-04	7.554997e-07	7.554997e-07
-6.000000e-01	-2.000000e-01	2.267609e-04	7.795003e-07	7.795003e-07
-2.000000e-01	2.000000e-01	2.304400e-04	7.857983e-07	7.857983e-07
2.000000e-01	6.000000e-01	2.270610e-04	7.800159e-07	7.800159e-07
6.000000e-01	1.000000e+00	2.131675e-04	7.557752e-07	7.557752e-07
1.000000e+00	1.400000e+00	1.916211e-04	7.165621e-07	7.165621e-07
1.400000e+00	1.800000e+00	1.644556e-04	6.638296e-07	6.638296e-07
1.800000e+00	2.200000e+00	1.336085e-04	5.983416e-07	5.983416e-07
2.200000e+00	2.600000e+00	1.063278e-04	5.337718e-07	5.337718e-07
2.600000e+00	3.000000e+00	8.025030e-05	4.637197e-07	4.637197e-07
3.000000e+00	3.400000e+00	4.395290e-05	3.431832e-07	3.431832e-07
3.400000e+00	3.800000e+00	3.344633e-05	2.993687e-07	2.993687e-07
3.800000e+00	4.200000e+00	2.228594e-05	2.443699e-07	2.443699e-07
4.200000e+00	4.600000e+00	1.129437e-05	1.739655e-07	1.739655e-07
4.600000e+00	5.000000e+00	4.346255e-06	1.079170e-07	1.079170e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.985497e-06	1.034583e-07	1.034583e-07
-4.600000e+00	-4.200000e+00	1.105143e-05	1.722794e-07	1.722794e-07
-4.200000e+00	-3.800000e+00	2.116825e-05	2.384332e-07	2.384332e-07
-3.800000e+00	-3.400000e+00	3.303613e-05	2.978645e-07	2.978645e-07
-3.400000e+00	-3.000000e+00	4.375453e-05	3.427959e-07	3.427959e-07
-3.000000e+00	-2.600000e+00	7.941720e-05	4.618294e-07	4.618294e-07
-2.600000e+00	-2.200000e+00	1.062226e-04	5.341125e-07	5.341125e-07
-2.200000e+00	-1.800000e+00	1.332832e-04	5.982902e-07	5.982902e-07
-1.800000e+00	-1.400000e+00	1.644715e-04	6.646143e-07	6.646143e-07
-1.400000e+00	-1.000000e+00	1.916342e-04	7.173989e-07	7.173989e-07
-1.000000e+00	-6.000000e-01	2.143440e-04	7.587172e-07	7.587172e-07
-6.000000e-01	-2.000000e-01	2.283657e-04	7.831406e-07	7.831406e-07
-2.000000e-01	2.000000e-01	2.335785e-04	7.920283e-07	7.920283e-07
2.000000e-01	6.000000e-01	2.280354e-04	7.825740e-07	7.825740e-07
6.000000e-01	1.000000e+00	2.143332e-04	7.586981e-07	7.586981e-07
1.000000e+00	1.400000e+00	1.923593e-04	7.187550e-07	7.187550e-07
1.400000e+00	1.800000e+00	1.650006e-04	6.656824e-07	6.656824e-07
1.800000e+00	2.200000e+00	1.351470e-04	6.024590e-07	6.024590e-07
2.200000e+00	2.600000e+00	1.052934e-04	5.317712e-07	5.317712e-07
2.600000e+00	3.000000e+00	8.007250e-05	4.637308e-07	4.637308e-07
3.000000e+00	3.400000e+00	4.372230e-05	3.426698e-07	3.426698e-07
3.400000e+00	3.800000e+00	3.325365e-05	2.988436e-07	2.988436e-07
3.800000e+00	4.200000e+00	2.130253e-05	2.391883e-07	2.391883e-07
4.200000e+00	4.600000e+00	1.090103e-05	1.711032e-07	1.711032e-07
4.600000e+00	5.000000e+00	4.229890e-06	1.065832e-07	1.065832e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_4
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.971798e-06	5.216104e-08	5.216104e-08
-4.600000e+00	-4.200000e+00	5.535935e-06	8.739984e-08	8.739984e-08
-4.200000e+00	-3.800000e+00	1.043852e-05	1.200147e-07	1.200147e-07
-3.800000e+00	-3.400000e+00	1.659263e-05	1.513118e-07	1.513118e-07
-3.400000e+00	-3.000000e+00	2.183466e-05	1.735754e-07	1.735754e-07
-3.000000e+00	-2.600000e+00	4.021143e-05	2.355536e-07	2.355536e-07
-2.600000e+00	-2.200000e+00	5.270730e-05	2.696811e-07	2.696811e-07
-2.200000e+00	-1.800000e+00	6.830920e-05	3.070115e-07	3.070115e-07
-1.800000e+00	-1.400000e+00	8.332880e-05	3.390882e-07	3.390882e-07
-1.400000e+00	-1.000000e+00	9.715348e-05	3.661375e-07	3.661375e-07
-1.000000e+00	-6.000000e-01	1.083495e-04	3.866594e-07	3.866594e-07
-6.000000e-01	-2.000000e-01	1.146692e-04	3.977759e-07	3.977759e-07
-2.000000e-01	2.000000e-01	1.167707e-04	4.014043e-07	4.014043e-07
2.000000e-01	6.000000e-01	1.147548e-04	3.979243e-07	3.979243e-07
6.000000e-01	1.000000e+00	1.068827e-04	3.840333e-07	3.840333e-07
1.000000e+00	1.400000e+00	9.700720e-05	3.658618e-07	3.658618e-07
