# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of fourth jet
XLabel=$|y(\mathrm{jet~4}|$
YLabel=$y(\mathrm{jet~4})_+/y(\mathrm{jet~4})_-$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0053198107553649376, dn: 0.0053198107553649376}}, 1: {"": {up: 0.0053389453560049333, dn: 0.0053389453560049333}}, 2: {"": {up: 0.0055180856681084139, dn: 0.0055180856681084139}}, 3: {"": {up: 0.0057988178055145348, dn: 0.0057988178055145348}}, 4: {"": {up: 0.0060496165279825612, dn: 0.0060496165279825612}}, 5: {"": {up: 0.0066688866084391564, dn: 0.0066688866084391564}}, 6: {"": {up: 0.0072343109869060481, dn: 0.0072343109869060481}}, 7: {"": {up: 0.0082645804269281566, dn: 0.0082645804269281566}}, 8: {"": {up: 0.0091641211413254226, dn: 0.0091641211413254226}}, 9: {"": {up: 0.011902626771885229, dn: 0.011902626771885229}}, 10: {"": {up: 0.013470540961517721, dn: 0.013470540961517721}}, 11: {"": {up: 0.015318120287141263, dn: 0.015318120287141263}}, 12: {"": {up: 0.019481678450509375, dn: 0.019481678450509375}}, 13: {"": {up: 0.025698618522878657, dn: 0.025698618522878657}}, 14: {"": {up: 0.041462519207282923, dn: 0.041462519207282923}}}
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.006904e+00	5.319811e-03	5.319811e-03
3.333333e-01	6.666667e-01	9.975108e-01	5.338945e-03	5.338945e-03
6.666666e-01	1.000000e+00	1.000426e+00	5.518086e-03	5.518086e-03
1.000000e+00	1.333334e+00	1.006015e+00	5.798818e-03	5.798818e-03
1.333333e+00	1.666667e+00	9.894962e-01	6.049617e-03	6.049617e-03
1.666666e+00	2.000000e+00	1.006213e+00	6.668887e-03	6.668887e-03
2.000000e+00	2.333334e+00	9.950171e-01	7.234311e-03	7.234311e-03
2.333333e+00	2.666667e+00	1.023737e+00	8.264580e-03	8.264580e-03
2.666666e+00	3.000000e+00	1.008295e+00	9.164121e-03	9.164121e-03
3.000000e+00	3.333334e+00	9.952197e-01	1.190263e-02	1.190263e-02
3.333333e+00	3.666667e+00	1.011329e+00	1.347054e-02	1.347054e-02
3.666666e+00	4.000000e+00	9.940814e-01	1.531812e-02	1.531812e-02
4.000000e+00	4.333334e+00	1.003211e+00	1.948168e-02	1.948168e-02
4.333333e+00	4.666667e+00	9.746054e-01	2.569862e-02	2.569862e-02
4.666666e+00	5.000000e+00	1.013479e+00	4.146252e-02	4.146252e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0052691955208925331, dn: 0.0052691955208925331}}, 1: {"": {up: 0.0053508054848012167, dn: 0.0053508054848012167}}, 2: {"": {up: 0.0055159234743801158, dn: 0.0055159234743801158}}, 3: {"": {up: 0.0057804747010844568, dn: 0.0057804747010844568}}, 4: {"": {up: 0.0061638700176597149, dn: 0.0061638700176597149}}, 5: {"": {up: 0.0066485791331267318, dn: 0.0066485791331267318}}, 6: {"": {up: 0.0072598185266378231, dn: 0.0072598185266378231}}, 7: {"": {up: 0.0081437303892053104, dn: 0.0081437303892053104}}, 8: {"": {up: 0.0091434243873048278, dn: 0.0091434243873048278}}, 9: {"": {up: 0.012107837326443577, dn: 0.012107837326443577}}, 10: {"": {up: 0.013406523344602742, dn: 0.013406523344602742}}, 11: {"": {up: 0.015354149212864059, dn: 0.015354149212864059}}, 12: {"": {up: 0.020213358292426358, dn: 0.020213358292426358}}, 13: {"": {up: 0.026984636840567421, dn: 0.026984636840567421}}, 14: {"": {up: 0.045363381439403667, dn: 0.045363381439403667}}}
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.001040e+00	5.269196e-03	5.269196e-03
3.333333e-01	6.666667e-01	1.000715e+00	5.350805e-03	5.350805e-03
6.666666e-01	1.000000e+00	1.002984e+00	5.515923e-03	5.515923e-03
1.000000e+00	1.333334e+00	1.003589e+00	5.780475e-03	5.780475e-03
1.333333e+00	1.666667e+00	1.006472e+00	6.163870e-03	6.163870e-03
1.666666e+00	2.000000e+00	1.002927e+00	6.648579e-03	6.648579e-03
2.000000e+00	2.333334e+00	1.001157e+00	7.259819e-03	7.259819e-03
2.333333e+00	2.666667e+00	1.007087e+00	8.143730e-03	8.143730e-03
2.666666e+00	3.000000e+00	1.004402e+00	9.143424e-03	9.143424e-03
3.000000e+00	3.333334e+00	1.006748e+00	1.210784e-02	1.210784e-02
3.333333e+00	3.666667e+00	1.000269e+00	1.340652e-02	1.340652e-02
3.666666e+00	4.000000e+00	9.814523e-01	1.535415e-02	1.535415e-02
4.000000e+00	4.333334e+00	1.026326e+00	2.021336e-02	2.021336e-02
4.333333e+00	4.666667e+00	9.952329e-01	2.698464e-02	2.698464e-02
4.666666e+00	5.000000e+00	1.082192e+00	4.536338e-02	4.536338e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0053469954703828822, dn: 0.0053469954703828822}}, 1: {"": {up: 0.0053712393834547496, dn: 0.0053712393834547496}}, 2: {"": {up: 0.0054917864652925218, dn: 0.0054917864652925218}}, 3: {"": {up: 0.0058137297306361576, dn: 0.0058137297306361576}}, 4: {"": {up: 0.006190953496199008, dn: 0.006190953496199008}}, 5: {"": {up: 0.0066328617925871403, dn: 0.0066328617925871403}}, 6: {"": {up: 0.0072942636271399811, dn: 0.0072942636271399811}}, 7: {"": {up: 0.0082555779977557617, dn: 0.0082555779977557617}}, 8: {"": {up: 0.0090939679651683529, dn: 0.0090939679651683529}}, 9: {"": {up: 0.012377879054365982, dn: 0.012377879054365982}}, 10: {"": {up: 0.013740070509085649, dn: 0.013740070509085649}}, 11: {"": {up: 0.016176588011937755, dn: 0.016176588011937755}}, 12: {"": {up: 0.020505084516508825, dn: 0.020505084516508825}}, 13: {"": {up: 0.027625724832367828, dn: 0.027625724832367828}}, 14: {"": {up: 0.045701721581363354, dn: 0.045701721581363354}}}
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jet_y_pmratio_4
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333334e-01	1.003059e+00	5.346995e-03	5.346995e-03
3.333333e-01	6.666667e-01	9.941939e-01	5.371239e-03	5.371239e-03
6.666666e-01	1.000000e+00	9.864715e-01	5.491786e-03	5.491786e-03
1.000000e+00	1.333334e+00	1.000726e+00	5.813730e-03	5.813730e-03
1.333333e+00	1.666667e+00	1.003773e+00	6.190953e-03	6.190953e-03
1.666666e+00	2.000000e+00	9.958608e-01	6.632862e-03	6.632862e-03
2.000000e+00	2.333334e+00	9.937700e-01	7.294264e-03	7.294264e-03
2.333333e+00	2.666667e+00	1.008313e+00	8.255578e-03	8.255578e-03
2.666666e+00	3.000000e+00	9.894122e-01	9.093968e-03	9.093968e-03
3.000000e+00	3.333334e+00	1.017829e+00	1.237788e-02	1.237788e-02
