# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~2,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	4.126531e-07	4.702618e-08	4.702618e-08
4.000000e-01	6.000000e-01	1.808975e-04	9.846082e-07	9.846082e-07
6.000000e-01	8.000000e-01	2.181648e-04	1.081283e-06	1.081283e-06
8.000000e-01	1.000000e+00	2.289207e-04	1.107617e-06	1.107617e-06
1.000000e+00	1.200000e+00	2.383902e-04	1.130294e-06	1.130294e-06
1.200000e+00	1.400000e+00	2.509628e-04	1.159716e-06	1.159716e-06
1.400000e+00	1.600000e+00	2.653573e-04	1.192512e-06	1.192512e-06
1.600000e+00	1.800000e+00	2.826459e-04	1.230746e-06	1.230746e-06
1.800000e+00	2.000000e+00	2.970191e-04	1.261651e-06	1.261651e-06
2.000000e+00	2.200000e+00	3.071264e-04	1.282938e-06	1.282938e-06
2.200000e+00	2.400000e+00	3.151544e-04	1.299598e-06	1.299598e-06
2.400000e+00	2.600000e+00	3.200633e-04	1.309680e-06	1.309680e-06
2.600000e+00	2.800000e+00	3.187718e-04	1.307035e-06	1.307035e-06
2.800000e+00	3.000000e+00	3.171212e-04	1.303646e-06	1.303646e-06
3.000000e+00	3.200000e+00	3.049774e-04	1.278442e-06	1.278442e-06
3.200000e+00	3.400000e+00	2.474257e-04	1.151515e-06	1.151515e-06
3.400000e+00	3.600000e+00	2.110801e-04	1.063582e-06	1.063582e-06
3.600000e+00	3.800000e+00	1.849329e-04	9.955298e-07	9.955298e-07
3.800000e+00	4.000000e+00	1.583998e-04	9.213498e-07	9.213498e-07
4.000000e+00	4.200000e+00	1.381798e-04	8.605369e-07	8.605369e-07
4.200000e+00	4.400000e+00	1.174239e-04	7.932782e-07	7.932782e-07
4.400000e+00	4.600000e+00	1.008857e-04	7.352953e-07	7.352953e-07
4.600000e+00	4.800000e+00	8.600335e-05	6.788984e-07	6.788984e-07
4.800000e+00	5.000000e+00	7.318430e-05	6.262621e-07	6.262621e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	4.028467e-07	4.651673e-08	4.651673e-08
4.000000e-01	6.000000e-01	1.803679e-04	9.842804e-07	9.842804e-07
6.000000e-01	8.000000e-01	2.184986e-04	1.083337e-06	1.083337e-06
8.000000e-01	1.000000e+00	2.292950e-04	1.109779e-06	1.109779e-06
1.000000e+00	1.200000e+00	2.393017e-04	1.133737e-06	1.133737e-06
1.200000e+00	1.400000e+00	2.519135e-04	1.163228e-06	1.163228e-06
1.400000e+00	1.600000e+00	2.676137e-04	1.198929e-06	1.198929e-06
1.600000e+00	1.800000e+00	2.844152e-04	1.235992e-06	1.235992e-06
1.800000e+00	2.000000e+00	2.990089e-04	1.267306e-06	1.267306e-06
2.000000e+00	2.200000e+00	3.092681e-04	1.288863e-06	1.288863e-06
2.200000e+00	2.400000e+00	3.157351e-04	1.302269e-06	1.302269e-06
2.400000e+00	2.600000e+00	3.177547e-04	1.306427e-06	1.306427e-06
2.600000e+00	2.800000e+00	3.173304e-04	1.305555e-06	1.305555e-06
2.800000e+00	3.000000e+00	3.178299e-04	1.306582e-06	1.306582e-06
3.000000e+00	3.200000e+00	3.083173e-04	1.286881e-06	1.286881e-06
3.200000e+00	3.400000e+00	2.457848e-04	1.148991e-06	1.148991e-06
3.400000e+00	3.600000e+00	2.132187e-04	1.070168e-06	1.070168e-06
3.600000e+00	3.800000e+00	1.841224e-04	9.944721e-07	9.944721e-07
3.800000e+00	4.000000e+00	1.584315e-04	9.224866e-07	9.224866e-07
4.000000e+00	4.200000e+00	1.368980e-04	8.575074e-07	8.575074e-07
4.200000e+00	4.400000e+00	1.184208e-04	7.975415e-07	7.975415e-07
4.400000e+00	4.600000e+00	1.010071e-04	7.365720e-07	7.365720e-07
4.600000e+00	4.800000e+00	8.731030e-05	6.848131e-07	6.848131e-07
4.800000e+00	5.000000e+00	7.376930e-05	6.294730e-07	6.294730e-07
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dR_23
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	1.793798e-07	2.224933e-08	2.224933e-08
4.000000e-01	6.000000e-01	9.162720e-05	5.028544e-07	5.028544e-07
6.000000e-01	8.000000e-01	1.113313e-04	5.542923e-07	5.542923e-07
8.000000e-01	1.000000e+00	1.154185e-04	5.643749e-07	5.643749e-07
1.000000e+00	1.200000e+00	1.211173e-04	5.781401e-07	5.781401e-07
