# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_deta_13
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.377325e-05	3.008282e-07	3.008282e-07
-4.600000e+00	-4.200000e+00	4.613675e-05	3.516055e-07	3.516055e-07
-4.200000e+00	-3.800000e+00	5.911657e-05	3.980035e-07	3.980035e-07
-3.800000e+00	-3.400000e+00	7.299405e-05	4.422582e-07	4.422582e-07
-3.400000e+00	-3.000000e+00	8.906340e-05	4.885194e-07	4.885194e-07
-3.000000e+00	-2.600000e+00	1.031686e-04	5.257823e-07	5.257823e-07
-2.600000e+00	-2.200000e+00	1.186003e-04	5.637350e-07	5.637350e-07
-2.200000e+00	-1.800000e+00	1.291926e-04	5.883706e-07	5.883706e-07
-1.800000e+00	-1.400000e+00	1.374563e-04	6.068964e-07	6.068964e-07
-1.400000e+00	-1.000000e+00	1.411006e-04	6.148888e-07	6.148888e-07
-1.000000e+00	-6.000000e-01	1.478343e-04	6.293899e-07	6.293899e-07
-6.000000e-01	-2.000000e-01	1.512025e-04	6.365195e-07	6.365195e-07
-2.000000e-01	2.000000e-01	1.459184e-04	6.252983e-07	6.252983e-07
2.000000e-01	6.000000e-01	1.507979e-04	6.356673e-07	6.356673e-07
6.000000e-01	1.000000e+00	1.474056e-04	6.284766e-07	6.284766e-07
1.000000e+00	1.400000e+00	1.417999e-04	6.164107e-07	6.164107e-07
1.400000e+00	1.800000e+00	1.349081e-04	6.012445e-07	6.012445e-07
1.800000e+00	2.200000e+00	1.289434e-04	5.878028e-07	5.878028e-07
2.200000e+00	2.600000e+00	1.188843e-04	5.644096e-07	5.644096e-07
2.600000e+00	3.000000e+00	1.043744e-04	5.288460e-07	5.288460e-07
3.000000e+00	3.400000e+00	8.893210e-05	4.881592e-07	4.881592e-07
