# BEGIN PLOT
Legend=1
LogY=1
Title=Azimuthal separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	3.556727e-05	5.507855e-07	5.507855e-07
1.256637e-01	2.513274e-01	3.670167e-05	5.595001e-07	5.595001e-07
2.513274e-01	3.769911e-01	4.010488e-05	5.848653e-07	5.848653e-07
3.769911e-01	5.026548e-01	4.938478e-05	6.490136e-07	6.490136e-07
5.026548e-01	6.283185e-01	4.981977e-05	6.518657e-07	6.518657e-07
6.283185e-01	7.539822e-01	5.130387e-05	6.615038e-07	6.615038e-07
7.539822e-01	8.796459e-01	5.258327e-05	6.697012e-07	6.697012e-07
8.796459e-01	1.005310e+00	5.885214e-05	7.084964e-07	7.084964e-07
1.005310e+00	1.130973e+00	6.528380e-05	7.462102e-07	7.462102e-07
1.130973e+00	1.256637e+00	7.312171e-05	7.897323e-07	7.897323e-07
1.256637e+00	1.382301e+00	8.746801e-05	8.637366e-07	8.637366e-07
1.382301e+00	1.507964e+00	1.057301e-04	9.496374e-07	9.496374e-07
1.507964e+00	1.633628e+00	1.302254e-04	1.053912e-06	1.053912e-06
1.633628e+00	1.759292e+00	1.604020e-04	1.169666e-06	1.169666e-06
1.759292e+00	1.884956e+00	2.048397e-04	1.321794e-06	1.321794e-06
1.884956e+00	2.010619e+00	2.601628e-04	1.489639e-06	1.489639e-06
2.010619e+00	2.136283e+00	3.324978e-04	1.684035e-06	1.684035e-06
2.136283e+00	2.261947e+00	4.227293e-04	1.898838e-06	1.898838e-06
2.261947e+00	2.387610e+00	5.338532e-04	2.133877e-06	2.133877e-06
2.387610e+00	2.513274e+00	6.573277e-04	2.367815e-06	2.367815e-06
2.513274e+00	2.638938e+00	7.979843e-04	2.608879e-06	2.608879e-06
2.638938e+00	2.764602e+00	9.463092e-04	2.841013e-06	2.841013e-06
2.764602e+00	2.890265e+00	1.085149e-03	3.042308e-06	3.042308e-06
2.890265e+00	3.015929e+00	1.211212e-03	3.214155e-06	3.214155e-06
3.015929e+00	3.141593e+00	1.284973e-03	3.310578e-06	3.310578e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	3.618653e-05	5.561895e-07	5.561895e-07
1.256637e-01	2.513274e-01	3.713543e-05	5.634347e-07	5.634347e-07
2.513274e-01	3.769911e-01	4.149525e-05	5.955916e-07	5.955916e-07
3.769911e-01	5.026548e-01	4.959085e-05	6.511036e-07	6.511036e-07
5.026548e-01	6.283185e-01	5.100993e-05	6.603538e-07	6.603538e-07
6.283185e-01	7.539822e-01	5.120655e-05	6.616253e-07	6.616253e-07
7.539822e-01	8.796459e-01	5.351469e-05	6.763724e-07	6.763724e-07
8.796459e-01	1.005310e+00	5.738706e-05	7.004153e-07	7.004153e-07
1.005310e+00	1.130973e+00	6.438041e-05	7.418693e-07	7.418693e-07
1.130973e+00	1.256637e+00	7.461263e-05	7.986472e-07	7.986472e-07
1.256637e+00	1.382301e+00	8.819646e-05	8.683093e-07	8.683093e-07
1.382301e+00	1.507964e+00	1.070300e-04	9.565402e-07	9.565402e-07
1.507964e+00	1.633628e+00	1.288025e-04	1.049328e-06	1.049328e-06
1.633628e+00	1.759292e+00	1.633049e-04	1.181540e-06	1.181540e-06
1.759292e+00	1.884956e+00	2.057831e-04	1.326337e-06	1.326337e-06
1.884956e+00	2.010619e+00	2.631210e-04	1.499783e-06	1.499783e-06
2.010619e+00	2.136283e+00	3.316449e-04	1.683781e-06	1.683781e-06
2.136283e+00	2.261947e+00	4.211237e-04	1.897377e-06	1.897377e-06
2.261947e+00	2.387610e+00	5.328502e-04	2.134289e-06	2.134289e-06
2.387610e+00	2.513274e+00	6.594430e-04	2.374310e-06	2.374310e-06
2.513274e+00	2.638938e+00	7.997008e-04	2.614644e-06	2.614644e-06
2.638938e+00	2.764602e+00	9.434548e-04	2.839942e-06	2.839942e-06
2.764602e+00	2.890265e+00	1.097356e-03	3.062840e-06	3.062840e-06
2.890265e+00	3.015929e+00	1.210199e-03	3.216452e-06	3.216452e-06
3.015929e+00	3.141593e+00	1.284743e-03	3.314033e-06	3.314033e-06
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_12
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.756873e-05	2.777859e-07	2.777859e-07
1.256637e-01	2.513274e-01	1.908842e-05	2.895510e-07	2.895510e-07
2.513274e-01	3.769911e-01	1.992733e-05	2.958453e-07	2.958453e-07
3.769911e-01	5.026548e-01	2.467089e-05	3.291793e-07	3.291793e-07
5.026548e-01	6.283185e-01	2.488610e-05	3.306120e-07	3.306120e-07
6.283185e-01	7.539822e-01	2.581285e-05	3.367117e-07	3.367117e-07
7.539822e-01	8.796459e-01	2.719639e-05	3.456175e-07	3.456175e-07
8.796459e-01	1.005310e+00	2.912885e-05	3.576853e-07	3.576853e-07
1.005310e+00	1.130973e+00	3.212899e-05	3.756556e-07	3.756556e-07
1.130973e+00	1.256637e+00	3.662631e-05	4.010848e-07	4.010848e-07
1.256637e+00	1.382301e+00	4.527011e-05	4.459081e-07	4.459081e-07
1.382301e+00	1.507964e+00	5.285580e-05	4.818232e-07	4.818232e-07
1.507964e+00	1.633628e+00	6.563660e-05	5.369238e-07	5.369238e-07
1.633628e+00	1.759292e+00	8.083795e-05	5.958640e-07	5.958640e-07
1.759292e+00	1.884956e+00	1.026538e-04	6.714709e-07	6.714709e-07
1.884956e+00	2.010619e+00	1.326139e-04	7.631956e-07	7.631956e-07
2.010619e+00	2.136283e+00	1.674207e-04	8.575201e-07	8.575201e-07
2.136283e+00	2.261947e+00	2.132619e-04	9.678237e-07	9.678237e-07
2.261947e+00	2.387610e+00	2.669934e-04	1.082908e-06	1.082908e-06
2.387610e+00	2.513274e+00	3.319076e-04	1.207392e-06	1.207392e-06
2.513274e+00	2.638938e+00	4.017519e-04	1.328368e-06	1.328368e-06
2.638938e+00	2.764602e+00	4.771259e-04	1.447625e-06	1.447625e-06
2.764602e+00	2.890265e+00	5.500008e-04	1.554258e-06	1.554258e-06
2.890265e+00	3.015929e+00	6.121501e-04	1.639716e-06	1.639716e-06
3.015929e+00	3.141593e+00	6.498876e-04	1.689502e-06	1.689502e-06
# END HISTO1D

