# BEGIN PLOT
Legend=1
LogY=1
Title=Azimuthal separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_dphi_13
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	8.889258e-05	8.707430e-07	8.707430e-07
1.256637e-01	2.513274e-01	9.396755e-05	8.952537e-07	8.952537e-07
2.513274e-01	3.769911e-01	1.013966e-04	9.299700e-07	9.299700e-07
3.769911e-01	5.026548e-01	1.235131e-04	1.026393e-06	1.026393e-06
5.026548e-01	6.283185e-01	1.248607e-04	1.031978e-06	1.031978e-06
6.283185e-01	7.539822e-01	1.286904e-04	1.047684e-06	1.047684e-06
7.539822e-01	8.796459e-01	1.327760e-04	1.064185e-06	1.064185e-06
8.796459e-01	1.005310e+00	1.423283e-04	1.101799e-06	1.101799e-06
1.005310e+00	1.130973e+00	1.565907e-04	1.155690e-06	1.155690e-06
1.130973e+00	1.256637e+00	1.764798e-04	1.226886e-06	1.226886e-06
1.256637e+00	1.382301e+00	1.990057e-04	1.302835e-06	1.302835e-06
1.382301e+00	1.507964e+00	2.294656e-04	1.398999e-06	1.398999e-06
1.507964e+00	1.633628e+00	2.660545e-04	1.506406e-06	1.506406e-06
1.633628e+00	1.759292e+00	3.116180e-04	1.630302e-06	1.630302e-06
1.759292e+00	1.884956e+00	3.573180e-04	1.745759e-06	1.745759e-06
1.884956e+00	2.010619e+00	4.104418e-04	1.871045e-06	1.871045e-06
2.010619e+00	2.136283e+00	4.674569e-04	1.996768e-06	1.996768e-06
2.136283e+00	2.261947e+00	5.202533e-04	2.106513e-06	2.106513e-06
2.261947e+00	2.387610e+00	5.755960e-04	2.215733e-06	2.215733e-06
2.387610e+00	2.513274e+00	6.239099e-04	2.306841e-06	2.306841e-06
2.513274e+00	2.638938e+00	6.599718e-04	2.372572e-06	2.372572e-06
2.638938e+00	2.764602e+00	6.921016e-04	2.429639e-06	2.429639e-06
