# BEGIN PLOT
Legend=1
LogY=1
Title=Dijet invariant mass spectrum
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LegendAlign=r
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.700000e+02	4.428281e-07	1.670919e-09	1.670919e-09
1.700000e+02	3.400000e+02	1.338547e-06	2.905056e-09	2.905056e-09
3.400000e+02	5.100000e+02	1.210596e-06	2.762723e-09	2.762723e-09
5.100000e+02	6.800000e+02	8.741500e-07	2.347635e-09	2.347635e-09
6.800000e+02	8.500000e+02	6.246159e-07	1.984469e-09	1.984469e-09
8.500000e+02	1.020000e+03	4.534896e-07	1.690914e-09	1.690914e-09
1.020000e+03	1.190000e+03	3.395167e-07	1.463081e-09	1.463081e-09
1.190000e+03	1.360000e+03	2.564249e-07	1.271504e-09	1.271504e-09
1.360000e+03	1.530000e+03	1.968945e-07	1.114178e-09	1.114178e-09
1.530000e+03	1.700000e+03	1.507114e-07	9.747893e-10	9.747893e-10
1.700000e+03	1.870000e+03	1.195654e-07	8.682413e-10	8.682413e-10
1.870000e+03	2.040000e+03	9.270665e-08	7.645276e-10	7.645276e-10
2.040000e+03	2.210000e+03	7.349576e-08	6.807204e-10	6.807204e-10
2.210000e+03	2.380000e+03	5.777774e-08	6.035566e-10	6.035566e-10
2.380000e+03	2.550000e+03	4.581742e-08	5.374685e-10	5.374685e-10
2.550000e+03	2.720000e+03	3.691495e-08	4.824351e-10	4.824351e-10
2.720000e+03	2.890000e+03	2.917259e-08	4.288695e-10	4.288695e-10
2.890000e+03	3.060000e+03	2.288034e-08	3.798122e-10	3.798122e-10
3.060000e+03	3.230000e+03	1.815799e-08	3.383543e-10	3.383543e-10
3.230000e+03	3.400000e+03	1.460205e-08	3.034204e-10	3.034204e-10
3.400000e+03	3.570000e+03	1.179009e-08	2.726442e-10	2.726442e-10
3.570000e+03	3.740000e+03	9.053776e-09	2.389201e-10	2.389201e-10
3.740000e+03	3.910000e+03	7.622576e-09	2.192243e-10	2.192243e-10
3.910000e+03	4.080000e+03	5.907653e-09	1.929946e-10	1.929946e-10
4.080000e+03	4.250000e+03	4.684511e-09	1.718580e-10	1.718580e-10
4.250000e+03	4.420000e+03	3.480282e-09	1.481307e-10	1.481307e-10
4.420000e+03	4.590000e+03	2.969589e-09	1.368314e-10	1.368314e-10
4.590000e+03	4.760000e+03	2.458895e-09	1.245110e-10	1.245110e-10
4.760000e+03	4.930000e+03	2.004945e-09	1.124318e-10	1.124318e-10
4.930000e+03	5.100000e+03	1.418594e-09	9.457291e-11	9.457291e-11
5.100000e+03	5.270000e+03	1.128570e-09	8.435327e-11	8.435327e-11
5.270000e+03	5.440000e+03	9.394241e-10	7.696062e-11	7.696062e-11
5.440000e+03	5.610000e+03	8.700706e-10	7.406534e-11	7.406534e-11
5.610000e+03	5.780000e+03	6.430959e-10	6.367597e-11	6.367597e-11
5.780000e+03	5.950000e+03	4.602548e-10	5.386875e-11	5.386875e-11
5.950000e+03	6.120000e+03	3.530722e-10	4.718125e-11	4.718125e-11
6.120000e+03	6.290000e+03	2.648041e-10	4.086016e-11	4.086016e-11
6.290000e+03	6.460000e+03	1.891458e-10	3.453314e-11	3.453314e-11
6.460000e+03	6.630000e+03	1.513166e-10	3.088738e-11	3.088738e-11
6.630000e+03	6.800000e+03	9.457288e-11	2.441862e-11	2.441862e-11
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_JETS:ENERGY=13600/jets_mjj
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.700000e+02	4.463857e-07	1.679519e-09	1.679519e-09
1.700000e+02	3.400000e+02	1.335208e-06	2.904719e-09	2.904719e-09
3.400000e+02	5.100000e+02	1.214499e-06	2.770310e-09	2.770310e-09
5.100000e+02	6.800000e+02	8.807841e-07	2.359198e-09	2.359198e-09
6.800000e+02	8.500000e+02	6.226147e-07	1.983533e-09	1.983533e-09
8.500000e+02	1.020000e+03	4.527491e-07	1.691448e-09	1.691448e-09
1.020000e+03	1.190000e+03	3.385998e-07	1.462760e-09	1.462760e-09
1.190000e+03	1.360000e+03	2.565770e-07	1.273323e-09	1.273323e-09
1.360000e+03	1.530000e+03	1.987314e-07	1.120632e-09	1.120632e-09
1.530000e+03	1.700000e+03	1.529933e-07	9.832546e-10	9.832546e-10
1.700000e+03	1.870000e+03	1.193185e-07	8.683275e-10	8.683275e-10
1.870000e+03	2.040000e+03	9.257576e-08	7.648538e-10	7.648538e-10
2.040000e+03	2.210000e+03	7.369406e-08	6.824113e-10	6.824113e-10
2.210000e+03	2.380000e+03	5.972871e-08	6.143579e-10	6.143579e-10
2.380000e+03	2.550000e+03	4.575075e-08	5.376862e-10	5.376862e-10
2.550000e+03	2.720000e+03	3.732098e-08	4.856309e-10	4.856309e-10
2.720000e+03	2.890000e+03	2.958001e-08	4.323435e-10	4.323435e-10
2.890000e+03	3.060000e+03	2.314078e-08	3.824008e-10	3.824008e-10
3.060000e+03	3.230000e+03	1.817391e-08	3.388863e-10	3.388863e-10
3.230000e+03	3.400000e+03	1.451512e-08	3.028588e-10	3.028588e-10
