# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading muon
XLabel=$\eta(\mu\mathrm{1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mu\mathrm{1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.093262e-06	7.654370e-08	7.654370e-08
-4.800000e+00	-4.600000e+00	1.270114e-06	8.250277e-08	8.250277e-08
-4.600000e+00	-4.400000e+00	1.173650e-06	7.930790e-08	7.930790e-08
-4.400000e+00	-4.200000e+00	1.806027e-06	9.838056e-08	9.838056e-08
-4.200000e+00	-4.000000e+00	1.918569e-06	1.013995e-07	1.013995e-07
-4.000000e+00	-3.800000e+00	2.025751e-06	1.041934e-07	1.041934e-07
-3.800000e+00	-3.600000e+00	2.352659e-06	1.122863e-07	1.122863e-07
-3.600000e+00	-3.400000e+00	2.792107e-06	1.223244e-07	1.223244e-07
-3.400000e+00	-3.200000e+00	3.043987e-06	1.277228e-07	1.277228e-07
-3.200000e+00	-3.000000e+00	3.842497e-06	1.435007e-07	1.435007e-07
-3.000000e+00	-2.800000e+00	2.646339e-05	3.765910e-07	3.765910e-07
-2.800000e+00	-2.600000e+00	3.687082e-05	4.445172e-07	4.445172e-07
-2.600000e+00	-2.400000e+00	4.922897e-05	5.136385e-07	5.136385e-07
-2.400000e+00	-2.200000e+00	6.232135e-05	5.779172e-07	5.779172e-07
-2.200000e+00	-2.000000e+00	7.986175e-05	6.542093e-07	6.542093e-07
-2.000000e+00	-1.800000e+00	9.646435e-05	7.190028e-07	7.190028e-07
-1.800000e+00	-1.600000e+00	1.152696e-04	7.859672e-07	7.859672e-07
-1.600000e+00	-1.400000e+00	1.366739e-04	8.558350e-07	8.558350e-07
-1.400000e+00	-1.200000e+00	1.534963e-04	9.069764e-07	9.069764e-07
-1.200000e+00	-1.000000e+00	1.703668e-04	9.555196e-07	9.555196e-07
-1.000000e+00	-8.000000e-01	1.837861e-04	9.924382e-07	9.924382e-07
