# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second muon
XLabel=$\eta(\mu\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\mu\mathrm{2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.233713e-07	4.763300e-08	4.763300e-08
-4.800000e+00	-4.600000e+00	5.841455e-07	5.595096e-08	5.595096e-08
-4.600000e+00	-4.400000e+00	6.752505e-07	6.015609e-08	6.015609e-08
-4.400000e+00	-4.200000e+00	7.609965e-07	6.386141e-08	6.386141e-08
-4.200000e+00	-4.000000e+00	7.824330e-07	6.475463e-08	6.475463e-08
-4.000000e+00	-3.800000e+00	9.592845e-07	7.170028e-08	7.170028e-08
-3.800000e+00	-3.600000e+00	1.061108e-06	7.540965e-08	7.540965e-08
-3.600000e+00	-3.400000e+00	1.291550e-06	8.319608e-08	8.319608e-08
-3.400000e+00	-3.200000e+00	1.307628e-06	8.371230e-08	8.371230e-08
-3.200000e+00	-3.000000e+00	2.175807e-06	1.079835e-07	1.079835e-07
-3.000000e+00	-2.800000e+00	2.731013e-05	3.825684e-07	3.825684e-07
-2.800000e+00	-2.600000e+00	3.601336e-05	4.393180e-07	4.393180e-07
-2.600000e+00	-2.400000e+00	4.563836e-05	4.945522e-07	4.945522e-07
-2.400000e+00	-2.200000e+00	5.691395e-05	5.522767e-07	5.522767e-07
-2.200000e+00	-2.000000e+00	7.047255e-05	6.145500e-07	6.145500e-07
-2.000000e+00	-1.800000e+00	8.384360e-05	6.703199e-07	6.703199e-07
-1.800000e+00	-1.600000e+00	9.779340e-05	7.239391e-07	7.239391e-07
-1.600000e+00	-1.400000e+00	1.132223e-04	7.789567e-07	7.789567e-07
-1.400000e+00	-1.200000e+00	1.272526e-04	8.258107e-07	8.258107e-07
-1.200000e+00	-1.000000e+00	1.386783e-04	8.620874e-07	8.620874e-07
-1.000000e+00	-8.000000e-01	1.489624e-04	8.934814e-07	8.934814e-07
-8.000000e-01	-6.000000e-01	1.569421e-04	9.171006e-07	9.171006e-07
-6.000000e-01	-4.000000e-01	1.634964e-04	9.360548e-07	9.360548e-07
-4.000000e-01	-2.000000e-01	1.686197e-04	9.506077e-07	9.506077e-07
-2.000000e-01	0.000000e+00	1.718191e-04	9.595838e-07	9.595838e-07
0.000000e+00	2.000000e-01	1.721781e-04	9.605859e-07	9.605859e-07
2.000000e-01	4.000000e-01	1.702917e-04	9.553092e-07	9.553092e-07
4.000000e-01	6.000000e-01	1.654953e-04	9.417595e-07	9.417595e-07
6.000000e-01	8.000000e-01	1.566045e-04	9.161137e-07	9.161137e-07
8.000000e-01	1.000000e+00	1.504523e-04	8.979383e-07	8.979383e-07
1.000000e+00	1.200000e+00	1.398894e-04	8.658438e-07	8.658438e-07
1.200000e+00	1.400000e+00	1.263469e-04	8.228666e-07	8.228666e-07
1.400000e+00	1.600000e+00	1.122095e-04	7.754645e-07	7.754645e-07
1.600000e+00	1.800000e+00	9.955655e-05	7.304360e-07	7.304360e-07
1.800000e+00	2.000000e+00	8.416515e-05	6.716041e-07	6.716041e-07
2.000000e+00	2.200000e+00	7.047255e-05	6.145500e-07	6.145500e-07
2.200000e+00	2.400000e+00	5.817870e-05	5.583794e-07	5.583794e-07
2.400000e+00	2.600000e+00	4.683880e-05	5.010142e-07	5.010142e-07
2.600000e+00	2.800000e+00	3.729955e-05	4.470941e-07	4.470941e-07
2.800000e+00	3.000000e+00	2.752985e-05	3.841043e-07	3.841043e-07
3.000000e+00	3.200000e+00	2.320503e-06	1.115163e-07	1.115163e-07
3.200000e+00	3.400000e+00	1.318346e-06	8.405468e-08	8.405468e-08
3.400000e+00	3.600000e+00	1.307628e-06	8.371230e-08	8.371230e-08
3.600000e+00	3.800000e+00	1.028953e-06	7.425830e-08	7.425830e-08
3.800000e+00	4.000000e+00	9.432070e-07	7.109691e-08	7.109691e-08
4.000000e+00	4.200000e+00	7.663555e-07	6.408588e-08	6.408588e-08
4.200000e+00	4.400000e+00	6.323775e-07	5.821505e-08	5.821505e-08
4.400000e+00	4.600000e+00	6.538140e-07	5.919354e-08	5.919354e-08
4.600000e+00	4.800000e+00	4.823218e-07	5.084117e-08	5.084117e-08
4.800000e+00	5.000000e+00	4.930400e-07	5.140297e-08	5.140297e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.673021e-07	5.010005e-08	5.010005e-08
-4.800000e+00	-4.600000e+00	5.317575e-07	5.344366e-08	5.344366e-08
-4.600000e+00	-4.400000e+00	5.371290e-07	5.371289e-08	5.371289e-08
-4.400000e+00	-4.200000e+00	7.466090e-07	6.332655e-08	6.332655e-08
-4.200000e+00	-4.000000e+00	7.734655e-07	6.445547e-08	6.445547e-08
-4.000000e+00	-3.800000e+00	8.379210e-07	6.708739e-08	6.708739e-08
-3.800000e+00	-3.600000e+00	9.829460e-07	7.266146e-08	7.266146e-08
-3.600000e+00	-3.400000e+00	1.208540e-06	8.056933e-08	8.056933e-08
-3.400000e+00	-3.200000e+00	1.428763e-06	8.760307e-08	8.760307e-08
-3.200000e+00	-3.000000e+00	2.180743e-06	1.082285e-07	1.082285e-07
-3.000000e+00	-2.800000e+00	2.692090e-05	3.802630e-07	3.802630e-07
-2.800000e+00	-2.600000e+00	3.561165e-05	4.373562e-07	4.373562e-07
-2.600000e+00	-2.400000e+00	4.627365e-05	4.985471e-07	4.985471e-07
-2.400000e+00	-2.200000e+00	5.776285e-05	5.570108e-07	5.570108e-07
-2.200000e+00	-2.000000e+00	7.078820e-05	6.166231e-07	6.166231e-07
-2.000000e+00	-1.800000e+00	8.533365e-05	6.770168e-07	6.770168e-07
-1.800000e+00	-1.600000e+00	9.955145e-05	7.312453e-07	7.312453e-07
-1.600000e+00	-1.400000e+00	1.128078e-04	7.784107e-07	7.784107e-07
-1.400000e+00	-1.200000e+00	1.256291e-04	8.214560e-07	8.214560e-07
-1.200000e+00	-1.000000e+00	1.381335e-04	8.613680e-07	8.613680e-07
-1.000000e+00	-8.000000e-01	1.501759e-04	8.981303e-07	8.981303e-07
-8.000000e-01	-6.000000e-01	1.590492e-04	9.242832e-07	9.242832e-07
-6.000000e-01	-4.000000e-01	1.655969e-04	9.431164e-07	9.431164e-07
-4.000000e-01	-2.000000e-01	1.700120e-04	9.556065e-07	9.556065e-07
-2.000000e-01	0.000000e+00	1.745884e-04	9.683825e-07	9.683825e-07
0.000000e+00	2.000000e-01	1.735302e-04	9.654434e-07	9.654434e-07
2.000000e-01	4.000000e-01	1.670847e-04	9.473438e-07	9.473438e-07
4.000000e-01	6.000000e-01	1.651672e-04	9.418920e-07	9.418920e-07
6.000000e-01	8.000000e-01	1.593393e-04	9.251257e-07	9.251257e-07
8.000000e-01	1.000000e+00	1.502833e-04	8.984514e-07	8.984514e-07
1.000000e+00	1.200000e+00	1.388854e-04	8.637093e-07	8.637093e-07
1.200000e+00	1.400000e+00	1.253552e-04	8.205600e-07	8.205600e-07
1.400000e+00	1.600000e+00	1.127218e-04	7.781142e-07	7.781142e-07
1.600000e+00	1.800000e+00	9.759630e-05	7.240290e-07	7.240290e-07
1.800000e+00	2.000000e+00	8.434000e-05	6.730635e-07	6.730635e-07
2.000000e+00	2.200000e+00	7.011680e-05	6.136919e-07	6.136919e-07
2.200000e+00	2.400000e+00	5.700550e-05	5.533471e-07	5.533471e-07
