# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity $+/-$ ratio of second muon
XLabel=$|\eta(\mu\mathrm{2}|$
YLabel=$\eta(\mu\mathrm{2})_+/\eta(\mu\mathrm{2})_-$
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0079105477125484373, dn: 0.0079105477125484373}}, 1: {"": {up: 0.0080320174611809552, dn: 0.0080320174611809552}}, 2: {"": {up: 0.0081709085642914809, dn: 0.0081709085642914809}}, 3: {"": {up: 0.0082507046424300252, dn: 0.0082507046424300252}}, 4: {"": {up: 0.0085461011543252873, dn: 0.0085461011543252873}}, 5: {"": {up: 0.00884896465726954, dn: 0.00884896465726954}}, 6: {"": {up: 0.0091285911707636794, dn: 0.0091285911707636794}}, 7: {"": {up: 0.0096643198718207816, dn: 0.0096643198718207816}}, 8: {"": {up: 0.010610510021918563, dn: 0.010610510021918563}}, 9: {"": {up: 0.011338990507615316, dn: 0.011338990507615316}}, 10: {"": {up: 0.01233252831956415, dn: 0.01233252831956415}}, 11: {"": {up: 0.013951626456248228, dn: 0.013951626456248228}}, 12: {"": {up: 0.015626880936624805, dn: 0.015626880936624805}}, 13: {"": {up: 0.017713066737190138, dn: 0.017713066737190138}}, 14: {"": {up: 0.01993022221389178, dn: 0.01993022221389178}}, 15: {"": {up: 0.073677669160293641, dn: 0.073677669160293641}}, 16: {"": {up: 0.091092129326885762, dn: 0.091092129326885762}}, 17: {"": {up: 0.091947562052657042, dn: 0.091947562052657042}}, 18: {"": {up: 0.098216653495837941, dn: 0.098216653495837941}}, 19: {"": {up: 0.10437367228608874, dn: 0.10437367228608874}}, 20: {"": {up: 0.11523586242696245, dn: 0.11523586242696245}}, 21: {"": {up: 0.10351306331252323, dn: 0.10351306331252323}}, 22: {"": {up: 0.12298437490422728, dn: 0.12298437490422728}}, 23: {"": {up: 0.11760019612183331, dn: 0.11760019612183331}}, 24: {"": {up: 0.17862873880460395, dn: 0.17862873880460395}}}
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.002090e+00	7.910548e-03	7.910548e-03
2.000000e-01	4.000000e-01	1.009916e+00	8.032017e-03	8.032017e-03
4.000000e-01	6.000000e-01	1.012226e+00	8.170909e-03	8.170909e-03
6.000000e-01	8.000000e-01	9.978487e-01	8.250705e-03	8.250705e-03
8.000000e-01	1.000000e+00	1.010001e+00	8.546101e-03	8.546101e-03
1.000000e+00	1.200000e+00	1.008734e+00	8.848965e-03	8.848965e-03
1.200000e+00	1.400000e+00	9.928827e-01	9.128591e-03	9.128591e-03
1.400000e+00	1.600000e+00	9.910541e-01	9.664320e-03	9.664320e-03
1.600000e+00	1.800000e+00	1.018029e+00	1.061051e-02	1.061051e-02
1.800000e+00	2.000000e+00	1.003835e+00	1.133899e-02	1.133899e-02
2.000000e+00	2.200000e+00	1.000000e+00	1.233253e-02	1.233253e-02
2.200000e+00	2.400000e+00	1.022222e+00	1.395163e-02	1.395163e-02
2.400000e+00	2.600000e+00	1.026303e+00	1.562688e-02	1.562688e-02
2.600000e+00	2.800000e+00	1.035714e+00	1.771307e-02	1.771307e-02
2.800000e+00	3.000000e+00	1.008046e+00	1.993022e-02	1.993022e-02
3.000000e+00	3.200000e+00	1.066502e+00	7.367767e-02	7.367767e-02
3.200000e+00	3.400000e+00	1.008197e+00	9.109213e-02	9.109213e-02
3.400000e+00	3.600000e+00	1.012448e+00	9.194756e-02	9.194756e-02
3.600000e+00	3.800000e+00	9.696970e-01	9.821665e-02	9.821665e-02
3.800000e+00	4.000000e+00	9.832402e-01	1.043737e-01	1.043737e-01
4.000000e+00	4.200000e+00	9.794521e-01	1.152359e-01	1.152359e-01
4.200000e+00	4.400000e+00	8.309859e-01	1.035131e-01	1.035131e-01
4.400000e+00	4.600000e+00	9.682540e-01	1.229844e-01	1.229844e-01
4.600000e+00	4.800000e+00	8.256881e-01	1.176002e-01	1.176002e-01
4.800000e+00	5.000000e+00	1.164557e+00	1.786287e-01	1.786287e-01
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_eta_pmratio_2
ErrorBars=1
