# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading muon
XLabel=$p_\perp(\mu\mathrm{1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mu\mathrm{1}$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.084713e+00	1.982638e-05	5.008512e-07	5.008512e-07
1.084713e+00	1.176602e+00	1.728657e-05	4.490398e-07	4.490398e-07
1.176602e+00	1.276275e+00	1.599035e-05	4.146697e-07	4.146697e-07
1.276275e+00	1.384392e+00	1.490011e-05	3.843349e-07	3.843349e-07
1.384392e+00	1.501668e+00	1.385525e-05	3.558482e-07	3.558482e-07
1.501668e+00	1.628879e+00	1.217496e-05	3.202828e-07	3.202828e-07
1.628879e+00	1.766866e+00	1.113095e-05	2.940420e-07	2.940420e-07
1.766866e+00	1.916542e+00	1.056960e-05	2.751157e-07	2.751157e-07
1.916542e+00	2.078898e+00	8.892496e-06	2.422924e-07	2.422924e-07
2.078898e+00	2.255007e+00	8.800578e-06	2.314339e-07	2.314339e-07
2.255007e+00	2.446035e+00	8.051547e-06	2.125462e-07	2.125462e-07
2.446035e+00	2.653246e+00	7.458933e-06	1.964238e-07	1.964238e-07
2.653246e+00	2.878010e+00	7.162548e-06	1.848130e-07	1.848130e-07
2.878010e+00	3.121814e+00	6.524052e-06	1.693560e-07	1.693560e-07
3.121814e+00	3.386272e+00	6.269861e-06	1.594090e-07	1.594090e-07
3.386272e+00	3.673133e+00	5.948341e-06	1.490817e-07	1.490817e-07
3.673133e+00	3.984294e+00	5.704262e-06	1.401746e-07	1.401746e-07
3.984294e+00	4.321815e+00	5.493759e-06	1.320829e-07	1.320829e-07
4.321815e+00	4.687929e+00	5.345753e-06	1.251003e-07	1.251003e-07
4.687929e+00	5.085057e+00	5.179272e-06	1.182310e-07	1.182310e-07
5.085057e+00	5.515826e+00	4.901694e-06	1.104366e-07	1.104366e-07
5.515826e+00	5.983088e+00	4.913415e-06	1.061631e-07	1.061631e-07
