# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second muon
XLabel=$p_\perp(\mu\mathrm{2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mu\mathrm{2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.167099e+00	8.486143e-06	2.333084e-07	2.333084e-07
1.167099e+00	1.362120e+00	7.007338e-06	1.962447e-07	1.962447e-07
1.362120e+00	1.589730e+00	5.947524e-06	1.673535e-07	1.673535e-07
1.589730e+00	1.855372e+00	5.124261e-06	1.437902e-07	1.437902e-07
1.855372e+00	2.165403e+00	4.435534e-06	1.238319e-07	1.238319e-07
2.165403e+00	2.527240e+00	3.924889e-06	1.078250e-07	1.078250e-07
2.527240e+00	2.949540e+00	3.538068e-06	9.476210e-08	9.476210e-08
2.949540e+00	3.442405e+00	3.351189e-06	8.536850e-08	8.536850e-08
3.442405e+00	4.017629e+00	3.529128e-06	8.109188e-08	8.109188e-08
4.017629e+00	4.688971e+00	3.542728e-06	7.520715e-08	7.520715e-08
4.688971e+00	5.472494e+00	3.712636e-06	7.126520e-08	7.126520e-08
5.472494e+00	6.386943e+00	3.871448e-06	6.736265e-08	6.736265e-08
6.386943e+00	7.454196e+00	4.448983e-06	6.684345e-08	6.684345e-08
7.454196e+00	8.699785e+00	4.798995e-06	6.426136e-08	6.426136e-08
8.699785e+00	1.015351e+01	5.377840e-06	6.296874e-08	6.296874e-08
1.015351e+01	1.185016e+01	6.002705e-06	6.158000e-08	6.158000e-08
1.185016e+01	1.383031e+01	6.845638e-06	6.087235e-08	6.087235e-08
1.383031e+01	1.614134e+01	7.764261e-06	6.000804e-08	6.000804e-08
1.614134e+01	1.883854e+01	8.572382e-06	5.836553e-08	5.836553e-08
1.883854e+01	2.198645e+01	9.562271e-06	5.705997e-08	5.705997e-08
2.198645e+01	2.566036e+01	1.033255e-05	5.490371e-08	5.490371e-08
2.566036e+01	2.994819e+01	1.078993e-05	5.193411e-08	5.193411e-08
2.994819e+01	3.495251e+01	1.079725e-05	4.808906e-08	4.808906e-08
3.495251e+01	4.079304e+01	1.024529e-05	4.336088e-08	4.336088e-08
4.079304e+01	4.760952e+01	8.863328e-06	3.733194e-08	3.733194e-08
4.760952e+01	5.556503e+01	6.597473e-06	2.981377e-08	2.981377e-08
5.556503e+01	6.484990e+01	4.994075e-06	2.401054e-08	2.401054e-08
6.484990e+01	7.568627e+01	3.560861e-06	1.876713e-08	1.876713e-08
7.568627e+01	8.833338e+01	2.477289e-06	1.448955e-08	1.448955e-08
8.833338e+01	1.030938e+02	1.697881e-06	1.110367e-08	1.110367e-08
1.030938e+02	1.203207e+02	1.070402e-06	8.160785e-09	8.160785e-09
1.203207e+02	1.404262e+02	6.376952e-07	5.830575e-09	5.830575e-09
1.404262e+02	1.638913e+02	3.792143e-07	4.161916e-09	4.161916e-09
1.638913e+02	1.912774e+02	2.164309e-07	2.910427e-09	2.910427e-09
1.912774e+02	2.232397e+02	1.136805e-07	1.952478e-09	1.952478e-09
2.232397e+02	2.605428e+02	5.898864e-08	1.301889e-09	1.301889e-09
2.605428e+02	3.040793e+02	3.030602e-08	8.637736e-10	8.637736e-10
3.040793e+02	3.548907e+02	1.396436e-08	5.427404e-10	5.427404e-10
3.548907e+02	4.141926e+02	6.524735e-09	3.434072e-10	3.434072e-10
4.141926e+02	4.834039e+02	2.555237e-09	1.989250e-10	1.989250e-10
4.834039e+02	5.641803e+02	7.961431e-10	1.027816e-10	1.027816e-10
5.641803e+02	6.584543e+02	4.206629e-10	6.915654e-11	6.915654e-11
6.584543e+02	7.684814e+02	1.558636e-10	3.896590e-11	3.896590e-11
7.684814e+02	8.968940e+02	8.346735e-12	8.346736e-12	8.346736e-12
8.968940e+02	1.046764e+03	7.151705e-12	7.151705e-12	7.151705e-12
1.046764e+03	1.221678e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.221678e+03	1.425819e+03	5.250420e-12	5.250420e-12	5.250420e-12
1.425819e+03	1.664072e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.664072e+03	1.942137e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.942137e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_pt_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.167099e+00	8.588968e-06	2.349838e-07	2.349838e-07
1.167099e+00	1.362120e+00	7.507976e-06	2.033645e-07	2.033645e-07
1.362120e+00	1.589730e+00	5.876064e-06	1.665336e-07	1.665336e-07
1.589730e+00	1.855372e+00	4.929642e-06	1.411931e-07	1.411931e-07
1.855372e+00	2.165403e+00	4.376298e-06	1.231417e-07	1.231417e-07
2.165403e+00	2.527240e+00	3.924886e-06	1.079472e-07	1.079472e-07
2.527240e+00	2.949540e+00	3.431622e-06	9.343151e-08	9.343151e-08
2.949540e+00	3.442405e+00	3.659580e-06	8.931119e-08	8.931119e-08
3.442405e+00	4.017629e+00	3.357850e-06	7.918928e-08	7.918928e-08
4.017629e+00	4.688971e+00	3.603572e-06	7.593620e-08	7.593620e-08
4.688971e+00	5.472494e+00	3.862278e-06	7.276963e-08	7.276963e-08
5.472494e+00	6.386943e+00	3.927222e-06	6.792306e-08	6.792306e-08
6.386943e+00	7.454196e+00	4.313124e-06	6.588955e-08	6.588955e-08
7.454196e+00	8.699785e+00	4.841792e-06	6.462045e-08	6.462045e-08
8.699785e+00	1.015351e+01	5.283629e-06	6.248550e-08	6.248550e-08
1.015351e+01	1.185016e+01	6.069513e-06	6.199190e-08	6.199190e-08
1.185016e+01	1.383031e+01	6.823731e-06	6.084379e-08	6.084379e-08
1.383031e+01	1.614134e+01	7.743759e-06	5.999670e-08	5.999670e-08
1.614134e+01	1.883854e+01	8.604976e-06	5.854266e-08	5.854266e-08
1.883854e+01	2.198645e+01	9.605805e-06	5.725455e-08	5.725455e-08
2.198645e+01	2.566036e+01	1.029459e-05	5.486489e-08	5.486489e-08
2.566036e+01	2.994819e+01	1.081842e-05	5.206157e-08	5.206157e-08
