# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first muon
XLabel=$y(\mu\mathrm{1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mu\mathrm{1})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.114699e-06	7.729049e-08	7.729049e-08
-4.800000e+00	-4.600000e+00	1.237959e-06	8.145173e-08	8.145173e-08
-4.600000e+00	-4.400000e+00	1.168291e-06	7.912662e-08	7.912662e-08
-4.400000e+00	-4.200000e+00	1.811386e-06	9.852642e-08	9.852642e-08
-4.200000e+00	-4.000000e+00	1.940005e-06	1.019644e-07	1.019644e-07
-4.000000e+00	-3.800000e+00	2.015033e-06	1.039174e-07	1.039174e-07
-3.800000e+00	-3.600000e+00	2.341940e-06	1.120302e-07	1.120302e-07
-3.600000e+00	-3.400000e+00	2.770670e-06	1.218540e-07	1.218540e-07
-3.400000e+00	-3.200000e+00	3.038627e-06	1.276103e-07	1.276103e-07
-3.200000e+00	-3.000000e+00	3.842497e-06	1.435007e-07	1.435007e-07
-3.000000e+00	-2.800000e+00	2.643659e-05	3.764003e-07	3.764003e-07
-2.800000e+00	-2.600000e+00	3.687082e-05	4.445172e-07	4.445172e-07
-2.600000e+00	-2.400000e+00	4.922897e-05	5.136385e-07	5.136385e-07
-2.400000e+00	-2.200000e+00	6.232670e-05	5.779420e-07	5.779420e-07
-2.200000e+00	-2.000000e+00	7.982960e-05	6.540774e-07	6.540774e-07
-2.000000e+00	-1.800000e+00	9.647505e-05	7.190428e-07	7.190428e-07
-1.800000e+00	-1.600000e+00	1.153071e-04	7.860951e-07	7.860951e-07
-1.600000e+00	-1.400000e+00	1.366471e-04	8.557510e-07	8.557510e-07
-1.400000e+00	-1.200000e+00	1.534855e-04	9.069449e-07	9.069449e-07
