# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second muon
XLabel=$y(\mu\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mu\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.233713e-07	4.763300e-08	4.763300e-08
-4.800000e+00	-4.600000e+00	5.787860e-07	5.569372e-08	5.569372e-08
-4.600000e+00	-4.400000e+00	6.752505e-07	6.015609e-08	6.015609e-08
-4.400000e+00	-4.200000e+00	7.502785e-07	6.341009e-08	6.341009e-08
-4.200000e+00	-4.000000e+00	7.931515e-07	6.519664e-08	6.519664e-08
-4.000000e+00	-3.800000e+00	9.485660e-07	7.129860e-08	7.129860e-08
-3.800000e+00	-3.600000e+00	1.061108e-06	7.540965e-08	7.540965e-08
-3.600000e+00	-3.400000e+00	1.280832e-06	8.285015e-08	8.285015e-08
-3.400000e+00	-3.200000e+00	1.318346e-06	8.405468e-08	8.405468e-08
-3.200000e+00	-3.000000e+00	2.181166e-06	1.081164e-07	1.081164e-07
-3.000000e+00	-2.800000e+00	2.729405e-05	3.824557e-07	3.824557e-07
-2.800000e+00	-2.600000e+00	3.597585e-05	4.390891e-07	4.390891e-07
-2.600000e+00	-2.400000e+00	4.569195e-05	4.948426e-07	4.948426e-07
-2.400000e+00	-2.200000e+00	5.686575e-05	5.520426e-07	5.520426e-07
-2.200000e+00	-2.000000e+00	7.052080e-05	6.147603e-07	6.147603e-07
-2.000000e+00	-1.800000e+00	8.381145e-05	6.701914e-07	6.701914e-07
-1.800000e+00	-1.600000e+00	9.779880e-05	7.239589e-07	7.239589e-07
-1.600000e+00	-1.400000e+00	1.132331e-04	7.789934e-07	7.789934e-07
-1.400000e+00	-1.200000e+00	1.272312e-04	8.257410e-07	8.257410e-07
-1.200000e+00	-1.000000e+00	1.386890e-04	8.621208e-07	8.621208e-07
