# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity $+/-$ ratio of first muon
XLabel=$|y(\mu\mathrm{1}|$
YLabel=$y(\mu\mathrm{1})_+/y(\mu\mathrm{1})_-$
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.0071306534225684462, dn: 0.0071306534225684462}}, 1: {"": {up: 0.0071918029190998246, dn: 0.0071918029190998246}}, 2: {"": {up: 0.0071924764776571115, dn: 0.0071924764776571115}}, 3: {"": {up: 0.0074547429650516986, dn: 0.0074547429650516986}}, 4: {"": {up: 0.0076176664654163074, dn: 0.0076176664654163074}}, 5: {"": {up: 0.0079125550448221581, dn: 0.0079125550448221581}}, 6: {"": {up: 0.008328562269833726, dn: 0.008328562269833726}}, 7: {"": {up: 0.0088458147291759128, dn: 0.0088458147291759128}}, 8: {"": {up: 0.0096668074799120193, dn: 0.0096668074799120193}}, 9: {"": {up: 0.010623299908144914, dn: 0.010623299908144914}}, 10: {"": {up: 0.011530638440714027, dn: 0.011530638440714027}}, 11: {"": {up: 0.01332661920804103, dn: 0.01332661920804103}}, 12: {"": {up: 0.014728920326255402, dn: 0.014728920326255402}}, 13: {"": {up: 0.017023835417554346, dn: 0.017023835417554346}}, 14: {"": {up: 0.020104746066367057, dn: 0.020104746066367057}}, 15: {"": {up: 0.053146131918793992, dn: 0.053146131918793992}}, 16: {"": {up: 0.058526517836765567, dn: 0.058526517836765567}}, 17: {"": {up: 0.057848095326137501, dn: 0.057848095326137501}}, 18: {"": {up: 0.068695078743396115, dn: 0.068695078743396115}}, 19: {"": {up: 0.074530834529067502, dn: 0.074530834529067502}}, 20: {"": {up: 0.07062273205862149, dn: 0.07062273205862149}}, 21: {"": {up: 0.070231227635912538, dn: 0.070231227635912538}}, 22: {"": {up: 0.12053797891465155, dn: 0.12053797891465155}}, 23: {"": {up: 0.097568307905966087, dn: 0.097568307905966087}}, 24: {"": {up: 0.099118161222941953, dn: 0.099118161222941953}}}
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.011274e+00	7.130653e-03	7.130653e-03
2.000000e-01	4.000000e-01	1.009585e+00	7.191803e-03	7.191803e-03
4.000000e-01	6.000000e-01	9.952850e-01	7.192476e-03	7.192476e-03
6.000000e-01	8.000000e-01	1.006385e+00	7.454743e-03	7.454743e-03
8.000000e-01	1.000000e+00	9.967930e-01	7.617666e-03	7.617666e-03
1.000000e+00	1.200000e+00	9.969179e-01	7.912555e-03	7.912555e-03
1.200000e+00	1.400000e+00	9.955307e-01	8.328562e-03	8.328562e-03
1.400000e+00	1.600000e+00	9.983920e-01	8.845815e-03	8.845815e-03
1.600000e+00	1.800000e+00	1.003532e+00	9.666807e-03	9.666807e-03
1.800000e+00	2.000000e+00	1.010499e+00	1.062330e-02	1.062330e-02
2.000000e+00	2.200000e+00	9.934882e-01	1.153064e-02	1.153064e-02
2.200000e+00	2.400000e+00	1.021668e+00	1.332662e-02	1.332662e-02
2.400000e+00	2.600000e+00	9.976051e-01	1.472892e-02	1.472892e-02
2.600000e+00	2.800000e+00	9.979651e-01	1.702384e-02	1.702384e-02
2.800000e+00	3.000000e+00	9.979728e-01	2.010475e-02	2.010475e-02
3.000000e+00	3.200000e+00	1.008368e+00	5.314613e-02	5.314613e-02
3.200000e+00	3.400000e+00	9.805996e-01	5.852652e-02	5.852652e-02
3.400000e+00	3.600000e+00	9.071567e-01	5.784810e-02	5.784810e-02
3.600000e+00	3.800000e+00	1.020595e+00	6.869508e-02	6.869508e-02
3.800000e+00	4.000000e+00	1.029255e+00	7.453083e-02	7.453083e-02
4.000000e+00	4.200000e+00	9.337017e-01	7.062273e-02	7.062273e-02
4.200000e+00	4.400000e+00	8.846154e-01	7.023123e-02	7.023123e-02
4.400000e+00	4.600000e+00	1.348624e+00	1.205380e-01	1.205380e-01
4.600000e+00	4.800000e+00	1.064935e+00	9.756831e-02	9.756831e-02
4.800000e+00	5.000000e+00	1.014423e+00	9.911816e-02	9.911816e-02
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1
ErrorBars=1
ErrorBreakdown={0: {"": {up: 0.007108912414755331, dn: 0.007108912414755331}}, 1: {"": {up: 0.0071449388044543555, dn: 0.0071449388044543555}}, 2: {"": {up: 0.0071778663944071465, dn: 0.0071778663944071465}}, 3: {"": {up: 0.0073270208068444611, dn: 0.0073270208068444611}}, 4: {"": {up: 0.0077428801949525113, dn: 0.0077428801949525113}}, 5: {"": {up: 0.0078571322919815858, dn: 0.0078571322919815858}}, 6: {"": {up: 0.0083387523488509391, dn: 0.0083387523488509391}}, 7: {"": {up: 0.0088635185329463302, dn: 0.0088635185329463302}}, 8: {"": {up: 0.0097049180396824551, dn: 0.0097049180396824551}}, 9: {"": {up: 0.010414579100066554, dn: 0.010414579100066554}}, 10: {"": {up: 0.011816160546558135, dn: 0.011816160546558135}}, 11: {"": {up: 0.012918211970788464, dn: 0.012918211970788464}}, 12: {"": {up: 0.014708820056113596, dn: 0.014708820056113596}}, 13: {"": {up: 0.01733292354890105, dn: 0.01733292354890105}}, 14: {"": {up: 0.021419322797313341, dn: 0.021419322797313341}}, 15: {"": {up: 0.046822085518563691, dn: 0.046822085518563691}}, 16: {"": {up: 0.056256267024596497, dn: 0.056256267024596497}}, 17: {"": {up: 0.060432537561378889, dn: 0.060432537561378889}}, 18: {"": {up: 0.062114962658820237, dn: 0.062114962658820237}}, 19: {"": {up: 0.066082001679147712, dn: 0.066082001679147712}}, 20: {"": {up: 0.075084594995660697, dn: 0.075084594995660697}}, 21: {"": {up: 0.086570370970450769, dn: 0.086570370970450769}}, 22: {"": {up: 0.080160263250621699, dn: 0.080160263250621699}}, 23: {"": {up: 0.086709391178340769, dn: 0.086709391178340769}}, 24: {"": {up: 0.11785169775430332, dn: 0.11785169775430332}}}
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muon_y_pmratio_1
