# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between muons
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mu\mathrm{1,~}\mu\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mu\mathrm{1,~}\mu\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dR_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.795380e-06	1.908332e-07	1.908332e-07
2.000000e-01	4.000000e-01	3.878403e-05	4.559043e-07	4.559043e-07
4.000000e-01	6.000000e-01	1.017485e-04	7.384330e-07	7.384330e-07
6.000000e-01	8.000000e-01	1.581479e-04	9.206169e-07	9.206169e-07
8.000000e-01	1.000000e+00	1.913853e-04	1.012748e-06	1.012748e-06
1.000000e+00	1.200000e+00	2.100726e-04	1.061040e-06	1.061040e-06
1.200000e+00	1.400000e+00	2.185400e-04	1.082213e-06	1.082213e-06
1.400000e+00	1.600000e+00	2.208819e-04	1.087996e-06	1.087996e-06
1.600000e+00	1.800000e+00	2.238777e-04	1.095349e-06	1.095349e-06
1.800000e+00	2.000000e+00	2.249763e-04	1.098033e-06	1.098033e-06
2.000000e+00	2.200000e+00	2.266483e-04	1.102106e-06	1.102106e-06
2.200000e+00	2.400000e+00	2.303783e-04	1.111138e-06	1.111138e-06
2.400000e+00	2.600000e+00	2.300835e-04	1.110427e-06	1.110427e-06
2.600000e+00	2.800000e+00	2.332455e-04	1.118031e-06	1.118031e-06
2.800000e+00	3.000000e+00	2.366860e-04	1.126247e-06	1.126247e-06
3.000000e+00	3.200000e+00	2.201584e-04	1.086213e-06	1.086213e-06
3.200000e+00	3.400000e+00	1.023380e-04	7.405690e-07	7.405690e-07
3.400000e+00	3.600000e+00	5.735340e-05	5.544046e-07	5.544046e-07
3.600000e+00	3.800000e+00	3.538098e-05	4.354438e-07	4.354438e-07
3.800000e+00	4.000000e+00	2.234757e-05	3.460687e-07	3.460687e-07
4.000000e+00	4.200000e+00	1.616314e-05	2.943134e-07	2.943134e-07
4.200000e+00	4.400000e+00	1.117379e-05	2.447076e-07	2.447076e-07
