# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between muons
LegendXPos=0.1
XLabel=$\Delta\phi(\mu\mathrm{1,~}\mu\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mu\mathrm{1,~}\mu\mathrm{2})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.529478e-04	1.142165e-06	1.142165e-06
1.256637e-01	2.513274e-01	1.603683e-04	1.169544e-06	1.169544e-06
2.513274e-01	3.769911e-01	1.750217e-04	1.221809e-06	1.221809e-06
3.769911e-01	5.026548e-01	1.894448e-04	1.271155e-06	1.271155e-06
5.026548e-01	6.283185e-01	1.994326e-04	1.304234e-06	1.304234e-06
6.283185e-01	7.539822e-01	2.040982e-04	1.319401e-06	1.319401e-06
7.539822e-01	8.796459e-01	2.062646e-04	1.326385e-06	1.326385e-06
8.796459e-01	1.005310e+00	2.084731e-04	1.333465e-06	1.333465e-06
1.005310e+00	1.130973e+00	2.094983e-04	1.336746e-06	1.336746e-06
1.130973e+00	1.256637e+00	2.058803e-04	1.325147e-06	1.325147e-06
1.256637e+00	1.382301e+00	2.066053e-04	1.327478e-06	1.327478e-06
1.382301e+00	1.507964e+00	2.069737e-04	1.328667e-06	1.328667e-06
1.507964e+00	1.633628e+00	2.088570e-04	1.334693e-06	1.334693e-06
1.633628e+00	1.759292e+00	2.084561e-04	1.333411e-06	1.333411e-06
1.759292e+00	1.884956e+00	2.106993e-04	1.340566e-06	1.340566e-06
1.884956e+00	2.010619e+00	2.089952e-04	1.335139e-06	1.335139e-06
2.010619e+00	2.136283e+00	2.145461e-04	1.352748e-06	1.352748e-06
2.136283e+00	2.261947e+00	2.171048e-04	1.360791e-06	1.360791e-06
2.261947e+00	2.387610e+00	2.168762e-04	1.360080e-06	1.360080e-06
2.387610e+00	2.513274e+00	2.199366e-04	1.369637e-06	1.369637e-06
2.513274e+00	2.638938e+00	2.221883e-04	1.376630e-06	1.376630e-06
2.638938e+00	2.764602e+00	2.257962e-04	1.387762e-06	1.387762e-06
2.764602e+00	2.890265e+00	2.267874e-04	1.390810e-06	1.390810e-06
2.890265e+00	3.015929e+00	2.336346e-04	1.411645e-06	1.411645e-06
3.015929e+00	3.141593e+00	2.318093e-04	1.406119e-06	1.406119e-06
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.514483e-04	1.137841e-06	1.137841e-06
1.256637e-01	2.513274e-01	1.604842e-04	1.171293e-06	1.171293e-06
2.513274e-01	3.769911e-01	1.737261e-04	1.218658e-06	1.218658e-06
3.769911e-01	5.026548e-01	1.890795e-04	1.271369e-06	1.271369e-06
5.026548e-01	6.283185e-01	1.963886e-04	1.295709e-06	1.295709e-06
6.283185e-01	7.539822e-01	2.043475e-04	1.321703e-06	1.321703e-06
7.539822e-01	8.796459e-01	2.083653e-04	1.334634e-06	1.334634e-06
8.796459e-01	1.005310e+00	2.067404e-04	1.329417e-06	1.329417e-06
1.005310e+00	1.130973e+00	2.110081e-04	1.343074e-06	1.343074e-06
1.130973e+00	1.256637e+00	2.093479e-04	1.337775e-06	1.337775e-06
1.256637e+00	1.382301e+00	2.074929e-04	1.331835e-06	1.331835e-06
1.382301e+00	1.507964e+00	2.073578e-04	1.331407e-06	1.331407e-06
1.507964e+00	1.633628e+00	2.102285e-04	1.340586e-06	1.340586e-06
1.633628e+00	1.759292e+00	2.116988e-04	1.345266e-06	1.345266e-06
1.759292e+00	1.884956e+00	2.103310e-04	1.340913e-06	1.340913e-06
1.884956e+00	2.010619e+00	2.109054e-04	1.342748e-06	1.342748e-06
2.010619e+00	2.136283e+00	2.132717e-04	1.350254e-06	1.350254e-06
2.136283e+00	2.261947e+00	2.140070e-04	1.352579e-06	1.352579e-06
2.261947e+00	2.387610e+00	2.169922e-04	1.361986e-06	1.361986e-06
2.387610e+00	2.513274e+00	2.230344e-04	1.380812e-06	1.380812e-06
2.513274e+00	2.638938e+00	2.239832e-04	1.383747e-06	1.383747e-06
2.638938e+00	2.764602e+00	2.257272e-04	1.389123e-06	1.389123e-06
2.764602e+00	2.890265e+00	2.282508e-04	1.396872e-06	1.396872e-06
2.890265e+00	3.015929e+00	2.313607e-04	1.406351e-06	1.406351e-06
3.015929e+00	3.141593e+00	2.323524e-04	1.409361e-06	1.409361e-06
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_MUONS:ENERGY=13600/muons_dphi_12
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	7.661722e-05	5.801006e-07	5.801006e-07
1.256637e-01	2.513274e-01	8.040771e-05	5.942769e-07	5.942769e-07
2.513274e-01	3.769911e-01	8.848052e-05	6.233959e-07	6.233959e-07
3.769911e-01	5.026548e-01	9.587693e-05	6.489291e-07	6.489291e-07
5.026548e-01	6.283185e-01	9.986941e-05	6.623025e-07	6.623025e-07
6.283185e-01	7.539822e-01	1.038795e-04	6.754684e-07	6.754684e-07
7.539822e-01	8.796459e-01	1.046129e-04	6.778490e-07	6.778490e-07
8.796459e-01	1.005310e+00	1.046961e-04	6.781171e-07	6.781171e-07
1.005310e+00	1.130973e+00	1.065154e-04	6.839865e-07	6.839865e-07
1.130973e+00	1.256637e+00	1.049465e-04	6.789279e-07	6.789279e-07
1.256637e+00	1.382301e+00	1.047181e-04	6.781887e-07	6.781887e-07
1.382301e+00	1.507964e+00	1.061464e-04	6.828009e-07	6.828009e-07
1.507964e+00	1.633628e+00	1.057678e-04	6.815795e-07	6.815795e-07
1.633628e+00	1.759292e+00	1.059831e-04	6.822726e-07	6.822726e-07
1.759292e+00	1.884956e+00	1.059875e-04	6.822867e-07	6.822867e-07
1.884956e+00	2.010619e+00	1.066954e-04	6.845644e-07	6.845644e-07
2.010619e+00	2.136283e+00	1.067429e-04	6.847140e-07	6.847140e-07
2.136283e+00	2.261947e+00	1.074721e-04	6.870485e-07	6.870485e-07
2.261947e+00	2.387610e+00	1.085973e-04	6.906386e-07	6.906386e-07
2.387610e+00	2.513274e+00	1.105509e-04	6.968204e-07	6.968204e-07
2.513274e+00	2.638938e+00	1.128305e-04	7.039679e-07	7.039679e-07
2.638938e+00	2.764602e+00	1.135289e-04	7.061431e-07	7.061431e-07
2.764602e+00	2.890265e+00	1.159367e-04	7.135949e-07	7.135949e-07
2.890265e+00	3.015929e+00	1.177804e-04	7.192440e-07	7.192440e-07
3.015929e+00	3.141593e+00	1.183076e-04	7.208515e-07	7.208515e-07
# END HISTO1D

