# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta{R}$ between photons and associated leptons
XLabel=$\Delta{R}$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR
ScaledBy=5.93496800354887326e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	1.160901e-01	1.312432e-04	1.312432e-04
4.000000e-02	8.000000e-02	4.497295e-02	8.168736e-05	8.168736e-05
8.000000e-02	1.200000e-01	4.851823e-02	8.484604e-05	8.484604e-05
1.200000e-01	1.600000e-01	5.708905e-02	9.203556e-05	9.203556e-05
1.600000e-01	2.000000e-01	6.727435e-02	9.990883e-05	9.990883e-05
2.000000e-01	2.400000e-01	7.805803e-02	1.076188e-04	1.076188e-04
2.400000e-01	2.800000e-01	8.927215e-02	1.150899e-04	1.150899e-04
2.800000e-01	3.200000e-01	1.002636e-01	1.219694e-04	1.219694e-04
3.200000e-01	3.600000e-01	1.118957e-01	1.288504e-04	1.288504e-04
3.600000e-01	4.000000e-01	1.226980e-01	1.349267e-04	1.349267e-04
4.000000e-01	4.400000e-01	1.334122e-01	1.406944e-04	1.406944e-04
4.400000e-01	4.800000e-01	1.438485e-01	1.460938e-04	1.460938e-04
4.800000e-01	5.200000e-01	1.540632e-01	1.511919e-04	1.511919e-04
5.200000e-01	5.600000e-01	1.637328e-01	1.558645e-04	1.558645e-04
5.600000e-01	6.000000e-01	1.731708e-01	1.602937e-04	1.602937e-04
6.000000e-01	6.400000e-01	1.822588e-01	1.644461e-04	1.644461e-04
6.400000e-01	6.800000e-01	1.908424e-01	1.682739e-04	1.682739e-04
6.800000e-01	7.200000e-01	1.993675e-01	1.719912e-04	1.719912e-04
7.200000e-01	7.600000e-01	2.071906e-01	1.753332e-04	1.753332e-04
7.600000e-01	8.000000e-01	2.151221e-01	1.786577e-04	1.786577e-04
8.000000e-01	8.400000e-01	2.219993e-01	1.814909e-04	1.814909e-04
8.400000e-01	8.800000e-01	2.286206e-01	1.841776e-04	1.841776e-04
8.800000e-01	9.200000e-01	2.350605e-01	1.867536e-04	1.867536e-04
9.200000e-01	9.600000e-01	2.407576e-01	1.890032e-04	1.890032e-04
9.600000e-01	1.000000e+00	2.464182e-01	1.912122e-04	1.912122e-04
