# BEGIN PLOT
Legend=1
LogY=1
Title=Phase-space \& $p_\perp$-weighted $\Delta{R}$ between photons and associated leptons
XLabel=$\Delta{R}$
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted
ScaledBy=4.45785631131728420e-11
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	2.486334e+01	2.927860e-01	2.927860e-01
4.000000e-02	8.000000e-02	1.619152e-02	1.248548e-04	1.248548e-04
8.000000e-02	1.200000e-01	6.487733e-03	5.732130e-05	5.732130e-05
1.200000e-01	1.600000e-01	4.275862e-03	3.615972e-05	3.615972e-05
1.600000e-01	2.000000e-01	3.396900e-03	2.887400e-05	2.887400e-05
2.000000e-01	2.400000e-01	3.014595e-03	2.337076e-05	2.337076e-05
2.400000e-01	2.800000e-01	2.765607e-03	1.987133e-05	1.987133e-05
2.800000e-01	3.200000e-01	2.600685e-03	1.774583e-05	1.774583e-05
3.200000e-01	3.600000e-01	2.482440e-03	1.564618e-05	1.564618e-05
3.600000e-01	4.000000e-01	2.396454e-03	1.440380e-05	1.440380e-05
4.000000e-01	4.400000e-01	2.323710e-03	1.278530e-05	1.278530e-05
4.400000e-01	4.800000e-01	2.298172e-03	1.222754e-05	1.222754e-05
4.800000e-01	5.200000e-01	2.218924e-03	1.126651e-05	1.126651e-05
5.200000e-01	5.600000e-01	2.191801e-03	1.065871e-05	1.065871e-05
5.600000e-01	6.000000e-01	2.147510e-03	1.029053e-05	1.029053e-05
6.000000e-01	6.400000e-01	2.088959e-03	9.532369e-06	9.532369e-06
6.400000e-01	6.800000e-01	2.060736e-03	9.206336e-06	9.206336e-06
6.800000e-01	7.200000e-01	2.017523e-03	8.633239e-06	8.633239e-06
7.200000e-01	7.600000e-01	1.996540e-03	8.494392e-06	8.494392e-06
7.600000e-01	8.000000e-01	1.963143e-03	8.124581e-06	8.124581e-06
8.000000e-01	8.400000e-01	1.910260e-03	7.655234e-06	7.655234e-06
8.400000e-01	8.800000e-01	1.877978e-03	7.741872e-06	7.741872e-06
8.800000e-01	9.200000e-01	1.843063e-03	7.302248e-06	7.302248e-06
9.200000e-01	9.600000e-01	1.804026e-03	6.988759e-06	6.988759e-06
9.600000e-01	1.000000e+00	1.762372e-03	6.532352e-06	6.532352e-06
1.000000e+00	1.040000e+00	1.739759e-03	6.435049e-06	6.435049e-06
1.040000e+00	1.080000e+00	1.702693e-03	6.317090e-06	6.317090e-06
1.080000e+00	1.120000e+00	1.655363e-03	5.995318e-06	5.995318e-06
1.120000e+00	1.160000e+00	1.631506e-03	5.898054e-06	5.898054e-06
1.160000e+00	1.200000e+00	1.599279e-03	5.690014e-06	5.690014e-06
1.200000e+00	1.240000e+00	1.580192e-03	5.592664e-06	5.592664e-06
1.240000e+00	1.280000e+00	1.543071e-03	5.411093e-06	5.411093e-06
1.280000e+00	1.320000e+00	1.524224e-03	5.374224e-06	5.374224e-06
1.320000e+00	1.360000e+00	1.488716e-03	5.210466e-06	5.210466e-06
1.360000e+00	1.400000e+00	1.463377e-03	5.076542e-06	5.076542e-06
1.400000e+00	1.440000e+00	1.434851e-03	4.979989e-06	4.979989e-06
1.440000e+00	1.480000e+00	1.403356e-03	4.870554e-06	4.870554e-06
1.480000e+00	1.520000e+00	1.368375e-03	4.715534e-06	4.715534e-06
1.520000e+00	1.560000e+00	1.337318e-03	4.585697e-06	4.585697e-06
1.560000e+00	1.600000e+00	1.312924e-03	4.510315e-06	4.510315e-06
1.600000e+00	1.640000e+00	1.283516e-03	4.407204e-06	4.407204e-06
1.640000e+00	1.680000e+00	1.267536e-03	4.318007e-06	4.318007e-06
1.680000e+00	1.720000e+00	1.238331e-03	4.227447e-06	4.227447e-06
1.720000e+00	1.760000e+00	1.209000e-03	4.170714e-06	4.170714e-06
1.760000e+00	1.800000e+00	1.180412e-03	3.997939e-06	3.997939e-06
1.800000e+00	1.840000e+00	1.150933e-03	4.002327e-06	4.002327e-06
1.840000e+00	1.880000e+00	1.136804e-03	3.949254e-06	3.949254e-06
1.880000e+00	1.920000e+00	1.101752e-03	3.819520e-06	3.819520e-06
1.920000e+00	1.960000e+00	1.073005e-03	3.675197e-06	3.675197e-06
1.960000e+00	2.000000e+00	1.045909e-03	3.649430e-06	3.649430e-06
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted
ScaledBy=4.54995221458186166e-11
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
