# BEGIN PLOT
Legend=1
LogY=1
Title=$p_\perp/R$-weighted $\Delta{R}_{\gamma\ell}$ vs. lepton $p_\perp$
XLabel=Lepton $p_\perp$ [GeV]
YLabel=$\langle\mathrm{Weighted}\quad\Delta{R}_{\gamma\ell}\rangle$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.422970e-02	2.009310e-02	2.009310e-02
1.220000e+01	1.440000e+01	2.123130e-02	1.560071e-02	1.560071e-02
1.440000e+01	1.660000e+01	1.923699e-02	1.592179e-02	1.592179e-02
1.660000e+01	1.880000e+01	1.987462e-02	1.738176e-02	1.738176e-02
1.880000e+01	2.100000e+01	1.877444e-02	1.336398e-02	1.336398e-02
2.100000e+01	2.320000e+01	1.773694e-02	1.281667e-02	1.281667e-02
2.320000e+01	2.540000e+01	1.604145e-02	1.327464e-02	1.327464e-02
2.540000e+01	2.760000e+01	1.657661e-02	1.086600e-02	1.086600e-02
2.760000e+01	2.980000e+01	1.315216e-02	1.364740e-02	1.364740e-02
2.980000e+01	3.200000e+01	1.397534e-02	1.083131e-02	1.083131e-02
3.200000e+01	3.420000e+01	1.349552e-02	1.194339e-02	1.194339e-02
3.420000e+01	3.640000e+01	1.303263e-02	1.046383e-02	1.046383e-02
3.640000e+01	3.860000e+01	1.331238e-02	9.970749e-03	9.970749e-03
3.860000e+01	4.080000e+01	1.018804e-02	1.125240e-02	1.125240e-02
4.080000e+01	4.300000e+01	1.048949e-02	1.598826e-02	1.598826e-02
4.300000e+01	4.520000e+01	1.122894e-02	1.080964e-02	1.080964e-02
4.520000e+01	4.740000e+01	9.964925e-03	1.018792e-02	1.018792e-02
4.740000e+01	4.960000e+01	9.408331e-03	1.341861e-02	1.341861e-02
4.960000e+01	5.180000e+01	9.672423e-03	1.541950e-02	1.541950e-02
5.180000e+01	5.400000e+01	8.909154e-03	9.310371e-03	9.310371e-03
5.400000e+01	5.620000e+01	1.140361e-02	9.197243e-03	9.197243e-03
5.620000e+01	5.840000e+01	8.571795e-03	8.440555e-03	8.440555e-03
5.840000e+01	6.060000e+01	8.571727e-03	1.203769e-02	1.203769e-02
6.060000e+01	6.280000e+01	7.500935e-03	1.281002e-02	1.281002e-02
6.280000e+01	6.500000e+01	7.522407e-03	9.161628e-03	9.161628e-03
6.500000e+01	6.720000e+01	7.627806e-03	9.308505e-03	9.308505e-03
6.720000e+01	6.940000e+01	7.076517e-03	8.591014e-03	8.591014e-03
6.940000e+01	7.160000e+01	6.221017e-03	9.950041e-03	9.950041e-03
7.160000e+01	7.380000e+01	6.132627e-03	9.251068e-03	9.251068e-03
7.380000e+01	7.600000e+01	5.638449e-03	1.069660e-02	1.069660e-02
7.600000e+01	7.820000e+01	6.157170e-03	1.069925e-02	1.069925e-02
7.820000e+01	8.040000e+01	6.364781e-03	1.117532e-02	1.117532e-02
8.040000e+01	8.260000e+01	6.294947e-03	9.275326e-03	9.275326e-03
8.260000e+01	8.480000e+01	5.874015e-03	9.637074e-03	9.637074e-03
8.480000e+01	8.700000e+01	6.736720e-03	1.200199e-02	1.200199e-02
8.700000e+01	8.920000e+01	4.966120e-03	1.059765e-02	1.059765e-02
8.920000e+01	9.140000e+01	6.350720e-03	9.142843e-03	9.142843e-03
9.140000e+01	9.360000e+01	5.023714e-03	9.857222e-03	9.857222e-03
9.360000e+01	9.580000e+01	6.165753e-03	1.098997e-02	1.098997e-02
9.580000e+01	9.800000e+01	4.998456e-03	9.314345e-03	9.314345e-03
9.800000e+01	1.002000e+02	4.797015e-03	9.701976e-03	9.701976e-03
1.002000e+02	1.024000e+02	5.250736e-03	1.271524e-02	1.271524e-02
1.024000e+02	1.046000e+02	4.461649e-03	1.380936e-02	1.380936e-02
1.046000e+02	1.068000e+02	4.681052e-03	1.058883e-02	1.058883e-02
1.068000e+02	1.090000e+02	4.147385e-03	1.398148e-02	1.398148e-02
1.090000e+02	1.112000e+02	4.216880e-03	1.321308e-02	1.321308e-02
1.112000e+02	1.134000e+02	3.777943e-03	1.133376e-02	1.133376e-02
1.134000e+02	1.156000e+02	3.626100e-03	1.083867e-02	1.083867e-02
1.156000e+02	1.178000e+02	3.950401e-03	1.112025e-02	1.112025e-02
1.178000e+02	1.200000e+02	4.084432e-03	1.113033e-02	1.113033e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.585753e-02	1.533430e-02	1.533430e-02
1.220000e+01	1.440000e+01	2.433796e-02	1.476354e-02	1.476354e-02
1.440000e+01	1.660000e+01	2.060868e-02	1.542258e-02	1.542258e-02
1.660000e+01	1.880000e+01	1.847786e-02	1.220594e-02	1.220594e-02
1.880000e+01	2.100000e+01	1.630433e-02	1.405152e-02	1.405152e-02
2.100000e+01	2.320000e+01	1.776134e-02	1.490684e-02	1.490684e-02
2.320000e+01	2.540000e+01	1.356036e-02	1.341648e-02	1.341648e-02
2.540000e+01	2.760000e+01	1.568514e-02	1.424135e-02	1.424135e-02
2.760000e+01	2.980000e+01	1.428895e-02	9.564417e-03	9.564417e-03
2.980000e+01	3.200000e+01	1.402476e-02	1.052923e-02	1.052923e-02
3.200000e+01	3.420000e+01	1.293955e-02	1.093418e-02	1.093418e-02
3.420000e+01	3.640000e+01	1.138479e-02	1.256839e-02	1.256839e-02
3.640000e+01	3.860000e+01	1.206019e-02	1.091401e-02	1.091401e-02
3.860000e+01	4.080000e+01	1.111536e-02	9.920947e-03	9.920947e-03
4.080000e+01	4.300000e+01	1.082131e-02	1.216968e-02	1.216968e-02
4.300000e+01	4.520000e+01	1.019061e-02	9.531215e-03	9.531215e-03
4.520000e+01	4.740000e+01	1.163606e-02	9.494616e-03	9.494616e-03
4.740000e+01	4.960000e+01	9.034518e-03	1.009046e-02	1.009046e-02
4.960000e+01	5.180000e+01	9.603871e-03	1.104409e-02	1.104409e-02
5.180000e+01	5.400000e+01	8.470729e-03	1.096728e-02	1.096728e-02
5.400000e+01	5.620000e+01	9.662688e-03	1.054439e-02	1.054439e-02
5.620000e+01	5.840000e+01	8.310863e-03	1.092130e-02	1.092130e-02
5.840000e+01	6.060000e+01	7.713717e-03	1.695169e-02	1.695169e-02
6.060000e+01	6.280000e+01	7.466822e-03	1.001662e-02	1.001662e-02
6.280000e+01	6.500000e+01	8.249337e-03	1.065248e-02	1.065248e-02
6.500000e+01	6.720000e+01	7.393619e-03	9.512946e-03	9.512946e-03
6.720000e+01	6.940000e+01	7.014545e-03	9.369290e-03	9.369290e-03
6.940000e+01	7.160000e+01	7.704885e-03	1.124697e-02	1.124697e-02
7.160000e+01	7.380000e+01	6.490812e-03	1.016297e-02	1.016297e-02
7.380000e+01	7.600000e+01	6.619733e-03	1.003489e-02	1.003489e-02
7.600000e+01	7.820000e+01	6.714849e-03	1.060673e-02	1.060673e-02
7.820000e+01	8.040000e+01	6.324232e-03	1.136094e-02	1.136094e-02
8.040000e+01	8.260000e+01	7.679263e-03	9.683348e-03	9.683348e-03
8.260000e+01	8.480000e+01	5.479373e-03	1.260040e-02	1.260040e-02
8.480000e+01	8.700000e+01	5.270190e-03	9.911439e-03	9.911439e-03
8.700000e+01	8.920000e+01	6.386009e-03	1.063988e-02	1.063988e-02
8.920000e+01	9.140000e+01	5.530913e-03	1.218630e-02	1.218630e-02
9.140000e+01	9.360000e+01	5.551141e-03	1.041147e-02	1.041147e-02
9.360000e+01	9.580000e+01	5.263226e-03	1.005299e-02	1.005299e-02
9.580000e+01	9.800000e+01	4.702744e-03	9.971319e-03	9.971319e-03
9.800000e+01	1.002000e+02	4.854838e-03	9.550474e-03	9.550474e-03
1.002000e+02	1.024000e+02	5.415374e-03	9.798550e-03	9.798550e-03
1.024000e+02	1.046000e+02	5.028964e-03	9.778831e-03	9.778831e-03
1.046000e+02	1.068000e+02	5.245944e-03	1.164465e-02	1.164465e-02
1.068000e+02	1.090000e+02	4.342552e-03	1.039965e-02	1.039965e-02
1.090000e+02	1.112000e+02	4.278216e-03	9.321295e-03	9.321295e-03
1.112000e+02	1.134000e+02	4.770955e-03	9.733529e-03	9.733529e-03
1.134000e+02	1.156000e+02	5.048381e-03	1.293081e-02	1.293081e-02
1.156000e+02	1.178000e+02	3.460392e-03	1.186521e-02	1.186521e-02
1.178000e+02	1.200000e+02	3.947101e-03	9.964562e-03	9.964562e-03
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_ptweighted_vs_pTlep
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.519493e-02	1.747932e-02	1.747932e-02
1.220000e+01	1.440000e+01	2.100461e-02	1.551404e-02	1.551404e-02
1.440000e+01	1.660000e+01	1.821707e-02	1.464520e-02	1.464520e-02
1.660000e+01	1.880000e+01	2.020602e-02	1.511999e-02	1.511999e-02
1.880000e+01	2.100000e+01	2.030476e-02	1.251615e-02	1.251615e-02
2.100000e+01	2.320000e+01	1.749790e-02	1.305347e-02	1.305347e-02
2.320000e+01	2.540000e+01	1.649417e-02	1.273095e-02	1.273095e-02
2.540000e+01	2.760000e+01	1.505161e-02	1.325420e-02	1.325420e-02
2.760000e+01	2.980000e+01	1.199820e-02	1.139493e-02	1.139493e-02
2.980000e+01	3.200000e+01	1.429356e-02	1.135081e-02	1.135081e-02
3.200000e+01	3.420000e+01	1.442046e-02	1.148121e-02	1.148121e-02
3.420000e+01	3.640000e+01	1.135841e-02	1.038754e-02	1.038754e-02
3.640000e+01	3.860000e+01	1.140197e-02	1.189495e-02	1.189495e-02
3.860000e+01	4.080000e+01	1.195842e-02	1.076325e-02	1.076325e-02
4.080000e+01	4.300000e+01	1.283539e-02	9.385257e-03	9.385257e-03
4.300000e+01	4.520000e+01	1.135782e-02	1.040045e-02	1.040045e-02
4.520000e+01	4.740000e+01	9.611974e-03	1.019236e-02	1.019236e-02
4.740000e+01	4.960000e+01	1.081777e-02	8.753849e-03	8.753849e-03
4.960000e+01	5.180000e+01	9.358679e-03	1.024129e-02	1.024129e-02
5.180000e+01	5.400000e+01	8.170050e-03	9.961504e-03	9.961504e-03
5.400000e+01	5.620000e+01	8.746868e-03	1.062071e-02	1.062071e-02
5.620000e+01	5.840000e+01	7.158415e-03	1.061581e-02	1.061581e-02
5.840000e+01	6.060000e+01	8.346925e-03	9.443323e-03	9.443323e-03
6.060000e+01	6.280000e+01	7.943067e-03	1.112291e-02	1.112291e-02
6.280000e+01	6.500000e+01	7.856119e-03	1.051724e-02	1.051724e-02
6.500000e+01	6.720000e+01	7.401562e-03	8.806648e-03	8.806648e-03
6.720000e+01	6.940000e+01	7.351685e-03	1.090605e-02	1.090605e-02
6.940000e+01	7.160000e+01	6.852778e-03	1.284898e-02	1.284898e-02
7.160000e+01	7.380000e+01	6.853327e-03	9.648011e-03	9.648011e-03
7.380000e+01	7.600000e+01	6.211972e-03	1.179475e-02	1.179475e-02
7.600000e+01	7.820000e+01	6.333688e-03	1.235901e-02	1.235901e-02
7.820000e+01	8.040000e+01	7.093049e-03	1.088801e-02	1.088801e-02
8.040000e+01	8.260000e+01	6.559572e-03	1.193952e-02	1.193952e-02
8.260000e+01	8.480000e+01	6.459087e-03	1.123849e-02	1.123849e-02
8.480000e+01	8.700000e+01	5.207803e-03	1.225209e-02	1.225209e-02
8.700000e+01	8.920000e+01	6.276515e-03	1.200287e-02	1.200287e-02
8.920000e+01	9.140000e+01	5.675398e-03	9.907923e-03	9.907923e-03
9.140000e+01	9.360000e+01	5.999058e-03	9.950352e-03	9.950352e-03
9.360000e+01	9.580000e+01	4.288259e-03	1.047294e-02	1.047294e-02
9.580000e+01	9.800000e+01	6.447036e-03	1.169908e-02	1.169908e-02
9.800000e+01	1.002000e+02	4.368735e-03	1.156848e-02	1.156848e-02
1.002000e+02	1.024000e+02	4.743826e-03	1.132245e-02	1.132245e-02
1.024000e+02	1.046000e+02	4.391111e-03	1.134827e-02	1.134827e-02
1.046000e+02	1.068000e+02	4.028867e-03	1.174096e-02	1.174096e-02
1.068000e+02	1.090000e+02	5.561261e-03	1.008665e-02	1.008665e-02
1.090000e+02	1.112000e+02	3.852266e-03	1.029917e-02	1.029917e-02
1.112000e+02	1.134000e+02	5.201493e-03	1.005242e-02	1.005242e-02
1.134000e+02	1.156000e+02	4.108971e-03	1.326042e-02	1.326042e-02
1.156000e+02	1.178000e+02	3.687899e-03	1.138724e-02	1.138724e-02
1.178000e+02	1.200000e+02	3.357741e-03	1.270788e-02	1.270788e-02
# END HISTO1D

