# BEGIN PLOT
Legend=1
LogY=1
Title=Phase-space weighted $\Delta{R}$ between photons and associated leptons
XLabel=Lepton $p_\perp$ [GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.834127e-01	1.694964e-02	1.694964e-02
1.220000e+01	1.440000e+01	2.468000e-01	1.553374e-02	1.553374e-02
1.440000e+01	1.660000e+01	2.084401e-01	1.413175e-02	1.413175e-02
1.660000e+01	1.880000e+01	1.922312e-01	1.343575e-02	1.343575e-02
1.880000e+01	2.100000e+01	1.705465e-01	1.283995e-02	1.283995e-02
2.100000e+01	2.320000e+01	1.591483e-01	1.175344e-02	1.175344e-02
2.320000e+01	2.540000e+01	1.431711e-01	1.137973e-02	1.137973e-02
2.540000e+01	2.760000e+01	1.337240e-01	1.072075e-02	1.072075e-02
2.760000e+01	2.980000e+01	1.238794e-01	1.065929e-02	1.065929e-02
2.980000e+01	3.200000e+01	1.164318e-01	1.000395e-02	1.000395e-02
3.200000e+01	3.420000e+01	1.174371e-01	1.021097e-02	1.021097e-02
3.420000e+01	3.640000e+01	1.085428e-01	9.894868e-03	9.894868e-03
3.640000e+01	3.860000e+01	1.022628e-01	9.663804e-03	9.663804e-03
3.860000e+01	4.080000e+01	9.651487e-02	9.637286e-03	9.637286e-03
4.080000e+01	4.300000e+01	9.414758e-02	9.442064e-03	9.442064e-03
4.300000e+01	4.520000e+01	9.159037e-02	9.712337e-03	9.712337e-03
4.520000e+01	4.740000e+01	8.950918e-02	9.526531e-03	9.526531e-03
4.740000e+01	4.960000e+01	8.588884e-02	9.391446e-03	9.391446e-03
4.960000e+01	5.180000e+01	8.542171e-02	9.751503e-03	9.751503e-03
5.180000e+01	5.400000e+01	8.060517e-02	9.586077e-03	9.586077e-03
5.400000e+01	5.620000e+01	7.896653e-02	9.515501e-03	9.515501e-03
5.620000e+01	5.840000e+01	7.602668e-02	9.617092e-03	9.617092e-03
5.840000e+01	6.060000e+01	7.592833e-02	9.588839e-03	9.588839e-03
6.060000e+01	6.280000e+01	7.501546e-02	9.938241e-03	9.938241e-03
6.280000e+01	6.500000e+01	7.034062e-02	9.890608e-03	9.890608e-03
6.500000e+01	6.720000e+01	7.044815e-02	1.003986e-02	1.003986e-02
6.720000e+01	6.940000e+01	6.942029e-02	1.011418e-02	1.011418e-02
6.940000e+01	7.160000e+01	6.833980e-02	1.024963e-02	1.024963e-02
7.160000e+01	7.380000e+01	6.545759e-02	1.026952e-02	1.026952e-02
7.380000e+01	7.600000e+01	6.612078e-02	1.053458e-02	1.053458e-02
7.600000e+01	7.820000e+01	6.301393e-02	1.029969e-02	1.029969e-02
7.820000e+01	8.040000e+01	6.293778e-02	1.064175e-02	1.064175e-02
8.040000e+01	8.260000e+01	6.009477e-02	1.066588e-02	1.066588e-02
8.260000e+01	8.480000e+01	6.092466e-02	1.104694e-02	1.104694e-02
8.480000e+01	8.700000e+01	6.358623e-02	1.154900e-02	1.154900e-02
8.700000e+01	8.920000e+01	5.742223e-02	1.090888e-02	1.090888e-02
8.920000e+01	9.140000e+01	5.794223e-02	1.115984e-02	1.115984e-02
9.140000e+01	9.360000e+01	5.631137e-02	1.145196e-02	1.145196e-02
9.360000e+01	9.580000e+01	5.774254e-02	1.207934e-02	1.207934e-02
9.580000e+01	9.800000e+01	5.441074e-02	1.153032e-02	1.153032e-02
9.800000e+01	1.002000e+02	5.392355e-02	1.168113e-02	1.168113e-02
1.002000e+02	1.024000e+02	5.219622e-02	1.181890e-02	1.181890e-02
1.024000e+02	1.046000e+02	5.100176e-02	1.199406e-02	1.199406e-02
1.046000e+02	1.068000e+02	5.173358e-02	1.214367e-02	1.214367e-02
1.068000e+02	1.090000e+02	4.728861e-02	1.169857e-02	1.169857e-02
1.090000e+02	1.112000e+02	5.298711e-02	1.298510e-02	1.298510e-02
1.112000e+02	1.134000e+02	4.975022e-02	1.283371e-02	1.283371e-02
1.134000e+02	1.156000e+02	4.867473e-02	1.278513e-02	1.278513e-02
1.156000e+02	1.178000e+02	4.994299e-02	1.359471e-02	1.359471e-02
1.178000e+02	1.200000e+02	5.012147e-02	1.376939e-02	1.376939e-02
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_R_vs_pTlep
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.791305e-01	1.648494e-02	1.648494e-02
1.220000e+01	1.440000e+01	2.413904e-01	1.562828e-02	1.562828e-02
1.440000e+01	1.660000e+01	2.166106e-01	1.451222e-02	1.451222e-02
1.660000e+01	1.880000e+01	1.842226e-01	1.303556e-02	1.303556e-02
1.880000e+01	2.100000e+01	1.683239e-01	1.212381e-02	1.212381e-02
2.100000e+01	2.320000e+01	1.511670e-01	1.161428e-02	1.161428e-02
2.320000e+01	2.540000e+01	1.411860e-01	1.125206e-02	1.125206e-02
2.540000e+01	2.760000e+01	1.372321e-01	1.099001e-02	1.099001e-02
2.760000e+01	2.980000e+01	1.217679e-01	1.051362e-02	1.051362e-02
2.980000e+01	3.200000e+01	1.194329e-01	1.018957e-02	1.018957e-02
3.200000e+01	3.420000e+01	1.109644e-01	9.901029e-03	9.901029e-03
3.420000e+01	3.640000e+01	1.051700e-01	9.754147e-03	9.754147e-03
3.640000e+01	3.860000e+01	1.019916e-01	9.554724e-03	9.554724e-03
3.860000e+01	4.080000e+01	9.458249e-02	9.316208e-03	9.316208e-03
4.080000e+01	4.300000e+01	9.474560e-02	9.626894e-03	9.626894e-03
4.300000e+01	4.520000e+01	8.809931e-02	9.229939e-03	9.229939e-03
4.520000e+01	4.740000e+01	8.869562e-02	9.519960e-03	9.519960e-03
4.740000e+01	4.960000e+01	8.542459e-02	9.339894e-03	9.339894e-03
4.960000e+01	5.180000e+01	8.404985e-02	9.485206e-03	9.485206e-03
5.180000e+01	5.400000e+01	8.022606e-02	9.634392e-03	9.634392e-03
