# BEGIN PLOT
Legend=1
LogY=1
Title=$p_\perp$-weighted $\Delta{R}$ between photons and associated leptons
XLabel=$\Delta{R}$
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_ptweighted
ScaledBy=6.84361283902830260e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-02	7.244747e-01	2.738525e-03	2.738525e-03
4.000000e-02	8.000000e-02	1.384551e-01	1.037547e-03	1.037547e-03
8.000000e-02	1.200000e-01	9.767730e-02	8.541677e-04	8.541677e-04
1.200000e-01	1.600000e-01	9.130930e-02	7.710349e-04	7.710349e-04
1.600000e-01	2.000000e-01	9.363975e-02	7.928371e-04	7.928371e-04
2.000000e-01	2.400000e-01	1.017050e-01	7.875991e-04	7.875991e-04
2.400000e-01	2.800000e-01	1.102583e-01	7.911827e-04	7.911827e-04
2.800000e-01	3.200000e-01	1.197053e-01	8.165059e-04	8.165059e-04
3.200000e-01	3.600000e-01	1.294973e-01	8.150928e-04	8.150928e-04
3.600000e-01	4.000000e-01	1.397828e-01	8.396893e-04	8.396893e-04
4.000000e-01	4.400000e-01	1.497660e-01	8.226569e-04	8.226569e-04
4.400000e-01	4.800000e-01	1.622845e-01	8.631831e-04	8.631831e-04
4.800000e-01	5.200000e-01	1.702775e-01	8.637158e-04	8.637158e-04
5.200000e-01	5.600000e-01	1.816884e-01	8.831393e-04	8.831393e-04
5.600000e-01	6.000000e-01	1.911925e-01	9.162311e-04	9.162311e-04
6.000000e-01	6.400000e-01	1.988252e-01	9.064222e-04	9.064222e-04
6.400000e-01	6.800000e-01	2.087766e-01	9.320602e-04	9.320602e-04
6.800000e-01	7.200000e-01	2.167809e-01	9.274939e-04	9.274939e-04
7.200000e-01	7.600000e-01	2.267886e-01	9.647688e-04	9.647688e-04
7.600000e-01	8.000000e-01	2.350582e-01	9.727548e-04	9.727548e-04
8.000000e-01	8.400000e-01	2.404370e-01	9.633996e-04	9.633996e-04
8.400000e-01	8.800000e-01	2.479286e-01	1.020462e-03	1.020462e-03
8.800000e-01	9.200000e-01	2.546207e-01	1.007977e-03	1.007977e-03
9.200000e-01	9.600000e-01	2.603003e-01	1.008123e-03	1.008123e-03
9.600000e-01	1.000000e+00	2.651387e-01	9.827048e-04	9.827048e-04
1.000000e+00	1.040000e+00	2.724160e-01	1.007440e-03	1.007440e-03
1.040000e+00	1.080000e+00	2.770545e-01	1.027619e-03	1.027619e-03
1.080000e+00	1.120000e+00	2.795082e-01	1.011915e-03	1.011915e-03
1.120000e+00	1.160000e+00	2.855175e-01	1.032473e-03	1.032473e-03
1.160000e+00	1.200000e+00	2.897045e-01	1.030703e-03	1.030703e-03
1.200000e+00	1.240000e+00	2.959555e-01	1.047336e-03	1.047336e-03
1.240000e+00	1.280000e+00	2.984610e-01	1.046582e-03	1.046582e-03
1.280000e+00	1.320000e+00	3.041810e-01	1.072253e-03	1.072253e-03
1.320000e+00	1.360000e+00	3.062475e-01	1.072031e-03	1.072031e-03
1.360000e+00	1.400000e+00	3.100025e-01	1.075171e-03	1.075171e-03
1.400000e+00	1.440000e+00	3.127875e-01	1.085563e-03	1.085563e-03
1.440000e+00	1.480000e+00	3.145142e-01	1.091347e-03	1.091347e-03
1.480000e+00	1.520000e+00	3.150935e-01	1.085776e-03	1.085776e-03
1.520000e+00	1.560000e+00	3.161602e-01	1.084298e-03	1.084298e-03
1.560000e+00	1.600000e+00	3.184625e-01	1.094177e-03	1.094177e-03
1.600000e+00	1.640000e+00	3.191920e-01	1.095899e-03	1.095899e-03
1.640000e+00	1.680000e+00	3.230072e-01	1.100268e-03	1.100268e-03
1.680000e+00	1.720000e+00	3.231477e-01	1.102764e-03	1.102764e-03
1.720000e+00	1.760000e+00	3.229355e-01	1.113848e-03	1.113848e-03
1.760000e+00	1.800000e+00	3.225560e-01	1.092511e-03	1.092511e-03
1.800000e+00	1.840000e+00	3.215617e-01	1.118309e-03	1.118309e-03
