# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta{R}_{\gamma\ell}$ vs. lepton $p_\perp$
XLabel=Lepton $p_\perp$ [GeV]
YLabel=$\langle\Delta{R}_{\gamma\ell}\rangle$
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.421986e+00	6.351381e-04	6.351381e-04
1.220000e+01	1.440000e+01	2.410919e+00	6.272312e-04	6.272312e-04
1.440000e+01	1.660000e+01	2.406566e+00	6.241557e-04	6.241557e-04
1.660000e+01	1.880000e+01	2.402919e+00	6.195816e-04	6.195816e-04
1.880000e+01	2.100000e+01	2.396922e+00	6.184560e-04	6.184560e-04
2.100000e+01	2.320000e+01	2.395156e+00	6.199592e-04	6.199592e-04
2.320000e+01	2.540000e+01	2.393309e+00	6.209283e-04	6.209283e-04
2.540000e+01	2.760000e+01	2.392689e+00	6.228580e-04	6.228580e-04
2.760000e+01	2.980000e+01	2.390896e+00	6.258326e-04	6.258326e-04
2.980000e+01	3.200000e+01	2.384582e+00	6.320845e-04	6.320845e-04
3.200000e+01	3.420000e+01	2.390566e+00	6.375418e-04	6.375418e-04
3.420000e+01	3.640000e+01	2.389911e+00	6.465234e-04	6.465234e-04
3.640000e+01	3.860000e+01	2.390065e+00	6.595528e-04	6.595528e-04
3.860000e+01	4.080000e+01	2.387989e+00	6.668034e-04	6.668034e-04
4.080000e+01	4.300000e+01	2.395236e+00	6.798110e-04	6.798110e-04
4.300000e+01	4.520000e+01	2.397625e+00	6.905868e-04	6.905868e-04
4.520000e+01	4.740000e+01	2.390220e+00	7.036536e-04	7.036536e-04
4.740000e+01	4.960000e+01	2.394628e+00	7.150707e-04	7.150707e-04
4.960000e+01	5.180000e+01	2.395597e+00	7.340961e-04	7.340961e-04
5.180000e+01	5.400000e+01	2.401792e+00	7.493686e-04	7.493686e-04
5.400000e+01	5.620000e+01	2.400527e+00	7.626169e-04	7.626169e-04
5.620000e+01	5.840000e+01	2.403835e+00	7.792461e-04	7.792461e-04
5.840000e+01	6.060000e+01	2.395880e+00	7.933876e-04	7.933876e-04
6.060000e+01	6.280000e+01	2.404639e+00	8.163179e-04	8.163179e-04
6.280000e+01	6.500000e+01	2.407567e+00	8.343566e-04	8.343566e-04
6.500000e+01	6.720000e+01	2.409794e+00	8.489983e-04	8.489983e-04
6.720000e+01	6.940000e+01	2.408951e+00	8.726531e-04	8.726531e-04
6.940000e+01	7.160000e+01	2.414462e+00	8.944395e-04	8.944395e-04
7.160000e+01	7.380000e+01	2.419463e+00	9.135058e-04	9.135058e-04
7.380000e+01	7.600000e+01	2.425730e+00	9.328004e-04	9.328004e-04
7.600000e+01	7.820000e+01	2.426865e+00	9.578800e-04	9.578800e-04
7.820000e+01	8.040000e+01	2.428974e+00	9.716092e-04	9.716092e-04
8.040000e+01	8.260000e+01	2.430983e+00	1.002844e-03	1.002844e-03
8.260000e+01	8.480000e+01	2.434191e+00	1.020287e-03	1.020287e-03
8.480000e+01	8.700000e+01	2.434752e+00	1.047522e-03	1.047522e-03
8.700000e+01	8.920000e+01	2.431040e+00	1.068278e-03	1.068278e-03
8.920000e+01	9.140000e+01	2.442991e+00	1.084394e-03	1.084394e-03
9.140000e+01	9.360000e+01	2.435200e+00	1.110954e-03	1.110954e-03
9.360000e+01	9.580000e+01	2.441131e+00	1.140544e-03	1.140544e-03
9.580000e+01	9.800000e+01	2.448229e+00	1.164223e-03	1.164223e-03
9.800000e+01	1.002000e+02	2.446082e+00	1.179041e-03	1.179041e-03
1.002000e+02	1.024000e+02	2.447155e+00	1.207502e-03	1.207502e-03
1.024000e+02	1.046000e+02	2.458818e+00	1.244224e-03	1.244224e-03
1.046000e+02	1.068000e+02	2.462172e+00	1.272000e-03	1.272000e-03
1.068000e+02	1.090000e+02	2.459087e+00	1.300070e-03	1.300070e-03
1.090000e+02	1.112000e+02	2.463022e+00	1.316413e-03	1.316413e-03
1.112000e+02	1.134000e+02	2.461974e+00	1.348997e-03	1.348997e-03
1.134000e+02	1.156000e+02	2.464402e+00	1.373512e-03	1.373512e-03
1.156000e+02	1.178000e+02	2.468027e+00	1.411452e-03	1.411452e-03
1.178000e+02	1.200000e+02	2.466284e+00	1.440825e-03	1.440825e-03
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.412818e+00	6.342437e-04	6.342437e-04
1.220000e+01	1.440000e+01	2.418028e+00	6.282198e-04	6.282198e-04
1.440000e+01	1.660000e+01	2.410025e+00	6.264520e-04	6.264520e-04
1.660000e+01	1.880000e+01	2.402378e+00	6.201565e-04	6.201565e-04
1.880000e+01	2.100000e+01	2.395725e+00	6.184354e-04	6.184354e-04
2.100000e+01	2.320000e+01	2.391618e+00	6.129018e-04	6.129018e-04
2.320000e+01	2.540000e+01	2.390632e+00	6.191062e-04	6.191062e-04
2.540000e+01	2.760000e+01	2.385791e+00	6.226570e-04	6.226570e-04
2.760000e+01	2.980000e+01	2.392429e+00	6.289413e-04	6.289413e-04
2.980000e+01	3.200000e+01	2.390764e+00	6.295351e-04	6.295351e-04
3.200000e+01	3.420000e+01	2.390082e+00	6.372059e-04	6.372059e-04
3.420000e+01	3.640000e+01	2.389621e+00	6.474079e-04	6.474079e-04
3.640000e+01	3.860000e+01	2.383054e+00	6.555596e-04	6.555596e-04
3.860000e+01	4.080000e+01	2.385126e+00	6.655353e-04	6.655353e-04
4.080000e+01	4.300000e+01	2.391217e+00	6.780656e-04	6.780656e-04
4.300000e+01	4.520000e+01	2.391873e+00	6.890261e-04	6.890261e-04
4.520000e+01	4.740000e+01	2.389312e+00	7.026784e-04	7.026784e-04
4.740000e+01	4.960000e+01	2.395175e+00	7.155457e-04	7.155457e-04
4.960000e+01	5.180000e+01	2.394991e+00	7.318549e-04	7.318549e-04
5.180000e+01	5.400000e+01	2.395282e+00	7.485652e-04	7.485652e-04
5.400000e+01	5.620000e+01	2.404014e+00	7.624144e-04	7.624144e-04
5.620000e+01	5.840000e+01	2.397432e+00	7.745541e-04	7.745541e-04
5.840000e+01	6.060000e+01	2.402538e+00	7.956795e-04	7.956795e-04
6.060000e+01	6.280000e+01	2.410339e+00	8.150052e-04	8.150052e-04
6.280000e+01	6.500000e+01	2.403756e+00	8.313296e-04	8.313296e-04
6.500000e+01	6.720000e+01	2.410246e+00	8.559434e-04	8.559434e-04
6.720000e+01	6.940000e+01	2.417011e+00	8.753380e-04	8.753380e-04
6.940000e+01	7.160000e+01	2.416561e+00	8.921777e-04	8.921777e-04
7.160000e+01	7.380000e+01	2.414402e+00	9.119253e-04	9.119253e-04
7.380000e+01	7.600000e+01	2.418889e+00	9.361463e-04	9.361463e-04
7.600000e+01	7.820000e+01	2.422387e+00	9.544232e-04	9.544232e-04
7.820000e+01	8.040000e+01	2.422634e+00	9.825456e-04	9.825456e-04
8.040000e+01	8.260000e+01	2.431956e+00	9.991119e-04	9.991119e-04
8.260000e+01	8.480000e+01	2.437114e+00	1.023302e-03	1.023302e-03
8.480000e+01	8.700000e+01	2.435128e+00	1.042899e-03	1.042899e-03
8.700000e+01	8.920000e+01	2.429989e+00	1.072284e-03	1.072284e-03
8.920000e+01	9.140000e+01	2.447284e+00	1.094735e-03	1.094735e-03
9.140000e+01	9.360000e+01	2.441688e+00	1.114061e-03	1.114061e-03
9.360000e+01	9.580000e+01	2.451298e+00	1.139896e-03	1.139896e-03
9.580000e+01	9.800000e+01	2.440600e+00	1.163513e-03	1.163513e-03
9.800000e+01	1.002000e+02	2.441438e+00	1.202232e-03	1.202232e-03
1.002000e+02	1.024000e+02	2.453785e+00	1.220362e-03	1.220362e-03
1.024000e+02	1.046000e+02	2.454392e+00	1.250291e-03	1.250291e-03
1.046000e+02	1.068000e+02	2.453319e+00	1.269371e-03	1.269371e-03
1.068000e+02	1.090000e+02	2.455180e+00	1.291065e-03	1.291065e-03
1.090000e+02	1.112000e+02	2.456294e+00	1.322579e-03	1.322579e-03
1.112000e+02	1.134000e+02	2.465476e+00	1.353749e-03	1.353749e-03
1.134000e+02	1.156000e+02	2.469128e+00	1.378872e-03	1.378872e-03
1.156000e+02	1.178000e+02	2.467750e+00	1.411163e-03	1.411163e-03
1.178000e+02	1.200000e+02	2.468092e+00	1.437780e-03	1.437780e-03
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/DeltaR_vs_pTlep
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	2.414960e+00	6.405142e-04	6.405142e-04
1.220000e+01	1.440000e+01	2.414627e+00	6.339333e-04	6.339333e-04
1.440000e+01	1.660000e+01	2.403340e+00	6.314197e-04	6.314197e-04
1.660000e+01	1.880000e+01	2.394661e+00	6.284563e-04	6.284563e-04
1.880000e+01	2.100000e+01	2.395712e+00	6.240609e-04	6.240609e-04
2.100000e+01	2.320000e+01	2.392124e+00	6.211061e-04	6.211061e-04
2.320000e+01	2.540000e+01	2.389103e+00	6.222754e-04	6.222754e-04
2.540000e+01	2.760000e+01	2.391375e+00	6.280917e-04	6.280917e-04
2.760000e+01	2.980000e+01	2.391042e+00	6.329989e-04	6.329989e-04
2.980000e+01	3.200000e+01	2.390254e+00	6.386415e-04	6.386415e-04
3.200000e+01	3.420000e+01	2.386243e+00	6.436575e-04	6.436575e-04
3.420000e+01	3.640000e+01	2.386307e+00	6.509542e-04	6.509542e-04
3.640000e+01	3.860000e+01	2.388656e+00	6.629532e-04	6.629532e-04
3.860000e+01	4.080000e+01	2.387692e+00	6.714752e-04	6.714752e-04
4.080000e+01	4.300000e+01	2.393028e+00	6.845413e-04	6.845413e-04
4.300000e+01	4.520000e+01	2.391600e+00	6.982771e-04	6.982771e-04
4.520000e+01	4.740000e+01	2.392931e+00	7.091100e-04	7.091100e-04
4.740000e+01	4.960000e+01	2.391529e+00	7.233318e-04	7.233318e-04
4.960000e+01	5.180000e+01	2.394128e+00	7.389216e-04	7.389216e-04
5.180000e+01	5.400000e+01	2.395234e+00	7.525910e-04	7.525910e-04
5.400000e+01	5.620000e+01	2.401702e+00	7.707942e-04	7.707942e-04
5.620000e+01	5.840000e+01	2.403505e+00	7.859198e-04	7.859198e-04
5.840000e+01	6.060000e+01	2.404808e+00	8.039797e-04	8.039797e-04
