# BEGIN PLOT
Legend=1
LogY=1
Title=Photon energy
XLabel=$E_\gamma$ [GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Egamma
ScaledBy=5.71460739769985554e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	1.219047e-02	5.082717e-01	1.151523e-03	1.151523e-03
1.219047e-02	1.486077e-02	5.700247e-01	1.104486e-03	1.104486e-03
1.486077e-02	1.811598e-02	6.359430e-01	1.056605e-03	1.056605e-03
1.811598e-02	2.208424e-02	7.037276e-01	1.006689e-03	1.006689e-03
2.208424e-02	2.692173e-02	7.678110e-01	9.523801e-04	9.523801e-04
2.692173e-02	3.281887e-02	8.278542e-01	8.956728e-04	8.956728e-04
3.281887e-02	4.000776e-02	8.750597e-01	8.340290e-04	8.340290e-04
4.000776e-02	4.877135e-02	9.155537e-01	7.726701e-04	7.726701e-04
4.877135e-02	5.945459e-02	9.410001e-01	7.094739e-04	7.094739e-04
5.945459e-02	7.247797e-02	9.523657e-01	6.464474e-04	6.464474e-04
7.247797e-02	8.835408e-02	9.447629e-01	5.831530e-04	5.831530e-04
8.835408e-02	1.077078e-01	9.236312e-01	5.222281e-04	5.222281e-04
1.077078e-01	1.313009e-01	8.877718e-01	4.637152e-04	4.637152e-04
1.313009e-01	1.600621e-01	8.376984e-01	4.079749e-04	4.079749e-04
1.600621e-01	1.951232e-01	7.783795e-01	3.561854e-04	3.561854e-04
1.951232e-01	2.378645e-01	7.099953e-01	3.081038e-04	3.081038e-04
2.378645e-01	2.899681e-01	6.366731e-01	2.642516e-04	2.642516e-04
2.899681e-01	3.534848e-01	5.606022e-01	2.245828e-04	2.245828e-04
3.534848e-01	4.309148e-01	4.848898e-01	1.891734e-04	1.891734e-04
4.309148e-01	5.253056e-01	4.123943e-01	1.580100e-04	1.580100e-04
5.253056e-01	6.403724e-01	3.458988e-01	1.310668e-04	1.310668e-04
6.403724e-01	7.806443e-01	2.865397e-01	1.080439e-04	1.080439e-04
7.806443e-01	9.516424e-01	2.356678e-01	8.874577e-05	8.874577e-05
9.516424e-01	1.160097e+00	1.923259e-01	7.261166e-05	7.261166e-05
1.160097e+00	1.414214e+00	1.563333e-01	5.929283e-05	5.929283e-05
1.414214e+00	1.723993e+00	1.264874e-01	4.830487e-05	4.830487e-05
1.723993e+00	2.101630e+00	1.018216e-01	3.925327e-05	3.925327e-05
2.101630e+00	2.561986e+00	8.151209e-02	3.180953e-05	3.180953e-05
2.561986e+00	3.123183e+00	6.484270e-02	2.569603e-05	2.569603e-05
3.123183e+00	3.807308e+00	5.124125e-02	2.068880e-05	2.068880e-05
3.807308e+00	4.641289e+00	4.017908e-02	1.659263e-05	1.659263e-05
4.641289e+00	5.657951e+00	3.119695e-02	1.324222e-05	1.324222e-05
5.657951e+00	6.897311e+00	2.397466e-02	1.051407e-05	1.051407e-05
6.897311e+00	8.408149e+00	1.818965e-02	8.294618e-06	8.294618e-06
8.408149e+00	1.024993e+01	1.360530e-02	6.497232e-06	6.497232e-06
1.024993e+01	1.249515e+01	1.001536e-02	5.048903e-06	5.048903e-06
1.249515e+01	1.523218e+01	7.226907e-03	3.884451e-06	3.884451e-06
1.523218e+01	1.856876e+01	5.125695e-03	2.962913e-06	2.962913e-06
1.856876e+01	2.263619e+01	3.548201e-03	2.232736e-06	2.232736e-06
2.263619e+01	2.759459e+01	2.403737e-03	1.664431e-06	1.664431e-06
2.759459e+01	3.363912e+01	1.591700e-03	1.226712e-06	1.226712e-06
3.363912e+01	4.100768e+01	1.032312e-03	8.947615e-07	8.947615e-07
4.100768e+01	4.999031e+01	6.592752e-04	6.476268e-07	6.476268e-07
4.999031e+01	6.094055e+01	4.141392e-04	4.648947e-07	4.648947e-07
6.094055e+01	7.428942e+01	2.577053e-04	3.321487e-07	3.321487e-07
7.428942e+01	9.056233e+01	1.591868e-04	2.364362e-07	2.364362e-07
9.056233e+01	1.103998e+02	9.811911e-05	1.681229e-07	1.681229e-07
1.103998e+02	1.345826e+02	5.992553e-05	1.189997e-07	1.189997e-07
1.345826e+02	1.640625e+02	3.687099e-05	8.454199e-08	8.454199e-08
1.640625e+02	2.000000e+02	2.248474e-05	5.979478e-08	5.979478e-08
# END HISTO1D


