# BEGIN PLOT
Legend=1
LogY=1
Title=Photon $p_\perp$
XLabel=$p_\perp^\gamma$ [GeV]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/Ptgamma
ScaledBy=5.71460739769985554e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	1.173660e-02	1.958077e+00	2.538389e-03	2.538389e-03
1.173660e-02	1.377479e-02	2.172414e+00	2.467983e-03	2.467983e-03
1.377479e-02	1.616692e-02	2.387838e+00	2.388379e-03	2.388379e-03
1.616692e-02	1.897447e-02	2.584141e+00	2.293441e-03	2.293441e-03
1.897447e-02	2.226959e-02	2.765265e+00	2.189908e-03	2.189908e-03
2.226959e-02	2.613693e-02	2.917781e+00	2.076411e-03	2.076411e-03
2.613693e-02	3.067588e-02	3.044325e+00	1.957767e-03	1.957767e-03
3.067588e-02	3.600306e-02	3.128087e+00	1.831825e-03	1.831825e-03
3.600306e-02	4.225536e-02	3.180270e+00	1.704925e-03	1.704925e-03
4.225536e-02	4.959344e-02	3.193537e+00	1.577023e-03	1.577023e-03
4.959344e-02	5.820586e-02	3.158969e+00	1.447782e-03	1.447782e-03
5.820586e-02	6.831390e-02	3.081999e+00	1.320006e-03	1.320006e-03
6.831390e-02	8.017732e-02	2.962330e+00	1.194552e-03	1.194552e-03
8.017732e-02	9.410094e-02	2.801302e+00	1.072253e-03	1.072253e-03
9.410094e-02	1.104425e-01	2.614583e+00	9.561976e-04	9.561976e-04
1.104425e-01	1.296220e-01	2.402697e+00	8.461045e-04	8.461045e-04
1.296220e-01	1.521322e-01	2.176531e+00	7.433373e-04	7.433373e-04
1.521322e-01	1.785516e-01	1.939013e+00	6.476227e-04	6.476227e-04
1.785516e-01	2.095589e-01	1.696006e+00	5.590813e-04	5.590813e-04
2.095589e-01	2.459509e-01	1.454477e+00	4.779073e-04	4.779073e-04
2.459509e-01	2.886629e-01	1.218929e+00	4.038383e-04	4.038383e-04
