# BEGIN PLOT
Legend=1
LogY=1
Title=Sum of photon energies
XLabel=$\sum{E_\gamma}$ [GeV]
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\sum{E_\gamma}$ [GeV$^{-1}$]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumEgamma
ScaledBy=9.76562500000000020e-07
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.440000e+01	4.936667e-06	2.976922e-07	2.976922e-07
5.440000e+01	1.088000e+02	3.376680e-05	7.785661e-07	7.785661e-07
1.088000e+02	1.632000e+02	9.112189e-05	1.278975e-06	1.278975e-06
1.632000e+02	2.176000e+02	1.688161e-04	1.740834e-06	1.740834e-06
2.176000e+02	2.720000e+02	2.509801e-04	2.122610e-06	2.122610e-06
2.720000e+02	3.264000e+02	3.380631e-04	2.463482e-06	2.463482e-06
3.264000e+02	3.808000e+02	4.147699e-04	2.728690e-06	2.728690e-06
3.808000e+02	4.352000e+02	4.968800e-04	2.986595e-06	2.986595e-06
4.352000e+02	4.896000e+02	5.748614e-04	3.212419e-06	3.212419e-06
4.896000e+02	5.440000e+02	6.429695e-04	3.397393e-06	3.397393e-06
5.440000e+02	5.984000e+02	7.022274e-04	3.550499e-06	3.550499e-06
5.984000e+02	6.528000e+02	7.532994e-04	3.677345e-06	3.677345e-06
6.528000e+02	7.072000e+02	7.985373e-04	3.786153e-06	3.786153e-06
7.072000e+02	7.616000e+02	8.272956e-04	3.853727e-06	3.853727e-06
7.616000e+02	8.160000e+02	8.545101e-04	3.916600e-06	3.916600e-06
8.160000e+02	8.704000e+02	8.693561e-04	3.950476e-06	3.950476e-06
8.704000e+02	9.248000e+02	8.710614e-04	3.954349e-06	3.954349e-06
9.248000e+02	9.792000e+02	8.611702e-04	3.931833e-06	3.931833e-06
9.792000e+02	1.033600e+03	8.283189e-04	3.856109e-06	3.856109e-06
1.033600e+03	1.088000e+03	7.965088e-04	3.781341e-06	3.781341e-06
1.088000e+03	1.142400e+03	7.625625e-04	3.699885e-06	3.699885e-06
1.142400e+03	1.196800e+03	7.075949e-04	3.564043e-06	3.564043e-06
1.196800e+03	1.251200e+03	6.476728e-04	3.409796e-06	3.409796e-06
1.251200e+03	1.305600e+03	5.989702e-04	3.279089e-06	3.279089e-06
1.305600e+03	1.360000e+03	5.454029e-04	3.129027e-06	3.129027e-06
1.360000e+03	1.414400e+03	4.898250e-04	2.965317e-06	2.965317e-06
1.414400e+03	1.468800e+03	4.323801e-04	2.786015e-06	2.786015e-06
1.468800e+03	1.523200e+03	3.857243e-04	2.631413e-06	2.631413e-06
1.523200e+03	1.577600e+03	3.435202e-04	2.483286e-06	2.483286e-06
1.577600e+03	1.632000e+03	3.013700e-04	2.325951e-06	2.325951e-06
1.632000e+03	1.686400e+03	2.625768e-04	2.171094e-06	2.171094e-06
1.686400e+03	1.740800e+03	2.276971e-04	2.021759e-06	2.021759e-06
1.740800e+03	1.795200e+03	1.988489e-04	1.889349e-06	1.889349e-06
1.795200e+03	1.849600e+03	1.730526e-04	1.762543e-06	1.762543e-06
1.849600e+03	1.904000e+03	1.509004e-04	1.645871e-06	1.645871e-06
1.904000e+03	1.958400e+03	1.282995e-04	1.517620e-06	1.517620e-06
1.958400e+03	2.012800e+03	1.122688e-04	1.419646e-06	1.419646e-06
2.012800e+03	2.067200e+03	9.745879e-05	1.322699e-06	1.322699e-06
2.067200e+03	2.121600e+03	8.275649e-05	1.218854e-06	1.218854e-06
2.121600e+03	2.176000e+03	7.399616e-05	1.152538e-06	1.152538e-06
2.176000e+03	2.230400e+03	6.302778e-05	1.063694e-06	1.063694e-06
2.230400e+03	2.284800e+03	5.599077e-05	1.002556e-06	1.002556e-06
2.284800e+03	2.339200e+03	4.721248e-05	9.206170e-07	9.206170e-07
2.339200e+03	2.393600e+03	4.058838e-05	8.535942e-07	8.535942e-07
2.393600e+03	2.448000e+03	3.565171e-05	8.000014e-07	8.000014e-07
2.448000e+03	2.502400e+03	3.051757e-05	7.401599e-07	7.401599e-07
2.502400e+03	2.556800e+03	2.615537e-05	6.852213e-07	6.852213e-07
