# BEGIN PLOT
Legend=1
LogY=1
XLabel=Lepton $p_\perp$ [GeV]
Title=Scalar $\sum{p_\perp}^\gamma$ vs. associated lepton $p_\perp$
YLabel=$\langle\sum{p_\perp}^\gamma\rangle$ [GeV]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	6.125556e+01	2.501485e-01	2.501485e-01
1.220000e+01	1.440000e+01	5.890400e+01	2.348897e-01	2.348897e-01
1.440000e+01	1.660000e+01	5.717525e+01	2.284396e-01	2.284396e-01
1.660000e+01	1.880000e+01	5.543049e+01	2.225178e-01	2.225178e-01
1.880000e+01	2.100000e+01	5.358277e+01	2.101458e-01	2.101458e-01
2.100000e+01	2.320000e+01	5.249669e+01	2.067715e-01	2.067715e-01
2.320000e+01	2.540000e+01	5.173984e+01	2.053577e-01	2.053577e-01
2.540000e+01	2.760000e+01	5.079085e+01	2.000656e-01	2.000656e-01
2.760000e+01	2.980000e+01	5.024362e+01	1.995109e-01	1.995109e-01
2.980000e+01	3.200000e+01	4.913041e+01	1.954098e-01	1.954098e-01
3.200000e+01	3.420000e+01	4.855555e+01	1.949164e-01	1.949164e-01
3.420000e+01	3.640000e+01	4.809429e+01	1.934180e-01	1.934180e-01
3.640000e+01	3.860000e+01	4.743553e+01	1.954195e-01	1.954195e-01
3.860000e+01	4.080000e+01	4.720220e+01	1.986347e-01	1.986347e-01
4.080000e+01	4.300000e+01	4.698043e+01	1.981262e-01	1.981262e-01
4.300000e+01	4.520000e+01	4.636209e+01	1.989410e-01	1.989410e-01
4.520000e+01	4.740000e+01	4.652319e+01	2.050419e-01	2.050419e-01
4.740000e+01	4.960000e+01	4.643384e+01	2.081834e-01	2.081834e-01
4.960000e+01	5.180000e+01	4.555359e+01	2.105102e-01	2.105102e-01
5.180000e+01	5.400000e+01	4.558196e+01	2.144688e-01	2.144688e-01
5.400000e+01	5.620000e+01	4.560290e+01	2.189547e-01	2.189547e-01
5.620000e+01	5.840000e+01	4.555908e+01	2.237813e-01	2.237813e-01
5.840000e+01	6.060000e+01	4.532618e+01	2.300355e-01	2.300355e-01
6.060000e+01	6.280000e+01	4.519062e+01	2.306599e-01	2.306599e-01
6.280000e+01	6.500000e+01	4.580983e+01	2.428685e-01	2.428685e-01
6.500000e+01	6.720000e+01	4.544927e+01	2.475243e-01	2.475243e-01
6.720000e+01	6.940000e+01	4.479383e+01	2.495527e-01	2.495527e-01
6.940000e+01	7.160000e+01	4.532731e+01	2.577816e-01	2.577816e-01
7.160000e+01	7.380000e+01	4.508937e+01	2.632177e-01	2.632177e-01
7.380000e+01	7.600000e+01	4.514564e+01	2.707579e-01	2.707579e-01
7.600000e+01	7.820000e+01	4.517880e+01	2.727798e-01	2.727798e-01
7.820000e+01	8.040000e+01	4.485977e+01	2.822790e-01	2.822790e-01
8.040000e+01	8.260000e+01	4.532466e+01	2.903274e-01	2.903274e-01
8.260000e+01	8.480000e+01	4.468362e+01	2.916841e-01	2.916841e-01
8.480000e+01	8.700000e+01	4.512294e+01	3.029527e-01	3.029527e-01
8.700000e+01	8.920000e+01	4.549613e+01	3.148366e-01	3.148366e-01
8.920000e+01	9.140000e+01	4.572583e+01	3.204581e-01	3.204581e-01
9.140000e+01	9.360000e+01	4.507357e+01	3.262161e-01	3.262161e-01
9.360000e+01	9.580000e+01	4.541667e+01	3.383440e-01	3.383440e-01
9.580000e+01	9.800000e+01	4.438782e+01	3.330496e-01	3.330496e-01
9.800000e+01	1.002000e+02	4.558917e+01	3.429493e-01	3.429493e-01
1.002000e+02	1.024000e+02	4.530508e+01	3.544346e-01	3.544346e-01
1.024000e+02	1.046000e+02	4.562269e+01	3.678185e-01	3.678185e-01
1.046000e+02	1.068000e+02	4.506641e+01	3.756312e-01	3.756312e-01
1.068000e+02	1.090000e+02	4.558865e+01	3.922953e-01	3.922953e-01
1.090000e+02	1.112000e+02	4.596364e+01	4.038309e-01	4.038309e-01
1.112000e+02	1.134000e+02	4.523679e+01	3.974772e-01	3.974772e-01
1.134000e+02	1.156000e+02	4.572077e+01	4.118032e-01	4.118032e-01
1.156000e+02	1.178000e+02	4.521710e+01	4.209468e-01	4.209468e-01
1.178000e+02	1.200000e+02	4.474571e+01	4.249380e-01	4.249380e-01
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtGamma_vs_pTlep
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.220000e+01	6.102014e+01	2.496429e-01	2.496429e-01
1.220000e+01	1.440000e+01	5.929952e+01	2.383897e-01	2.383897e-01
1.440000e+01	1.660000e+01	5.717485e+01	2.297223e-01	2.297223e-01
1.660000e+01	1.880000e+01	5.528525e+01	2.186680e-01	2.186680e-01
1.880000e+01	2.100000e+01	5.371955e+01	2.105850e-01	2.105850e-01
2.100000e+01	2.320000e+01	5.272033e+01	2.080517e-01	2.080517e-01
2.320000e+01	2.540000e+01	5.193101e+01	2.057297e-01	2.057297e-01
2.540000e+01	2.760000e+01	5.083377e+01	2.005267e-01	2.005267e-01
2.760000e+01	2.980000e+01	4.967520e+01	1.958295e-01	1.958295e-01
2.980000e+01	3.200000e+01	4.936167e+01	1.959783e-01	1.959783e-01
3.200000e+01	3.420000e+01	4.872309e+01	1.948390e-01	1.948390e-01
3.420000e+01	3.640000e+01	4.804759e+01	1.952060e-01	1.952060e-01
3.640000e+01	3.860000e+01	4.746030e+01	1.975578e-01	1.975578e-01
3.860000e+01	4.080000e+01	4.710541e+01	1.967388e-01	1.967388e-01
4.080000e+01	4.300000e+01	4.711890e+01	1.997690e-01	1.997690e-01
4.300000e+01	4.520000e+01	4.665182e+01	2.032790e-01	2.032790e-01
4.520000e+01	4.740000e+01	4.631032e+01	2.052274e-01	2.052274e-01
4.740000e+01	4.960000e+01	4.620900e+01	2.071220e-01	2.071220e-01
4.960000e+01	5.180000e+01	4.594023e+01	2.118114e-01	2.118114e-01
5.180000e+01	5.400000e+01	4.589251e+01	2.161200e-01	2.161200e-01
5.400000e+01	5.620000e+01	4.540057e+01	2.193970e-01	2.193970e-01
5.620000e+01	5.840000e+01	4.543547e+01	2.237405e-01	2.237405e-01
5.840000e+01	6.060000e+01	4.549010e+01	2.278724e-01	2.278724e-01
6.060000e+01	6.280000e+01	4.516382e+01	2.322642e-01	2.322642e-01
6.280000e+01	6.500000e+01	4.493885e+01	2.376202e-01	2.376202e-01
6.500000e+01	6.720000e+01	4.511914e+01	2.437363e-01	2.437363e-01
6.720000e+01	6.940000e+01	4.531924e+01	2.566430e-01	2.566430e-01
6.940000e+01	7.160000e+01	4.523479e+01	2.563303e-01	2.563303e-01
7.160000e+01	7.380000e+01	4.500896e+01	2.607255e-01	2.607255e-01
7.380000e+01	7.600000e+01	4.496608e+01	2.689687e-01	2.689687e-01
7.600000e+01	7.820000e+01	4.524446e+01	2.770706e-01	2.770706e-01
7.820000e+01	8.040000e+01	4.454656e+01	2.842672e-01	2.842672e-01
8.040000e+01	8.260000e+01	4.528530e+01	2.903670e-01	2.903670e-01
8.260000e+01	8.480000e+01	4.531760e+01	3.011457e-01	3.011457e-01
8.480000e+01	8.700000e+01	4.503155e+01	3.029183e-01	3.029183e-01
8.700000e+01	8.920000e+01	4.441187e+01	3.061470e-01	3.061470e-01
8.920000e+01	9.140000e+01	4.550841e+01	3.187877e-01	3.187877e-01
9.140000e+01	9.360000e+01	4.475376e+01	3.175999e-01	3.175999e-01
9.360000e+01	9.580000e+01	4.494018e+01	3.262785e-01	3.262785e-01
9.580000e+01	9.800000e+01	4.462129e+01	3.339821e-01	3.339821e-01
9.800000e+01	1.002000e+02	4.520624e+01	3.563737e-01	3.563737e-01
1.002000e+02	1.024000e+02	4.559306e+01	3.660121e-01	3.660121e-01
1.024000e+02	1.046000e+02	4.487209e+01	3.597077e-01	3.597077e-01
