# BEGIN PLOT
Legend=1
LogY=1
Title=Scalar sum of photon $p_\perp$
XLabel=$\sum{p_\perp^\gamma}$ [GeV]
YLabel=$1/\sigma \, \mathrm{d}\sigma/\mathrm{d}\sum{p_\perp^\gamma}$ [GeV$^{-1}$]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_PHOTONS:ENERGY=13600/sumPtgamma
ScaledBy=9.76562500000000020e-07
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.882813e-06	1.544081e-06	1.544081e-06
2.000000e+00	4.000000e+00	1.660157e-05	2.847145e-06	2.847145e-06
4.000000e+00	6.000000e+00	3.613281e-05	4.200354e-06	4.200354e-06
6.000000e+00	8.000000e+00	7.568360e-05	6.079052e-06	6.079052e-06
8.000000e+00	1.000000e+01	9.716795e-05	6.888055e-06	6.888055e-06
1.000000e+01	1.200000e+01	1.484375e-04	8.513475e-06	8.513475e-06
1.200000e+01	1.400000e+01	1.967773e-04	9.802177e-06	9.802177e-06
1.400000e+01	1.600000e+01	2.929687e-04	1.196040e-05	1.196040e-05
1.600000e+01	1.800000e+01	3.847657e-04	1.370671e-05	1.370671e-05
1.800000e+01	2.000000e+01	4.843750e-04	1.537892e-05	1.537892e-05
2.000000e+01	2.200000e+01	6.235350e-04	1.744880e-05	1.744880e-05
2.200000e+01	2.400000e+01	7.089845e-04	1.860601e-05	1.860601e-05
2.400000e+01	2.600000e+01	8.481445e-04	2.035026e-05	2.035026e-05
2.600000e+01	2.800000e+01	9.814455e-04	2.189112e-05	2.189112e-05
2.800000e+01	3.000000e+01	1.165039e-03	2.385093e-05	2.385093e-05
3.000000e+01	3.200000e+01	1.304688e-03	2.523994e-05	2.523994e-05
3.200000e+01	3.400000e+01	1.512696e-03	2.717758e-05	2.717758e-05
3.400000e+01	3.600000e+01	1.625977e-03	2.817683e-05	2.817683e-05
3.600000e+01	3.800000e+01	1.851074e-03	3.006401e-05	3.006401e-05
3.800000e+01	4.000000e+01	2.006348e-03	3.129955e-05	3.129955e-05
4.000000e+01	4.200000e+01	2.176758e-03	3.260169e-05	3.260169e-05
4.200000e+01	4.400000e+01	2.416015e-03	3.434669e-05	3.434669e-05
4.400000e+01	4.600000e+01	2.566894e-03	3.540292e-05	3.540292e-05
4.600000e+01	4.800000e+01	2.798828e-03	3.696776e-05	3.696776e-05
4.800000e+01	5.000000e+01	3.097657e-03	3.889123e-05	3.889123e-05
5.000000e+01	5.200000e+01	3.200196e-03	3.952968e-05	3.952968e-05
5.200000e+01	5.400000e+01	3.455078e-03	4.107371e-05	4.107371e-05
5.400000e+01	5.600000e+01	3.650879e-03	4.222151e-05	4.222151e-05
5.600000e+01	5.800000e+01	3.804199e-03	4.309895e-05	4.309895e-05
5.800000e+01	6.000000e+01	4.026855e-03	4.434228e-05	4.434228e-05
6.000000e+01	6.200000e+01	4.218750e-03	4.538652e-05	4.538652e-05
6.200000e+01	6.400000e+01	4.370117e-03	4.619357e-05	4.619357e-05
6.400000e+01	6.600000e+01	4.644532e-03	4.762182e-05	4.762182e-05
6.600000e+01	6.800000e+01	4.810058e-03	4.846299e-05	4.846299e-05
6.800000e+01	7.000000e+01	4.939453e-03	4.911051e-05	4.911051e-05
