# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of leading tau
XLabel=$\eta(\tau\mathrm{1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\tau\mathrm{1})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	3.054704e-07	4.046055e-08	4.046055e-08
-4.800000e+00	-4.600000e+00	2.518791e-07	3.674035e-08	3.674035e-08
-4.600000e+00	-4.400000e+00	3.376253e-07	4.253678e-08	4.253678e-08
-4.400000e+00	-4.200000e+00	3.215478e-07	4.151165e-08	4.151165e-08
-4.200000e+00	-4.000000e+00	3.965757e-07	4.610099e-08	4.610099e-08
-4.000000e+00	-3.800000e+00	4.233713e-07	4.763300e-08	4.763300e-08
-3.800000e+00	-3.600000e+00	5.198355e-07	5.278132e-08	5.278132e-08
-3.600000e+00	-3.400000e+00	5.037585e-07	5.195871e-08	5.195871e-08
-3.400000e+00	-3.200000e+00	6.538140e-07	5.919354e-08	5.919354e-08
-3.200000e+00	-3.000000e+00	9.003340e-07	6.946227e-08	6.946227e-08
-3.000000e+00	-2.800000e+00	1.872480e-05	3.167786e-07	3.167786e-07
-2.800000e+00	-2.600000e+00	2.640980e-05	3.762094e-07	3.762094e-07
-2.600000e+00	-2.400000e+00	3.679579e-05	4.440647e-07	4.440647e-07
-2.400000e+00	-2.200000e+00	4.833400e-05	5.089482e-07	5.089482e-07
-2.200000e+00	-2.000000e+00	6.035455e-05	5.687247e-07	5.687247e-07
-2.000000e+00	-1.800000e+00	7.656590e-05	6.405675e-07	6.405675e-07
-1.800000e+00	-1.600000e+00	9.151790e-05	7.003258e-07	7.003258e-07
-1.600000e+00	-1.400000e+00	1.074291e-04	7.587666e-07	7.587666e-07
-1.400000e+00	-1.200000e+00	1.213147e-04	8.063132e-07	8.063132e-07
-1.200000e+00	-1.000000e+00	1.338872e-04	8.470648e-07	8.470648e-07
-1.000000e+00	-8.000000e-01	1.493001e-04	8.944934e-07	8.944934e-07
-8.000000e-01	-6.000000e-01	1.554791e-04	9.128158e-07	9.128158e-07
-6.000000e-01	-4.000000e-01	1.647451e-04	9.396224e-07	9.396224e-07
-4.000000e-01	-2.000000e-01	1.699112e-04	9.542413e-07	9.542413e-07
-2.000000e-01	0.000000e+00	1.724247e-04	9.612734e-07	9.612734e-07
0.000000e+00	2.000000e-01	1.713850e-04	9.583709e-07	9.583709e-07
2.000000e-01	4.000000e-01	1.704364e-04	9.557150e-07	9.557150e-07
4.000000e-01	6.000000e-01	1.633517e-04	9.356404e-07	9.356404e-07
6.000000e-01	8.000000e-01	1.581211e-04	9.205390e-07	9.205390e-07
8.000000e-01	1.000000e+00	1.475851e-04	8.893413e-07	8.893413e-07
1.000000e+00	1.200000e+00	1.357897e-04	8.530618e-07	8.530618e-07
1.200000e+00	1.400000e+00	1.204679e-04	8.034944e-07	8.034944e-07
1.400000e+00	1.600000e+00	1.064591e-04	7.553334e-07	7.553334e-07
1.600000e+00	1.800000e+00	9.008165e-05	6.948088e-07	6.948088e-07
1.800000e+00	2.000000e+00	7.647480e-05	6.401863e-07	6.401863e-07
2.000000e+00	2.200000e+00	6.173720e-05	5.752024e-07	5.752024e-07
2.200000e+00	2.400000e+00	4.876273e-05	5.112003e-07	5.112003e-07
2.400000e+00	2.600000e+00	3.638850e-05	4.416002e-07	4.416002e-07
2.600000e+00	2.800000e+00	2.693499e-05	3.799318e-07	3.799318e-07
2.800000e+00	3.000000e+00	1.871944e-05	3.167332e-07	3.167332e-07
3.000000e+00	3.200000e+00	9.592845e-07	7.170028e-08	7.170028e-08
3.200000e+00	3.400000e+00	4.983992e-07	5.168160e-08	5.168160e-08
3.400000e+00	3.600000e+00	5.412720e-07	5.385859e-08	5.385859e-08
3.600000e+00	3.800000e+00	5.091175e-07	5.223435e-08	5.223435e-08
3.800000e+00	4.000000e+00	4.501670e-07	4.911724e-08	4.911724e-08
4.000000e+00	4.200000e+00	3.644209e-07	4.419252e-08	4.419252e-08
4.200000e+00	4.400000e+00	3.537026e-07	4.353779e-08	4.353779e-08
4.400000e+00	4.600000e+00	3.912166e-07	4.578843e-08	4.578843e-08
4.600000e+00	4.800000e+00	3.001113e-07	4.010406e-08	4.010406e-08
4.800000e+00	5.000000e+00	3.054704e-07	4.046055e-08	4.046055e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	2.578219e-07	3.721338e-08	3.721338e-08
-4.800000e+00	-4.600000e+00	2.363367e-07	3.562910e-08	3.562910e-08
-4.600000e+00	-4.400000e+00	3.330199e-07	4.229357e-08	4.229357e-08
-4.400000e+00	-4.200000e+00	2.631931e-07	3.759902e-08	3.759902e-08
-4.200000e+00	-4.000000e+00	4.297031e-07	4.804227e-08	4.804227e-08
-4.000000e+00	-3.800000e+00	3.867328e-07	4.557690e-08	4.557690e-08
-3.800000e+00	-3.600000e+00	4.243319e-07	4.774106e-08	4.774106e-08
-3.600000e+00	-3.400000e+00	5.371290e-07	5.371289e-08	5.371289e-08
-3.400000e+00	-3.200000e+00	5.962130e-07	5.659004e-08	5.659004e-08
-3.200000e+00	-3.000000e+00	8.916340e-07	6.920423e-08	6.920423e-08
-3.000000e+00	-2.800000e+00	1.847723e-05	3.150342e-07	3.150342e-07
-2.800000e+00	-2.600000e+00	2.612595e-05	3.746065e-07	3.746065e-07
-2.600000e+00	-2.400000e+00	3.609506e-05	4.403147e-07	4.403147e-07
-2.400000e+00	-2.200000e+00	4.767556e-05	5.060427e-07	5.060427e-07
-2.200000e+00	-2.000000e+00	6.121660e-05	5.734213e-07	5.734213e-07
-2.000000e+00	-1.800000e+00	7.580500e-05	6.380991e-07	6.380991e-07
-1.800000e+00	-1.600000e+00	9.032895e-05	6.965508e-07	6.965508e-07
-1.600000e+00	-1.400000e+00	1.072861e-04	7.591210e-07	7.591210e-07
-1.400000e+00	-1.200000e+00	1.197314e-04	8.019426e-07	8.019426e-07
-1.200000e+00	-1.000000e+00	1.356197e-04	8.534943e-07	8.534943e-07
-1.000000e+00	-8.000000e-01	1.485806e-04	8.933472e-07	8.933472e-07
-8.000000e-01	-6.000000e-01	1.584530e-04	9.225492e-07	9.225492e-07
-6.000000e-01	-4.000000e-01	1.648664e-04	9.410339e-07	9.410339e-07
-4.000000e-01	-2.000000e-01	1.729125e-04	9.637236e-07	9.637236e-07
-2.000000e-01	0.000000e+00	1.736967e-04	9.659066e-07	9.659066e-07
0.000000e+00	2.000000e-01	1.744218e-04	9.679206e-07	9.679206e-07
2.000000e-01	4.000000e-01	1.701409e-04	9.559687e-07	9.559687e-07
4.000000e-01	6.000000e-01	1.654089e-04	9.425809e-07	9.425809e-07
6.000000e-01	8.000000e-01	1.569705e-04	9.182234e-07	9.182234e-07
8.000000e-01	1.000000e+00	1.473989e-04	8.897878e-07	8.897878e-07
1.000000e+00	1.200000e+00	1.355284e-04	8.532069e-07	8.532069e-07
1.200000e+00	1.400000e+00	1.215469e-04	8.079997e-07	8.079997e-07
1.400000e+00	1.600000e+00	1.063032e-04	7.556355e-07	7.556355e-07
1.600000e+00	1.800000e+00	9.127430e-05	7.001862e-07	7.001862e-07
1.800000e+00	2.000000e+00	7.651940e-05	6.410989e-07	6.410989e-07
2.000000e+00	2.200000e+00	6.165705e-05	5.754805e-07	5.754805e-07
2.200000e+00	2.400000e+00	4.801396e-05	5.078354e-07	5.078354e-07
2.400000e+00	2.600000e+00	3.664830e-05	4.436763e-07	4.436763e-07
2.600000e+00	2.800000e+00	2.645897e-05	3.769864e-07	3.769864e-07
2.800000e+00	3.000000e+00	1.826775e-05	3.132434e-07	3.132434e-07
3.000000e+00	3.200000e+00	7.466090e-07	6.332655e-08	6.332655e-08
3.200000e+00	3.400000e+00	5.425000e-07	5.398078e-08	5.398078e-08
3.400000e+00	3.600000e+00	5.049010e-07	5.207658e-08	5.207658e-08
3.600000e+00	3.800000e+00	4.511883e-07	4.922868e-08	4.922868e-08
3.800000e+00	4.000000e+00	3.974754e-07	4.620558e-08	4.620558e-08
4.000000e+00	4.200000e+00	3.383912e-07	4.263329e-08	4.263329e-08
4.200000e+00	4.400000e+00	3.545051e-07	4.363656e-08	4.363656e-08
4.400000e+00	4.600000e+00	2.900496e-07	3.947075e-08	3.947075e-08
4.600000e+00	4.800000e+00	2.255941e-07	3.480993e-08	3.480993e-08
4.800000e+00	5.000000e+00	2.578219e-07	3.721338e-08	3.721338e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_TAUS:ENERGY=13600/tau_eta_1
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.435038e-07	1.990040e-08	1.990040e-08
-4.800000e+00	-4.600000e+00	1.159069e-07	1.788483e-08	1.788483e-08
-4.600000e+00	-4.400000e+00	1.297054e-07	1.891947e-08	1.891947e-08
-4.400000e+00	-4.200000e+00	1.407441e-07	1.970812e-08	1.970812e-08
-4.200000e+00	-4.000000e+00	1.683410e-07	2.155386e-08	2.155386e-08
-4.000000e+00	-3.800000e+00	1.821394e-07	2.241982e-08	2.241982e-08
-3.800000e+00	-3.600000e+00	2.207751e-07	2.468341e-08	2.468341e-08
-3.600000e+00	-3.400000e+00	2.290542e-07	2.514196e-08	2.514196e-08
-3.400000e+00	-3.200000e+00	2.704495e-07	2.731953e-08	2.731953e-08
-3.200000e+00	-3.000000e+00	5.022635e-07	3.723024e-08	3.723024e-08
-3.000000e+00	-2.800000e+00	9.286355e-06	1.600858e-07	1.600858e-07
-2.800000e+00	-2.600000e+00	1.340933e-05	1.923683e-07	1.923683e-07
-2.600000e+00	-2.400000e+00	1.800421e-05	2.229036e-07	2.229036e-07
-2.400000e+00	-2.200000e+00	2.410865e-05	2.579387e-07	2.579387e-07
-2.200000e+00	-2.000000e+00	3.070982e-05	2.911178e-07	2.911178e-07
-2.000000e+00	-1.800000e+00	3.750969e-05	3.217376e-07	3.217376e-07
-1.800000e+00	-1.600000e+00	4.628275e-05	3.573877e-07	3.573877e-07
-1.600000e+00	-1.400000e+00	5.399885e-05	3.860311e-07	3.860311e-07
-1.400000e+00	-1.200000e+00	6.086495e-05	4.098394e-07	4.098394e-07
-1.200000e+00	-1.000000e+00	6.764275e-05	4.320566e-07	4.320566e-07
-1.000000e+00	-8.000000e-01	7.488415e-05	4.545954e-07	4.545954e-07
-8.000000e-01	-6.000000e-01	7.923065e-05	4.676024e-07	4.676024e-07
-6.000000e-01	-4.000000e-01	8.366825e-05	4.805188e-07	4.805188e-07
-4.000000e-01	-2.000000e-01	8.591190e-05	4.869189e-07	4.869189e-07
-2.000000e-01	0.000000e+00	8.763670e-05	4.917824e-07	4.917824e-07
0.000000e+00	2.000000e-01	8.639205e-05	4.882778e-07	4.882778e-07
2.000000e-01	4.000000e-01	8.583735e-05	4.867077e-07	4.867077e-07
4.000000e-01	6.000000e-01	8.281550e-05	4.780638e-07	4.780638e-07
6.000000e-01	8.000000e-01	8.009445e-05	4.701444e-07	4.701444e-07
8.000000e-01	1.000000e+00	7.428255e-05	4.527656e-07	4.527656e-07
1.000000e+00	1.200000e+00	6.821400e-05	4.338772e-07	4.338772e-07
1.200000e+00	1.400000e+00	6.178945e-05	4.129402e-07	4.129402e-07
1.400000e+00	1.600000e+00	5.428860e-05	3.870654e-07	3.870654e-07
1.600000e+00	1.800000e+00	4.605921e-05	3.565236e-07	3.565236e-07
1.800000e+00	2.000000e+00	3.816374e-05	3.245305e-07	3.245305e-07
2.000000e+00	2.200000e+00	3.056631e-05	2.904368e-07	2.904368e-07
2.200000e+00	2.400000e+00	2.374437e-05	2.559825e-07	2.559825e-07
2.400000e+00	2.600000e+00	1.841816e-05	2.254515e-07	2.254515e-07
2.600000e+00	2.800000e+00	1.333482e-05	1.918331e-07	1.918331e-07
2.800000e+00	3.000000e+00	9.258755e-06	1.598477e-07	1.598477e-07
3.000000e+00	3.200000e+00	4.995037e-07	3.712782e-08	3.712782e-08
3.200000e+00	3.400000e+00	3.366821e-07	3.048176e-08	3.048176e-08
3.400000e+00	3.600000e+00	2.649301e-07	2.703932e-08	2.703932e-08
3.600000e+00	3.800000e+00	2.649302e-07	2.703932e-08	2.703932e-08
3.800000e+00	4.000000e+00	1.683410e-07	2.155386e-08	2.155386e-08
4.000000e+00	4.200000e+00	1.517829e-07	2.046640e-08	2.046640e-08
4.200000e+00	4.400000e+00	1.435038e-07	1.990040e-08	1.990040e-08
4.400000e+00	4.600000e+00	1.600620e-07	2.101717e-08	2.101717e-08
4.600000e+00	4.800000e+00	1.683410e-07	2.155386e-08	2.155386e-08
4.800000e+00	5.000000e+00	1.407441e-07	1.970812e-08	1.970812e-08
# END HISTO1D

